correction,dataset,rmse_mean_loss,mae_mean_loss,rmse_pooled_all_domains,mae_domain_macro
C0_none,A6/A7 1M,0.2855905125324189,0.2268927282647563,0.7506564652331735,0.5922188539369171
C0_none,A8/A9 60M,1.5367957226544715,1.52103567600413,1.6702579661907389,1.5236845900556188
C0_none,A10/A11 1B,3.1206064607367603,3.120193143528625,3.1775448702855136,3.120193143528624
C0_none,A12/A13 10B估算,3.5503058778178747,3.548972836047818,3.5819851786158705,3.5489728360478185
C0_none,A14/A15 70B估算,3.9333042824246727,3.931885900760883,3.963893482557972,3.931885900760883
C1_global,A6/A7 1M,0.2855905125324189,0.2268927282647563,0.7506564652331735,0.5922188539369171
C1_global,A8/A9 60M,0.2280222002775531,0.1805210760364073,0.6928309348419431,0.5554538606776501
C1_global,A10/A11 1B,0.6599792630623345,0.6580221864066067,0.8911674071452987,0.7245718679018476
C1_global,A12/A13 10B估算,0.2833041787686849,0.2660782265517939,0.553359965540896,0.4447786838742822
C1_global,A14/A15 70B估算,0.114651909268718,0.0977162197705868,0.504692008282534,0.3653423609105889
C1_domain,A6/A7 1M,0.2855905125324189,0.2268927282647563,0.7506564652331735,0.5922188539369171
C1_domain,A8/A9 60M,0.2280222002775531,0.1805210760364073,0.5448225156020283,0.4466846520940525
C1_domain,A10/A11 1B,0.659979263062334,0.6580221864066063,0.7444342033554043,0.675299975567155
C1_domain,A12/A13 10B估算,0.2833041787686849,0.2660782265517939,0.9779211675814524,0.771935415797186
C1_domain,A14/A15 70B估算,0.1146519092687181,0.0977162197705868,1.105317719445891,0.8556249261129069
C2_mixture_conditioned,A6/A7 1M,0.2855905125324189,0.2268927282647563,0.7506564652331735,0.5922188539369171
C2_mixture_conditioned,A8/A9 60M,0.258802715761453,0.2048563883938866,0.6544611911427044,0.5139514390055147
C2_mixture_conditioned,A10/A11 1B,0.6296360550164979,0.6220533718475405,0.7836364247898711,0.6864895621830429
C2_mixture_conditioned,A12/A13 10B估算,0.2803921551946406,0.2477861802356226,1.09579286562544,0.8938417365448508
C2_mixture_conditioned,A14/A15 70B估算,0.1641521224168708,0.1362607553218437,1.2451917497861862,0.9782552044787852
