left_dataset,right_dataset,pair_role,correction,domain,n,reference_delta_mean,predicted_delta_mean,rmse,mae,bias_observed_minus_pred,r2,spearman
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C1_domain,loss_mean_13_domains,256,-1.45937078868827,-1.4593707886882694,0.08636698091468056,0.07351992272127134,-8.326672684688674e-17,1.1102230246251565e-16,
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_arxiv_val_loss,256,-1.5935994358733296,-1.5935994358733296,0.15154038220253482,0.12399548825497553,9.540979117872439e-18,0.5779967015179204,0.8130993934538795
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_freelaw_val_loss,256,-1.3430465962737799,-1.3430465962737799,0.0655655422880353,0.05584329281190879,9.194034422677078e-17,0.6013244922857324,0.7931613355458914
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_pubmed_central_val_loss,256,-1.6638307059183717,-1.6638307059183717,0.1797464828810802,0.1579929335204637,7.719519468096792e-17,0.5992456445794736,0.8509670405127029
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_wikipedia_en_val_loss,256,-1.3523109182715416,-1.3523109182715414,0.03472778118298899,0.026557208815254956,-1.0842021724855044e-16,0.6345216834072342,0.8017788681620507
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_dm_mathematics_val_loss,256,-1.301036092452705,-1.301036092452705,0.5699872211842417,0.5129127550011181,-6.245004513516506e-17,0.4757254230368747,0.7999778267338062
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_github_val_loss,256,-2.439604685641825,-2.439604685641825,0.16686318150145754,0.12906682148706505,-1.491862189340054e-16,0.6313506219329856,0.839718041886015
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_stackexchange_val_loss,256,-1.6231571352109313,-1.6231571352109313,0.0761096290900348,0.055943578827324494,-2.42861286636753e-17,0.6359986962893234,0.831697756923781
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_gutenberg_pg_19_val_loss,256,-0.9688598234206438,-0.9688598234206438,0.05491395751127445,0.04249510775282941,-1.431146867680866e-17,0.5303731218534709,0.7833151148924212
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_pile_cc_val_loss,256,-1.0649028662592173,-1.0649028662592173,0.031402362371036885,0.024015922116219352,2.3765711620882257e-16,0.2520979502002464,0.4122050262154281
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_ubuntu_irc_val_loss,256,-1.9264513989910483,-1.9264513989910483,0.2046085101040154,0.17754145321793782,8.239936510889834e-17,0.6226457211405957,0.8319266422522315
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_hackernews_val_loss,256,-0.9763440135866404,-0.9763440135866406,0.030979251789356423,0.024941701746493676,1.5829351718288365e-16,0.5653393762491536,0.7823414969100478
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_pubmed_abstracts_val_loss,256,-1.3422633856534958,-1.3422633856534958,0.030539113669302887,0.024136382280608798,-1.0234868508263162e-16,0.5502784823353452,0.7262817578393224
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,metric/the_pile_uspto_backgrounds_val_loss,256,-1.3764131953939795,-1.3764131953939798,0.04861523665316946,0.04198470743858823,2.8449465006019636e-16,0.7004736093659808,0.8268582627603568
A6_A7_test_1m,A8_A9_test_60m,calibration_pair,C2_mixture_conditioned,loss_mean_13_domains,256,-1.45937078868827,-1.45937078868827,0.05676047976499758,0.04601005486937576,5.0306980803327406e-17,0.5680866395228701,0.7820596818493933
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_arxiv_val_loss,63,-0.36342222222222226,-0.6935919500146148,0.3387290944845546,0.3301697277923926,0.3301697277923926,-19.04024093580104,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_freelaw_val_loss,63,-0.37009365079365086,-0.6935919500146148,0.32815031404245687,0.32349829922096407,0.32349829922096407,-34.52148253265847,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_pubmed_central_val_loss,63,-0.36779999999999996,-0.6935919500146148,0.3306239379493249,0.3257919500146149,0.3257919500146149,-33.46383982695936,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_wikipedia_en_val_loss,63,-0.4135619047619048,-0.6935919500146148,0.2818425791042978,0.2800300452527102,0.2800300452527102,-76.99903138114816,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_dm_mathematics_val_loss,63,-0.2917857142857143,-0.6935919500146148,0.41482438959140355,0.40180623572890056,0.40180623572890056,-15.18652053595832,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_github_val_loss,63,-0.38216825396825393,-0.6935919500146148,0.3186059176862524,0.31142369604636094,0.31142369604636094,-21.43302857146827,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_stackexchange_val_loss,63,-0.3752666666666667,-0.6935919500146148,0.32204865005566863,0.31832528334794824,0.31832528334794824,-42.49842270992001,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_gutenberg_pg_19_val_loss,63,-0.3836126984126983,-0.6935919500146148,0.31149300546386394,0.3099792516019166,0.3099792516019166,-102.1382095235549,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_pile_cc_val_loss,63,-0.40942539682539686,-0.6935919500146148,0.2849734965762368,0.28416655318921813,0.28416655318921813,-175.8262463727829,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_ubuntu_irc_val_loss,63,-0.48105238095238095,-0.6935919500146148,0.2230185481439898,0.212539569062234,0.212539569062234,-9.897249217440223,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_hackernews_val_loss,63,-0.38729523809523814,-0.6935919500146148,0.3071007455741001,0.3062967119193768,0.3062967119193768,-190.22538438136633,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_pubmed_abstracts_val_loss,63,-0.3863428571428571,-0.6935919500146148,0.30891778517218477,0.3072490928717578,0.3072490928717578,-91.81351355330845,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,metric/the_pile_uspto_backgrounds_val_loss,63,-0.3660428571428571,-0.6935919500146148,0.3293245543816349,0.3275490928717578,0.3275490928717578,-91.99404204031713,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_global,loss_mean_13_domains,63,-0.3829130647130647,-0.6935919500146148,0.3111073461524849,0.31067888530155013,0.31067888530155013,-362.3024155191187,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_arxiv_val_loss,63,-0.36342222222222226,-0.7573865044010236,0.40116481143350746,0.3939642821788009,0.3939642821788009,-27.108883737199285,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_freelaw_val_loss,63,-0.37009365079365086,-0.638306806529483,0.2738060918187912,0.268213155735832,0.268213155735832,-23.73042885548089,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_pubmed_central_val_loss,63,-0.36779999999999996,-0.790765165890012,0.4266981663976992,0.42296516589001165,0.42296516589001165,-56.40326933361523,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_wikipedia_en_val_loss,63,-0.4135619047619048,-0.6427098405012448,0.23135943811638188,0.22914793573933953,0.22914793573933953,-51.55940529069452,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_dm_mathematics_val_loss,63,-0.2917857142857143,-0.618340566631981,0.3424457544197972,0.32655485234626713,0.32655485234626713,-10.03083807592077,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_github_val_loss,63,-0.38216825396825393,-1.1594655616616882,0.7802026127058173,0.7772973076934337,0.7772973076934337,-133.52253233424182,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_stackexchange_val_loss,63,-0.3752666666666667,-0.771434327257571,0.39916558253711804,0.3961676605909041,0.3961676605909041,-65.82465402179527,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_gutenberg_pg_19_val_loss,63,-0.3836126984126983,-0.46046788069613864,0.08274947173878094,0.07687207495975316,0.0768551822834401,-6.278693795539469,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_pile_cc_val_loss,63,-0.40942539682539686,-0.5061140467589926,0.09903513934673472,0.09668864993359592,0.09668864993359592,-20.35582825658066,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_ubuntu_irc_val_loss,63,-0.48105238095238095,-0.9155803259811565,0.43974849563133694,0.43452794502877606,0.43452794502877606,-41.36855375023377,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_hackernews_val_loss,63,-0.38729523809523814,-0.4640248753213218,0.07987884218235079,0.07672963722608378,0.07672963722608378,-11.937409460774541,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_pubmed_abstracts_val_loss,63,-0.3863428571428571,-0.6379345717378822,0.25362685933874346,0.2515917145950254,0.2515917145950254,-61.56275666105634,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,metric/the_pile_uspto_backgrounds_val_loss,63,-0.3660428571428571,-0.6541648768214996,0.29013884969312764,0.288122019678643,0.288122019678643,-71.18029772215584,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C1_domain,loss_mean_13_domains,63,-0.3829130647130647,-0.6935919500146148,0.31110734615248503,0.3106788853015502,0.3106788853015502,-362.30241551911894,
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_arxiv_val_loss,63,-0.36342222222222226,-0.7410748569243181,0.3854014568412138,0.37765263470209576,0.37765263470209576,-24.94326550462869,0.6511694889280463
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_freelaw_val_loss,63,-0.37009365079365086,-0.6295195491454576,0.26136606891006764,0.25942589835180696,0.25942589835180696,-21.534288316974212,0.7382089626013317
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_pubmed_central_val_loss,63,-0.36779999999999996,-0.7959215997100714,0.432807288602511,0.4281215997100714,0.4281215997100714,-58.05874394464005,0.710405990906462
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_wikipedia_en_val_loss,63,-0.4135619047619048,-0.6426146036937213,0.23038377595176326,0.22905269893181632,0.22905269893181632,-51.11704515141012,0.5627707706190896
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_dm_mathematics_val_loss,63,-0.2917857142857143,-0.6649422802662405,0.4084801050725349,0.3932509360723694,0.37315656598052604,-14.69519642760986,0.5301042879640556
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_github_val_loss,63,-0.38216825396825393,-1.1759927485356854,0.7973024317371099,0.7938244945674313,0.7938244945674313,-139.4838532855187,0.595142089093702
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_stackexchange_val_loss,63,-0.3752666666666667,-0.7745601479292,0.4011992670637316,0.3992934812625332,0.3992934812625332,-66.50731037219832,0.6275516939739292
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_gutenberg_pg_19_val_loss,63,-0.3836126984126983,-0.4556122244065145,0.0746417058894438,0.07199952599381605,0.07199952599381605,-4.922241351636147,0.7846102150537635
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_pile_cc_val_loss,63,-0.40942539682539686,-0.5045234872922945,0.09741884157854029,0.09509809046689761,0.09509809046689761,-19.66444319356097,0.32160044165672286
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_ubuntu_irc_val_loss,63,-0.48105238095238095,-0.9292398635675797,0.454862049626149,0.4481874826151988,0.4481874826151988,-44.33089802709486,0.3353054832408701
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_hackernews_val_loss,63,-0.38729523809523814,-0.4606647084570773,0.075522452301348,0.0733694703618392,0.0733694703618392,-10.564742521990745,0.6327764976958525
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_pubmed_abstracts_val_loss,63,-0.3863428571428571,-0.6400905352368512,0.2550824290066418,0.25374767809399423,0.25374767809399423,-62.28291509802595,0.6019105222734256
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,metric/the_pile_uspto_backgrounds_val_loss,63,-0.3660428571428571,-0.6522837001451602,0.2870636015641095,0.2862408430023031,0.2862408430023031,-69.65829570144587,0.6631143118609272
A12_A13_est_10b,A14_A15_est_70b,provided_estimates_shift_audit,C2_mixture_conditioned,loss_mean_13_domains,63,-0.3829130647130647,-0.6974646388700132,0.3155024228453982,0.31455157415694845,0.31455157415694845,-372.6398167280762,0.3331413210445469
