base_model,correction,dataset,n,role,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains
B1_Q_proxy,C0_none,A4_A5_train_1m,512,base_fit,0.32433720245395187,0.2563273969771192,-3.122502256758253e-17,0.0008510526824949682,0.12037361883590253,0.7134128491511528,0.609582088132342,0.7834129806101091
B1_Q_proxy,C0_none,A6_A7_test_1m,256,external_retrospective_evaluation,0.2855905125324189,0.22689272826475637,-0.06166488731585995,-0.057665395386417906,-0.06458500228885328,0.6819917717927996,0.5922188539369171,0.7506564652331735
B1_Q_proxy,C0_none,A8_A9_test_60m,256,external_retrospective_evaluation,1.5367957226544715,1.52103567600413,-1.52103567600413,-48.297071755180944,-0.018918087663080792,1.6113058458352698,1.5236845900556188,1.6702579661907389
B1_Q_proxy,C0_none,A10_A11_test_1b,64,external_retrospective_evaluation,3.1206064607367603,3.120193143528625,-3.120193143528625,-3608.6871039768203,0.2822344322344322,3.1271771783307774,3.120193143528624,3.1775448702855136
B1_Q_proxy,C0_none,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,3.5503058778178747,3.548972836047818,-3.548972836047818,-1363.429518237594,-0.16215437788018433,3.5624070436694337,3.5489728360478185,3.5819851786158705
B1_Q_proxy,C0_none,A14_A15_est_70b,63,provided_estimates_extrapolation_audit,3.9333042824246727,3.931885900760883,-3.931885900760883,-1425.0723924291794,-0.2026689708141321,3.9419890084774805,3.931885900760883,3.963893482557972
B1_Q_proxy,C1_global,A4_A5_train_1m,512,base_fit,0.32433720245395187,0.2563273969771192,-3.122502256758253e-17,0.0008510526824949682,0.12037361883590253,0.7134128491511528,0.609582088132342,0.7834129806101091
B1_Q_proxy,C1_global,A6_A7_test_1m,256,paired_calibration_member,0.2855905125324189,0.22689272826475637,-0.06166488731585995,-0.057665395386417906,-0.06458500228885328,0.6819917717927996,0.5922188539369171,0.7506564652331735
B1_Q_proxy,C1_global,A8_A9_test_60m,256,paired_calibration_member,0.2280222002775531,0.18052107603640738,-0.06166488731585983,-0.08528325149061566,-0.018918087663080792,0.6571725398715559,0.5554538606776501,0.6928309348419431
B1_Q_proxy,C1_global,A10_A11_test_1b,64,external_retrospective_evaluation,0.6599792630623345,0.6580221864066067,-0.6580221864066067,-160.4552350534413,0.2822344322344322,0.7531524520220174,0.7245718679018476,0.8911674071452987
B1_Q_proxy,C1_global,A12_A13_est_10b,63,provided_estimates_extrapolation_audit,0.2833041787686849,0.2660782265517939,-0.2660782265517939,-7.688114272115559,-0.16215437788018433,0.505082390500981,0.44477868387428227,0.553359965540896
