base_model,correction,dataset,role,n,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_arxiv_val_loss,0.4785555975898244,0.35458947993338136,2.3418766925686896e-16,0.7772399028279904,0.9281818809294927
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_freelaw_val_loss,0.29847670771108803,0.23569412530310876,8.326672684688674e-17,0.8549343947866969,0.9224980795310193
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_pubmed_central_val_loss,0.37572098549682165,0.2941882481562643,1.5612511283791264e-16,0.8056383082885527,0.9147375251770979
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_wikipedia_en_val_loss,0.2473844171230654,0.1946988655075041,6.245004513516506e-17,0.7812057662208152,0.8947352327737152
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_dm_mathematics_val_loss,0.6577206411123468,0.5386084401274652,-9.540979117872439e-18,0.8160043837402722,0.870213132717639
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_github_val_loss,0.5176142758623238,0.3753266922910816,2.220446049250313e-16,0.7596112886217316,0.9195729406278252
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_stackexchange_val_loss,0.39211310545515693,0.29517969187676873,1.6306400674181987e-16,0.744387487395824,0.9048041050113869
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_gutenberg_pg_19_val_loss,0.24637472308642344,0.1904540710093668,5.551115123125783e-17,0.6793502242815488,0.8578080475160504
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_pile_cc_val_loss,0.1797137877685874,0.13811908041599236,5.724587470723463e-17,0.6854363543212492,0.8458398064224488
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_ubuntu_irc_val_loss,0.4598959356258419,0.3632203730306035,1.249000902703301e-16,0.7997192291555274,0.8545651550394251
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_hackernews_val_loss,0.20176644553264175,0.1552408114476005,7.806255641895632e-17,0.6526406339009514,0.8450882485895104
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_pubmed_abstracts_val_loss,0.3483345121145226,0.2649977707425449,3.8163916471489756e-17,0.6450111074550213,0.844254078403772
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,metric/the_pile_uspto_backgrounds_val_loss,0.24099233899642308,0.1874907683293825,1.9081958235744878e-17,0.7939079573508494,0.8767554230896876
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_arxiv_val_loss,0.3862703206504073,0.3086380311489764,-0.10722048004109644,0.7544938793042563,0.9163588635843442
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_freelaw_val_loss,0.30237410798687026,0.24720327372725437,-0.029921141737831135,0.8316725594542476,0.9181899462119476
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_pubmed_central_val_loss,0.31449880996633783,0.2505031890988982,-0.08798519387626551,0.8585379458027043,0.9401336118104827
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_wikipedia_en_val_loss,0.2460745967857892,0.19883232521326488,-0.03410039588630696,0.7971583275365237,0.9040205138475622
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_dm_mathematics_val_loss,0.5974087990409734,0.49101522345079196,-0.07392706610455405,0.8482125742216168,0.9021057450217439
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,metric/the_pile_github_val_loss,0.4689189476056019,0.380497464236726,-0.07502590119607792,0.7409348561202327,0.8855838006408787
