base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
ilr_ridge,C0_none,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,1.5300860293035774,1.5162883926476893,-1.5162883926476893,-47.867546662156435,0.42602855344472407,1.5583146838638566,1.5187868918290055,1.6125830561174754,-7.955139952018309,0.885947761325422
ilr_ridge,C1_global,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.21276533089653146,0.17027697908101108,-0.05692754240106896,0.055089743392516155,0.4267166399633783,0.49393710989462986,0.4193557113964229,0.551842316100079,-0.047256198000210956,0.885855546947902
ilr_ridge,C1_domain,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.21276533089653152,0.17027697908101108,-0.05692754240106929,0.05508974339251582,0.4267166399633783,0.3410217923044487,0.27161199353388693,0.37367163860169,0.6021190443159683,0.8859036898955931
ilr_ridge,C2_mixture_conditioned,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.23276661721113423,0.1875586615959537,-0.05728176590031453,-0.13091568346853055,0.2690654325932707,0.33259801961584323,0.26451441319970104,0.35305572655202366,0.620569789265194,0.8492605793439794
quadratic_ridge,C0_none,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,1.5177851058360226,1.5026590287574528,-1.5026590287574528,-47.0849767358461,0.6619285019455252,1.5442059723953234,1.5060437806723048,1.5993338679597555,-7.752112320019946,0.929890113034139
quadratic_ridge,C1_global,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.2180271161051303,0.17360115408743776,-0.04329817851083243,0.007775703376058041,0.6623233291371022,0.4756550982421541,0.410858882250671,0.5493023002523898,-0.007529077139276615,0.9299420523971336
quadratic_ridge,C1_domain,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.21802711610513031,0.17360115408743781,-0.04329817851083269,0.007775703376057819,0.6623233291371022,0.3109816500568645,0.2492704444417391,0.36902810805954983,0.6593509719178042,0.9299065641671214
quadratic_ridge,C2_mixture_conditioned,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.20949406989365552,0.16470620079753368,-0.043652402010077966,0.08392231373616688,0.6334372854200045,0.2737697997832465,0.21574734294433198,0.3073257156888909,0.7422853236175716,0.908654946564079
ilr_ridge_qproxy,C0_none,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,1.530611847298856,1.5165888977004847,-1.5165888977004847,-47.901139349206815,0.42923795490959027,1.5580240952103817,1.5191594897326413,1.6120958764251363,-7.951637225163434,0.8913739942250472
ilr_ridge_qproxy,C1_global,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.21447480372660355,0.17098177596249967,-0.05722804745386449,0.039844895950937875,0.4299525062943465,0.49110640138443373,0.4172679281466811,0.5496179847210944,-0.039829009987040406,0.8913519860203883
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.21447480372660369,0.17098177596249978,-0.05722804745386481,0.039844895950936654,0.4299525062943465,0.3377926504927424,0.2690327881051824,0.37091175994272707,0.6084911610157763,0.8913223849851224
ilr_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.233447904809013,0.1868613190731349,-0.057582270953110026,-0.1375455550611444,0.28442220759899284,0.3235098425502529,0.25642892080352264,0.3433489993082728,0.6392589082261134,0.8604132920752855
quadratic_ridge_qproxy,C0_none,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,1.5184470908829288,1.5029973523512903,-1.5029973523512903,-47.12693060290131,0.6654397459372854,1.5449251570005553,1.5066118909782538,1.6000657161060257,-7.758599188767375,0.9298741020652498
quadratic_ridge_qproxy,C1_global,A8_A9_test_60m,conditional_calibration_OOF_fixed_historical_alpha_not_independent_validation,256,0.22035013600418957,0.1747736596564763,-0.043636502104670044,-0.013480699699530252,0.6656149862668802,0.4765293245843483,0.411587977632552,0.5505296635823769,-0.010318191151499286,0.9298940745109777
