comparison,reference_base_model,reference_correction,candidate_base_model,candidate_correction,dataset,role,n,rmse_reference,rmse_candidate,rmse_difference,rmse_ci95_low,rmse_ci95_high,rmse_reduction_pct,mae_reference,mae_candidate,mae_difference,mae_ci95_low,mae_ci95_high,mae_reduction_pct
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.3017246800400876,0.3023502538752488,0.0006255738351611528,-0.0017969715115189549,0.0029243974501927507,-0.20733266999505578,0.21276018518910972,0.21257356853597967,-0.0001866166531300506,-0.002395368185481556,0.0019903998703460404,0.08771220656918412
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,3.023782165613756,3.0219151267723325,-0.001867038841423252,-0.0037654020928934774,0.00018223848727430978,0.061745150251069345,2.955363351632918,2.9525165420786634,-0.002846809554254648,-0.005459610584830998,-0.00012036237240588153,0.09632688828876858
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.807666257133636,0.8093552340312438,0.001688976897607719,0.00046102090054915004,0.0029492226471754777,-0.20911817012163006,0.5782282384672702,0.5763014325680531,-0.001926805899217121,-0.004149815714722749,0.0005264834197973232,0.3332258390431731
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.7587869972583833,0.7564011149998928,-0.002385882258490457,-0.005416673107238343,0.0009444671979361036,0.31443373003372815,0.6446125019672881,0.6420792579024038,-0.00253324406488431,-0.0056193186832702606,0.0008330021500750882,0.3929871135221736
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.714715153805187,0.7102708879139414,-0.00444426589124558,-0.0074600563261256105,-0.001369563997421067,0.6218233750304633,0.6179547530302643,0.6135077241563287,-0.004447028873935555,-0.007472295218903871,-0.0014114936567697662,0.7196366484971047
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.696349672853678,2.707895630080456,0.011545957226777759,0.006967441224428472,0.01588117708951436,-0.4282069697050127,2.6202882452073935,2.632172673276144,0.011884428068750452,0.00706946441201588,0.01642775945768721,-0.45355422597065503
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.6575132019975863,0.6609114646985358,0.0033982627009494504,0.0015791121565260913,0.005396590639420762,-0.5168356605806868,0.4255761716705696,0.4296121669606182,0.004035995290048611,0.0016267360487195238,0.006693441182013058,-0.948360260445408
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.6579227038459458,0.6618401199524158,0.003917416106470006,0.0020160060837752904,0.005984619843849336,-0.5954219368886955,0.5469209339063026,0.551157210140296,0.0042362762339933635,0.0024660990785109666,0.0060203331736793896,-0.7745683098535617
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.6252354554252723,0.6268540540774807,0.0016185986522084805,-9.961163762819967e-06,0.0033763654578396443,-0.2588782574890196,0.5207067682245289,0.52410054582758,0.0033937776030511513,0.0015877951781355427,0.005106265019350722,-0.651763681625078
optional_quality,ilr_ridge,C0_none,ilr_ridge_qproxy,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.6095501753186956,3.6065021374182415,-0.003048037900454048,-0.0069714545294155324,0.0011396346865543876,0.08444370496068612,3.557571888481252,3.553989028370634,-0.0035828601106180358,-0.007641535717526493,0.00048249081487684295,0.10071082814148218
optional_quality,ilr_ridge,C1_global,ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.6727491538045779,0.673722522167935,0.0009733683633571522,-0.003532100955343567,0.006632293735109979,-0.1446851858307798,0.5191973316614439,0.5208026911008841,0.0016053594394401793,-0.0035558980158399032,0.007963080764965947,-0.3092002484494654
optional_quality,ilr_ridge,C1_domain,ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.048542294355449,1.0441270624465595,-0.004415231908889483,-0.01140262202798024,0.003385188301197866,0.4210828626234459,0.8550506508433267,0.8520211366484653,-0.0030295141948613047,-0.008932017952117174,0.0033406566306699325,0.35430815611605343
optional_quality,ilr_ridge,C2_mixture_conditioned,ilr_ridge_qproxy,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,1.0428132624322464,1.0348917909598732,-0.00792147147237321,-0.014209900648004741,-0.001417006705558039,0.7596251177221562,0.8386291320511438,0.8324848011958155,-0.006144330855328284,-0.011944475876210028,-0.0002471775214247719,0.7326636555422656
optional_quality,quadratic_ridge,C0_none,quadratic_ridge_qproxy,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.623077879446641,3.620348049815733,-0.002729829630907954,-0.0075256452211815315,0.0021892297487255187,0.07534559625102195,3.5550730206065233,3.5522854005164586,-0.002787620090064724,-0.007615318098205426,0.002249479348926063,0.07841245661922112
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.7498201292082115,0.7488389902835005,-0.000981138924710967,-0.0036859190301140516,0.001641501817084046,0.1308499047294211,0.5746554071613561,0.5737967355704754,-0.0008586715908807108,-0.00394388652572839,0.0022847177169120934,0.1494237381533254
