comparison,reference_base_model,reference_correction,candidate_base_model,candidate_correction,dataset,role,n,rmse_reference,rmse_candidate,rmse_difference,rmse_ci95_low,rmse_ci95_high,rmse_reduction_pct,mae_reference,mae_candidate,mae_difference,mae_ci95_low,mae_ci95_high,mae_reduction_pct
optional_quality,quadratic_ridge,C1_global,quadratic_ridge_qproxy,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,quadratic_ridge,C1_domain,quadratic_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
optional_quality,quadratic_ridge,C2_mixture_conditioned,quadratic_ridge_qproxy,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.28400651077291483,0.28459804087601,0.0005915301030951503,-0.0022507616849566496,0.003343774350663476,-0.20828047268540417,0.2019101214322161,0.20217128965661146,0.00026116822439536946,-0.002191041454580008,0.002671996537033237,-0.12934875307033436
quadratic_vs_linear,ilr_ridge,C0_none,quadratic_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.34644297705135874,0.28400651077291483,-0.0624364662784439,-0.08338280749515652,-0.04197999426188183,18.022148063110528,0.2626453548842908,0.2019101214322161,-0.06073523345207471,-0.0765347644520949,-0.04518668716067967,23.124427035396
quadratic_vs_linear,ilr_ridge,C1_global,quadratic_ridge,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.28400651077291483,-0.0624364662784439,-0.08338280749515652,-0.04197999426188183,18.022148063110528,0.2626453548842908,0.2019101214322161,-0.06073523345207471,-0.0765347644520949,-0.04518668716067967,23.124427035396
quadratic_vs_linear,ilr_ridge,C1_domain,quadratic_ridge,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.28400651077291483,-0.0624364662784439,-0.08338280749515652,-0.04197999426188183,18.022148063110528,0.2626453548842908,0.2019101214322161,-0.06073523345207471,-0.0765347644520949,-0.04518668716067967,23.124427035396
quadratic_vs_linear,ilr_ridge,C2_mixture_conditioned,quadratic_ridge,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.34644297705135874,0.28400651077291483,-0.0624364662784439,-0.08338280749515652,-0.04197999426188183,18.022148063110528,0.2626453548842908,0.2019101214322161,-0.06073523345207471,-0.0765347644520949,-0.04518668716067967,23.124427035396
scale_correction,ilr_ridge,C0_none,ilr_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,1.6125830561174754,0.5518453015470415,-1.060737754570434,-1.08279448231067,-1.0371175902107923,65.77879821733411,1.518786891829006,0.41933505889313905,-1.099451832935867,-1.1251698600950466,-1.071082796618556,72.39013181183353
scale_correction,ilr_ridge,C0_none,ilr_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,1.6125830561174754,0.3733642529034672,-1.2392188032140083,-1.266179294103924,-1.208767600711977,76.84682029325081,1.518786891829006,0.27147590849078396,-1.247310983338222,-1.2735656966575497,-1.2187210107570083,82.12547725086976
scale_correction,ilr_ridge,C0_none,ilr_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,1.6125830561174754,0.3483489047715735,-1.264234151345902,-1.2912968305153458,-1.2334097984867805,78.39807981052006,1.518786891829006,0.2627179322157879,-1.2560689596132182,-1.2830448592863763,-1.2260675606315072,82.70212011776
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,1.5993338679597553,0.5493255284665994,-1.0500083394931559,-1.070990749080841,-1.0277720657208718,65.6528546370768,1.5060437806723044,0.41088849328838856,-1.0951552873839159,-1.1189328897360489,-1.0704450743464482,72.71736063974409
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,1.5993338679597553,0.368786068839705,-1.2305477991200502,-1.2557216042856973,-1.2034435521076217,76.94127059847987,1.5060437806723044,0.24912519465105137,-1.256918586021253,-1.2813970052133903,-1.2316286118091333,83.45830328120735
scale_correction,quadratic_ridge,C0_none,quadratic_ridge,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,1.5993338679597553,0.3017246800400876,-1.2976091879196676,-1.3211499446915613,-1.272248167372489,81.13435311508827,1.5060437806723044,0.21276018518910972,-1.2932835954831947,-1.317645769021881,-1.267845947756593,85.8729083497073
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,1.6120958764251363,0.5496227271115075,-1.0624731493136288,-1.0844426574224009,-1.03811548048921,65.90632510453969,1.5191594897326415,0.41725723550786764,-1.1019022542247738,-1.1282459053984164,-1.0728440416904406,72.53367810766852
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,1.6120958764251363,0.370607376472966,-1.2414884999521703,-1.2688634799982175,-1.2108932820876341,77.01083528016973,1.5191594897326415,0.26893622547593843,-1.250223264256703,-1.27634752943295,-1.2206385319138722,82.29703811261655
scale_correction,ilr_ridge_qproxy,C0_none,ilr_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,1.6120958764251363,0.3386754992678898,-1.2734203771572465,-1.3004193882013555,-1.2423705215517074,78.99160315334896,1.5191594897326415,0.2545945772062755,-1.264564912526366,-1.2912192135316103,-1.2350547255768256,83.2410896336446
scale_correction,quadratic_ridge_qproxy,C0_none,quadratic_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,1.6000657161060257,0.5505565654316951,-1.0495091506743306,-1.0710595284290325,-1.0269505720962488,65.59162790066222,1.506611890978254,0.41162647200981806,-1.0949854189684358,-1.1193319806461357,-1.0698425442531447,72.6786656553901
