axis,direction_id,to_index,from_index,to_domain,from_domain,step_kind,swap_fraction,swap_pp,simplex_feasible,training_hull_supported,slope_quality,slope_residual,observed_joint_row,delta_loss,delta_quality,delta_residual,min_convex_weight,status
Q_A_topsis_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.02,2.0,False,False,-0.011923181093896451,2.2873925133663255,False,,,,,UNSUPPORTED_AT_REQUESTED_STEP
Q_A_topsis_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.05,5.0,False,False,-0.011923181093896451,2.2873925133663255,False,,,,,UNSUPPORTED_AT_REQUESTED_STEP
Q_A_topsis_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_0.25,0.0014576958537312443,0.14576958537312443,True,True,-0.011923181093896451,2.2873925133663255,False,0.003316942210946472,-1.738037164373486e-05,0.0033343225825899336,0.0014697265625,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_0.5,0.0029153917074624886,0.29153917074624885,True,True,-0.011923181093896451,2.2873925133663255,False,0.006633884421892056,-3.476074328783142e-05,0.006668645165180013,0.000986328125,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_1.0,0.005830783414924977,0.5830783414924977,True,True,-0.011923181093896451,2.2873925133663255,False,0.013267768843784555,-6.952148657530114e-05,0.013337290330359864,1.9531250000000017e-05,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.001,0.1,True,True,0.09160266983429736,2.275659370541484,False,0.0023672620403756284,9.160266983428969e-05,0.0022756593705414844,0.0016215068258365409,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.005,0.5,True,True,0.09160266983429736,2.275659370541484,False,0.01183631020187903,0.0004580133491714886,0.011378296852707423,0.00029503412918270436,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.01,1.0,False,False,0.09160266983429736,2.275659370541484,False,,,,,UNSUPPORTED_AT_REQUESTED_STEP
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.02,2.0,False,False,0.09160266983429736,2.275659370541484,False,,,,,UNSUPPORTED_AT_REQUESTED_STEP
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fixed,0.05,5.0,False,False,0.09160266983429736,2.275659370541484,False,,,,,UNSUPPORTED_AT_REQUESTED_STEP
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_0.25,0.0014576958537312443,0.14576958537312443,True,True,0.09160266983429736,2.275659370541484,False,0.0034507480609513586,0.00013352883200817614,0.0033172192289429763,0.0014697265625,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_0.5,0.0029153917074624886,0.29153917074624885,True,True,0.09160266983429736,2.275659370541484,False,0.006901496121902273,0.0002670576640163523,0.006634438457885954,0.000986328125,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_02,0,2,arxiv,nih_exporter,fraction_of_safe_limit_1.0,0.005830783414924977,0.5830783414924977,True,True,0.09160266983429736,2.275659370541484,False,0.013802992243804546,0.0005341153280327046,0.013268876915771891,1.9531250000000017e-05,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.001,0.1,True,True,-0.013156483032078503,0.07250603922634413,False,5.934955619446569e-05,-1.3156483032069635e-05,7.250603922632766e-05,0.0019359553029368694,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.005,0.5,True,True,-0.013156483032078503,0.07250603922634413,False,0.0002967477809714403,-6.578241516050893e-05,0.0003625301961317816,0.0018672765146843472,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.01,1.0,True,True,-0.013156483032078503,0.07250603922634413,False,0.0005934955619424365,-0.00013156483032073654,0.0007250603922634193,0.0017814280293686942,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.02,2.0,True,True,-0.013156483032078503,0.07250603922634413,False,0.001186991123885317,-0.0002631296606417946,0.0014501207845269634,0.0016097310587373883,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.05,5.0,True,True,-0.013156483032078503,0.07250603922634413,False,0.0029674778097130705,-0.0006578241516040042,0.0036253019613172524,0.0010946401468434708,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fraction_of_safe_limit_0.25,0.028154162285019428,2.8154162285019426,True,True,-0.013156483032078503,0.07250603922634413,False,0.0016709370366374543,-0.00037040975838530566,0.0020413467950225056,0.0014697265625,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fraction_of_safe_limit_0.5,0.056308324570038856,5.630832457003885,True,True,-0.013156483032078503,0.07250603922634413,False,0.0033418740732744645,-0.0007408195167705711,0.004082693590044956,0.000986328125,SUPPORTED_CONDITIONAL_SCENARIO
Q_A_topsis_0_1,00_from_03,0,3,arxiv,pubmed_central,fraction_of_safe_limit_1.0,0.11261664914007771,11.26166491400777,True,True,-0.013156483032078503,0.07250603922634413,False,0.006683748146548929,-0.0014816390335408206,0.008165387180089828,1.9531250000000017e-05,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.001,0.1,True,True,0.07977109059422467,0.06090701166672252,False,0.00014067810226103816,7.977109059424724e-05,6.090701166672251e-05,0.0019359553029368694,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.005,0.5,True,True,0.07977109059422467,0.06090701166672252,False,0.0007033905113047467,0.00039885545297115585,0.0003045350583336121,0.0018672765146843472,SUPPORTED_CONDITIONAL_SCENARIO
quality_score_soft_proxy_0_1,00_from_03,0,3,arxiv,pubmed_central,fixed,0.01,1.0,True,True,0.07977109059422467,0.06090701166672252,False,0.0014067810226094934,0.0007977109059422715,0.0006090701166672242,0.0017814280293686942,SUPPORTED_CONDITIONAL_SCENARIO
