to_index,from_index,to_domain,from_domain,active_scenarios,sign_flips,neutral_present,robust_nonzero_direction,nominal_axes_agree,min_slope,max_slope
4,7,wikipedia_en,philpapers,16,True,False,False,True,-0.2719870251413149,4.246950160313785
4,8,wikipedia_en,stackexchange,16,True,False,False,True,-0.08282578114990125,0.135594709779444
4,9,wikipedia_en,enron_emails,16,True,False,False,True,-0.13553861652998683,4.435514621881956
4,10,wikipedia_en,gutenberg_pg_19,16,True,False,False,False,-0.3408424553942946,0.30476075091516597
4,11,wikipedia_en,pile_cc,16,True,False,False,True,-0.27089741960321745,0.08428194423311997
4,12,wikipedia_en,ubuntu_irc,16,True,False,False,True,-0.14382119464497695,2.165105331627619
4,13,wikipedia_en,europarl,16,True,False,False,True,-0.13458302038986883,1.15059801916901
4,14,wikipedia_en,hackernews,16,True,False,False,True,-0.14382119464497695,1.8680254203878555
4,15,wikipedia_en,pubmed_abstracts,16,True,False,False,False,-0.25992646617653525,0.1852333980145111
4,16,wikipedia_en,uspto_backgrounds,16,True,False,False,True,-0.2603844256259491,0.0033910238600238785
5,6,dm_mathematics,github,16,True,False,False,True,-1.6235639774049588,0.26635188058266873
5,7,dm_mathematics,philpapers,16,True,False,False,True,-0.040800880723598665,3.030403185671258
5,8,dm_mathematics,stackexchange,16,True,False,False,True,-1.1144461700767483,0.18893226426670673
5,9,dm_mathematics,enron_emails,16,True,False,False,True,-0.013175117366942768,3.321175779652468
5,10,dm_mathematics,gutenberg_pg_19,16,False,False,True,True,-1.0758491571359443,-0.0345422049888433
5,11,dm_mathematics,pile_cc,16,True,False,False,True,-1.2964943534563607,0.05037628104657514
5,12,dm_mathematics,ubuntu_irc,16,True,False,False,True,-0.012427433901097018,1.0426325563403187
5,13,dm_mathematics,europarl,16,True,False,False,False,-0.10703489360069696,0.13717502502673914
5,14,dm_mathematics,hackernews,16,True,False,False,True,-0.012427433901097018,0.7455526451005552
5,15,dm_mathematics,pubmed_abstracts,16,True,False,False,True,-1.0646884484733092,0.011831579240072707
5,16,dm_mathematics,uspto_backgrounds,16,True,False,False,True,-1.2730823310878439,0.01137361979065886
6,7,github,philpapers,16,True,False,False,True,-0.2665808603073757,4.613166282352619
6,8,github,stackexchange,16,True,False,False,True,-0.077419616315962,0.5091178073282105
6,9,github,enron_emails,16,True,False,False,True,-0.1301324516960476,4.810524170002497
6,10,github,gutenberg_pg_19,16,True,False,False,True,-0.33543629056035534,0.5477148202690145
6,11,github,pile_cc,16,True,False,False,False,-0.21597559953609358,0.3537924283006777
6,12,github,ubuntu_irc,16,True,False,False,True,-0.1384150298110377,2.54011487974816
6,13,github,europarl,16,True,False,False,True,-0.1291768555559296,1.516529083804262
6,14,github,hackernews,16,True,False,False,True,-0.1384150298110377,2.243034968508397
6,15,github,pubmed_abstracts,16,True,False,False,True,-0.254520301342596,0.5602429461350522
6,16,github,uspto_backgrounds,16,True,False,False,True,-0.25497826079200986,0.350481646317115
7,8,philpapers,stackexchange,16,True,False,False,True,-4.111355450534341,0.18916124399141368
7,9,philpapers,enron_emails,16,False,False,True,True,0.013812881678327948,0.3113095376443704
7,10,philpapers,gutenberg_pg_19,16,False,False,True,True,-4.065451462083605,-0.03442771512648982
7,11,philpapers,pile_cc,16,True,False,False,True,-4.326897539127619,0.06752368507567796
7,12,philpapers,ubuntu_irc,16,True,False,False,True,-2.10142484942696,0.12816583049633798
7,13,philpapers,europarl,16,True,False,False,True,-3.096637198548357,0.1374040047514461
7,14,philpapers,hackernews,16,True,False,False,True,-2.3985047606667234,0.12816583049633798
7,15,philpapers,pubmed_abstracts,16,True,False,False,True,-4.094957518879347,0.04203418266178027
7,16,philpapers,uspto_backgrounds,16,True,False,False,True,-4.2626846360355035,0.01160259951536581
8,9,stackexchange,enron_emails,16,True,False,False,True,-0.05271283538008559,4.301406362674287
8,10,stackexchange,gutenberg_pg_19,16,True,False,False,False,-0.25801667424439334,0.1781293263659558
8,11,stackexchange,pile_cc,16,True,False,False,True,-0.3236663482327602,0.07680510957466069
8,12,stackexchange,ubuntu_irc,16,True,False,False,True,-0.0609954134950757,2.0309970724199493
8,13,stackexchange,europarl,16,True,False,False,True,-0.051757239239967584,1.016014623617913
8,14,stackexchange,hackernews,16,True,False,False,True,-0.0609954134950757,1.733917161180186
8,15,stackexchange,pubmed_abstracts,16,True,False,False,False,-0.177100685026634,0.051315607160763
8,16,stackexchange,uspto_backgrounds,16,False,False,True,True,-0.30976233039546797,-0.015143077143217054
9,10,enron_emails,gutenberg_pg_19,16,False,False,True,True,-4.3665696355162344,-0.08821975064039522
9,11,enron_emails,pile_cc,16,True,False,False,True,-4.557170092420058,0.03989792171902207
9,12,enron_emails,ubuntu_irc,16,True,False,False,True,-2.278543223312149,0.0007476834658457499
9,13,enron_emails,europarl,16,True,False,False,True,-3.2939950861982354,0.0009555961401180035
9,14,enron_emails,hackernews,16,True,False,False,True,-2.575623134551913,0.0007476834658457499
9,15,enron_emails,pubmed_abstracts,16,True,False,False,True,-4.374032648885704,0.014408419305124376
9,16,enron_emails,uspto_backgrounds,16,False,False,True,True,-4.543266074582766,-0.033596671071036366
10,11,gutenberg_pg_19,pile_cc,16,True,False,False,True,-0.41025981496814934,0.2163374229998125
10,12,gutenberg_pg_19,ubuntu_irc,16,False,False,True,True,0.0885935923733181,2.088026412204085
10,13,gutenberg_pg_19,europarl,16,False,False,True,True,0.06546448314164499,1.0963119614785346
10,14,gutenberg_pg_19,hackernews,16,False,False,True,True,0.0885935923733181,1.7909465009643215
10,15,gutenberg_pg_19,pubmed_abstracts,16,True,False,False,False,-0.17831979471987713,0.19084792058591482
10,16,gutenberg_pg_19,uspto_backgrounds,16,True,False,False,True,-0.30647933309061726,0.10924615913871771
11,12,pile_cc,ubuntu_irc,16,True,False,False,True,-0.03915023825317632,2.278626869107909
11,13,pile_cc,europarl,16,True,False,False,True,-0.08540845671652253,1.2869124183823586
11,14,pile_cc,hackernews,16,True,False,False,True,-0.03915023825317632,1.9815469578681453
11,15,pile_cc,pubmed_abstracts,16,True,False,False,True,-0.038544701806502435,0.2319400202482722
11,16,pile_cc,uspto_backgrounds,16,True,False,False,False,-0.1070912638610948,0.10378048187753208
12,13,ubuntu_irc,europarl,16,True,False,False,True,-1.023585795943898,0.009238174255108117
12,14,ubuntu_irc,hackernews,16,False,True,False,True,-0.2970799112397635,0.0
12,15,ubuntu_irc,pubmed_abstracts,16,True,False,False,True,-2.095489425573555,0.013660735839278626
12,16,ubuntu_irc,uspto_backgrounds,16,False,False,True,True,-2.2647228512706166,-0.03397051280395924
13,14,europarl,hackernews,16,True,False,False,True,-0.009238174255108117,0.7265058847041347
13,15,europarl,pubmed_abstracts,16,True,False,False,True,-1.103774974848005,0.05991895430262484
13,16,europarl,uspto_backgrounds,16,False,False,True,True,-1.2730084005450664,-0.010841403572286135
14,15,hackernews,pubmed_abstracts,16,True,False,False,True,-1.7984095143337917,0.013660735839278626
14,16,hackernews,uspto_backgrounds,16,False,False,True,True,-1.967642940030853,-0.03397051280395924
15,16,pubmed_abstracts,uspto_backgrounds,16,False,False,True,True,-0.20976129981793723,-0.00022897972470692363
