block,model,dataset,mean_target_r2,centered_relative_mean_target_r2,mae,rmse,mean_target_spearman
baseline,shared_alpha_ridge,A10_A11_validation_1b,-10.02874683031743,0.19148432481552025,0.3980706458533451,0.48093088381117505,0.8137292194984502
baseline,target_specific_alpha_ridge,A10_A11_validation_1b,-10.931588458387836,-0.8016991510480925,0.4463676523961823,0.5478823353625194,0.8434805579036346
baseline,shared_alpha_ridge,A12_A13_extrapolation_10b,-21.512469747589194,-1.3316013597883871,0.9339046287338085,1.170726384725668,0.3025922684949572
baseline,target_specific_alpha_ridge,A12_A13_extrapolation_10b,-21.682132644105625,-1.7740989611093076,0.9221597223096777,1.1502032360821441,0.4223286448249094
baseline,shared_alpha_ridge,A14_A15_extrapolation_70b,-55.39562483589542,-2.473336995121114,1.2815233809628235,1.6345468025801726,0.09331532616008081
baseline,target_specific_alpha_ridge,A14_A15_extrapolation_70b,-53.05572890719244,-3.1656838791889177,1.1990115192892024,1.5547785494756325,0.23799316531053255
q_raw_coverage,shared_alpha_ridge,A10_A11_validation_1b,-9.50220863656431,0.16017369267380277,0.38852153839209724,0.46814038905163263,0.8405043674274443
q_raw_coverage,target_specific_alpha_ridge,A10_A11_validation_1b,-10.401837309793063,-0.7467849869078265,0.43719906740110015,0.5362237475416284,0.8674380107072414
q_raw_coverage,shared_alpha_ridge,A12_A13_extrapolation_10b,-21.090439285326468,-1.3822811032275257,0.924986146654353,1.1612123538904122,0.3128686511711767
q_raw_coverage,target_specific_alpha_ridge,A12_A13_extrapolation_10b,-21.038076014446816,-1.6497697225511687,0.9033050119709408,1.13684415283062,0.4190108288859351
q_raw_coverage,shared_alpha_ridge,A14_A15_extrapolation_70b,-54.64720113295722,-2.5717334991135488,1.272711673429554,1.624828367072235,0.10745786889274768
q_raw_coverage,target_specific_alpha_ridge,A14_A15_extrapolation_70b,-52.25317142413327,-2.9609560715779257,1.1900632111608649,1.5451635176191227,0.23342900796872548
