pair,role,scale_low,scale_high,log10_scale_gap,index,target,loss_low,loss_high,delta_low_minus_high
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_arxiv_val_loss,4.409877777099609,2.9710326194763184,1.438845157623291
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_freelaw_val_loss,5.640962600708008,4.223860740661621,1.4171018600463867
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_pubmed_central_val_loss,4.020509719848633,2.7380499839782715,1.2824597358703613
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_wikipedia_en_val_loss,5.786686897277832,4.429556369781494,1.357130527496338
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_dm_mathematics_val_loss,5.373439788818359,3.3373360633850098,2.0361037254333496
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_github_val_loss,6.537395000457764,3.5947976112365723,2.9425973892211914
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_stackexchange_val_loss,6.013463020324707,4.206147193908691,1.8073158264160156
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_gutenberg_pg_19_val_loss,5.168976306915283,4.260997772216797,0.9079785346984863
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_pile_cc_val_loss,5.318245887756348,4.253109455108643,1.065136432647705
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_ubuntu_irc_val_loss,6.67406177520752,4.78766393661499,1.8863978385925302
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_hackernews_val_loss,4.873101711273193,3.9552814960479736,0.9178202152252197
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_pubmed_abstracts_val_loss,4.895959377288818,3.576695442199707,1.3192639350891113
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,1,metric/the_pile_uspto_backgrounds_val_loss,5.148867130279541,3.7384769916534415,1.4103901386260995
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_arxiv_val_loss,4.512282848358154,3.040354013442993,1.4719288349151611
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_freelaw_val_loss,4.921931266784668,3.640716075897217,1.2812151908874512
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_pubmed_central_val_loss,4.903955459594727,3.3398211002349854,1.5641343593597412
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_wikipedia_en_val_loss,5.70341682434082,4.337239742279053,1.3661770820617676
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_dm_mathematics_val_loss,2.097456693649292,1.6829262971878052,0.4145303964614868
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_github_val_loss,5.441458225250244,2.788279294967652,2.6531789302825923
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_stackexchange_val_loss,4.677060604095459,3.1255481243133545,1.5515124797821045
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_gutenberg_pg_19_val_loss,5.2638750076293945,4.329345703125,0.9345293045043945
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_pile_cc_val_loss,5.180474281311035,4.123269557952881,1.0572047233581543
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_ubuntu_irc_val_loss,5.07625675201416,3.627320528030396,1.4489362239837642
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_hackernews_val_loss,5.219114780426025,4.225762367248535,0.9933524131774902
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_pubmed_abstracts_val_loss,5.637612342834473,4.298140048980713,1.3394722938537598
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,2,metric/the_pile_uspto_backgrounds_val_loss,4.686643600463867,3.3981151580810547,1.2885284423828125
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_arxiv_val_loss,4.88704776763916,3.236415386199951,1.650632381439209
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_freelaw_val_loss,5.998435020446777,4.567698955535889,1.4307360649108887
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_pubmed_central_val_loss,4.854981422424316,3.2393157482147217,1.6156656742095947
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_wikipedia_en_val_loss,5.9705963134765625,4.611217021942139,1.3593792915344238
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_dm_mathematics_val_loss,2.0013649463653564,1.5915392637252808,0.4098256826400757
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_github_val_loss,3.97126579284668,1.8803625106811523,2.090903282165528
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_stackexchange_val_loss,4.995669364929199,3.390350818634033,1.605318546295166
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_gutenberg_pg_19_val_loss,4.931246757507324,4.027015209197998,0.9042315483093262
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_pile_cc_val_loss,5.765591144561768,4.73043155670166,1.0351595878601074
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_ubuntu_irc_val_loss,7.315047264099121,5.05939245223999,2.255654811859131
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_hackernews_val_loss,5.19017219543457,4.225453853607178,0.9647183418273926
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_pubmed_abstracts_val_loss,5.143716335296631,3.803347110748291,1.3403692245483398
A6_A8_1m_vs_60m,validation,1M,60M,1.7781512503836439,3,metric/the_pile_uspto_backgrounds_val_loss,5.0840325355529785,3.705970287322998,1.3780622482299805
