mapping_id,G_source,G_used,delta_q,delta_L_median_cell,epsilon_q_at_baseline_median_cell,epsilon_q_at_upper_median_cell
M1_linear_normalization,true_order_G,0.36224743500545836,0.2344023816008841,0.08491166149409092,-0.0694527429051637,-0.10651827838879038
M1_linear_normalization,declared_order_G,0.28280291348008263,0.2344023816008841,0.06628967644340014,-0.054975366215536677,-0.08370985249502327
M5_linear_normalization_clamped,true_order_G,0.36224743500545836,0.2344023816008841,0.08491166149409092,-0.0694527429051637,-0.10651827838879038
M5_linear_normalization_clamped,declared_order_G,0.28280291348008263,0.2344023816008841,0.06628967644340014,-0.054975366215536677,-0.08370985249502327
M2_minmax_observed,true_order_G,0.36224743500545836,0.34407592752233696,0.12464062219209056,-0.05569497956426099,-0.10955019497717572
M2_minmax_observed,declared_order_G,0.28280291348008263,0.34407592752233696,0.09730567476167865,-0.04420393450159949,-0.08604207178334464
M3_robust_quantile_p05_p95,true_order_G,0.36224743500545836,0.9000000000000002,0.3260226915049126,-0.013543485728423057,-0.1542347414626709
M3_robust_quantile_p05_p95,declared_order_G,0.28280291348008263,0.9000000000000002,0.25452262213207444,-0.010838466427847972,-0.12009995860213642
M4_rank_quantile_isotonic,true_order_G,0.36224743500545836,0.9,0.32602269150491253,-0.013543485728423057,-0.15423474146267088
M4_rank_quantile_isotonic,declared_order_G,0.28280291348008263,0.9,0.2545226221320744,-0.010838466427847972,-0.12009995860213639
