mapping_id,grid,N_params_B,D_tokens_B,Q_A_baseline_p05,Q_A_upper_p95,q_baseline,q_upper,delta_q,L_at_baseline_q,L_at_upper_q,delta_L_upper_minus_baseline,relative_loss_reduction,G_times_delta_q,base_L_at_Q1,epsilon_q_at_baseline,epsilon_q_at_upper
M1_linear_normalization,cell,1.0,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5348697723004014,2.449958110806311,-0.08491166149409057,0.03349744528178779,0.08491166149409092,2.348675995888594,-0.0694527429051637,-0.10651827838879038
M1_linear_normalization,cell_00,0.07,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.4965995049149496,3.411687843420859,-0.08491166149409057,0.02428406838550872,0.08491166149409092,3.310405728503142,-0.05034996382805155,-0.07649155844987118
M1_linear_normalization,cell_01,0.07,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.2455379216443307,3.16062626015024,-0.08491166149409057,0.026162584922461984,0.08491166149409092,3.059344145232523,-0.0542448317795203,-0.08256759850983983
M1_linear_normalization,cell_02,0.07,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.1292184313622875,3.044306769868197,-0.08491166149409057,0.02713510205713724,0.08491166149409092,2.94302465495048,-0.056261223834415,-0.0857224122978382
M1_linear_normalization,cell_03,0.07,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0723918481352936,2.987480186641203,-0.08491166149409057,0.02763698958048774,0.08491166149409092,2.886198071723486,-0.05730182453794158,-0.08735298773015213
M1_linear_normalization,cell_04,0.07,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.025680824513882,2.9407691630197914,-0.08491166149409057,0.02806365456863178,0.08491166149409092,2.8394870481020744,-0.05818646076852344,-0.08874049801983226
M1_linear_normalization,cell_05,0.16,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.2628735588977396,3.177961897403649,-0.08491166149409057,0.026023583188671075,0.08491166149409092,3.076679782485932,-0.05395662915394273,-0.08211719602457998
M1_linear_normalization,cell_06,0.16,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0118119756271207,2.92690031413303,-0.08491166149409057,0.02819288261725244,0.08491166149409092,2.825618199215313,-0.05845439888623615,-0.08916098673659184
M1_linear_normalization,cell_07,0.16,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8954924853450774,2.810580823850987,-0.08491166149409057,0.029325464294538143,0.08491166149409092,2.70929870893327,-0.06080266465366738,-0.09285102846826283
M1_linear_normalization,cell_08,0.16,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8386659021180836,2.753754240623993,-0.08491166149409057,0.02991252384816873,0.08491166149409092,2.652472125706276,-0.06201985885774279,-0.09476710602490351
M1_linear_normalization,cell_09,0.16,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.791954878496672,2.7070432170025813,-0.08491166149409057,0.030412977712523513,0.08491166149409092,2.6057611020848643,-0.06305748704952092,-0.09640234719883778
M1_linear_normalization,cell_10,0.41,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,3.0548446271317364,2.969932965637646,-0.08491166149409057,0.027795738198906725,0.08491166149409092,2.868650850719929,-0.05763096984704962,-0.08786909438937866
M1_linear_normalization,cell_11,0.41,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.8037830438611175,2.718871382367027,-0.08491166149409057,0.030284676155669262,0.08491166149409092,2.61758926744931,-0.06279146989604638,-0.09598295887779265
M1_linear_normalization,cell_12,0.41,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6874635535790743,2.6025518920849837,-0.08491166149409057,0.0315954653156163,0.08491166149409092,2.5012697771672667,-0.0655092264820441,-0.10027285945052734
M1_linear_normalization,cell_13,0.41,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6306369703520804,2.54572530885799,-0.08491166149409057,0.032277985313468066,0.08491166149409092,2.444443193940273,-0.06692434591994953,-0.10251118578257384
M1_linear_normalization,cell_14,0.41,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.5839259467306688,2.499014285236578,-0.08491166149409057,0.03286149187112954,0.08491166149409092,2.397732170318861,-0.06813417343341586,-0.10442730224850891
M1_linear_normalization,cell_15,0.7,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.958781739160952,2.8738700776668615,-0.08491166149409057,0.028698183570028967,0.08491166149409092,2.7725879627491445,-0.059502076906685165,-0.09080623446262578
M1_linear_normalization,cell_16,0.7,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.707720155890333,2.6228084943962426,-0.08491166149409057,0.03135909791467004,0.08491166149409092,2.5215263794785256,-0.06501914838232681,-0.09949842721849751
M1_linear_normalization,cell_17,0.7,150.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.59140066560829,2.5064890041141994,-0.08491166149409057,0.03276670513402022,0.08491166149409092,2.4052068891964824,-0.06793764504661222,-0.10411588467349671
M1_linear_normalization,cell_18,0.7,300.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.534574082381296,2.4496624208872055,-0.08491166149409057,0.03350135317974763,0.08491166149409092,2.3483803059694885,-0.06946084544044727,-0.10653113582614644
M1_linear_normalization,cell_19,0.7,600.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.4878630587598844,2.402951397265794,-0.08491166149409057,0.0341303598665178,0.08491166149409092,2.301669282348077,-0.07076501175326244,-0.10860199685465209
M1_linear_normalization,cell_20,1.0,10.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.9022508458530636,2.817339184358973,-0.08491166149409057,0.02925717520779371,0.08491166149409092,2.716057069441256,-0.06066107581472783,-0.09262829322665274
M1_linear_normalization,cell_21,1.0,50.0,42.88931989600419,68.9340289627691,0.48600387906403775,0.7204062606649219,0.2344023816008841,2.6511892625824447,2.566277601088354,-0.08491166149409057,0.03202776304675459,0.08491166149409092,2.464995486170637,-0.06640554149731355,-0.1016902146428222
