candidate_index,observed_scalar_loss_z,predicted_scalar_loss_z_mean,predicted_scalar_loss_z_median,predicted_scalar_loss_z_min,predicted_scalar_loss_z_max,model_representation_count,predicted_policy_rank
46,-0.70846920243805,-0.6180655157697704,-0.6580568192316948,-0.8956620768165682,-0.2650536389911932,6,1
323,-0.38705641031247473,-0.6109984139970733,-0.6012330555768672,-0.8485243699134956,-0.4230805176393733,6,2
270,-0.8004356629611261,-0.5988739616635543,-0.6047898468369508,-0.8809006486962753,-0.30266934403256823,6,3
97,-0.547512702364499,-0.5243435859116803,-0.46348576830834687,-0.8283941319101186,-0.2423184723666395,6,4
170,-0.8267577350888266,-0.5212072047105925,-0.5308530938133845,-0.8063533049655841,-0.2798769853493316,6,5
186,-0.6098207946786401,-0.5196549254492399,-0.5271922356848211,-0.6410578222928109,-0.3719049774401792,6,6
