tau,model,n,MAE,RMSE,mean_bias_pred_minus_actual,median_abs_error,max_abs_error,pinball_loss,coverage_y_le_pred,coverage_error
0.9,intercept,691,12.989753789553072,15.578107864974152,11.82064569482528,11.135035121273738,28.04867887162424,1.766618616846424,0.8581765557163531,-0.04182344428364693
0.9,params,691,6.153548556107865,8.235920107819851,5.175345458833054,4.293720857470902,32.57116383759541,1.006636094520711,0.8205499276410999,-0.07945007235890011
0.9,params_type,691,6.1972391208096,8.076231394595904,5.0313367736654655,5.129136820527947,30.950328507063855,1.0860848509386136,0.8133140376266281,-0.0866859623733719
0.9,params_time,691,10.018917579210791,11.845906014957153,9.947722741472584,9.673112589723736,37.03104104697398,1.030369693016361,0.959479015918958,0.05947901591895799
0.9,full,691,9.645387294347453,11.439269178803183,9.515968604119987,9.526852208431208,34.69883240462954,1.0163062055257313,0.9493487698986975,0.04934876989869752
0.95,intercept,691,14.901379835933298,17.555129458551708,14.325948146504366,13.640337572952824,30.553981323303326,1.0040132520396845,0.9015918958031838,-0.04840810419681618
0.95,params,691,7.20150738445693,9.134774061560371,6.542794465738005,6.090897387875955,33.089357647317144,0.6564961826463618,0.8726483357452967,-0.0773516642547033
0.95,params_type,691,7.384181023946052,9.292899288769497,6.7648923521409285,6.748877213988958,32.167314807888715,0.6478889535096088,0.8784370477568741,-0.07156295224312581
0.95,params_time,691,11.15631841123999,12.871382418386435,11.129684151778664,11.327594233608888,37.58950924613332,0.5698013373195966,0.984081041968162,0.034081041968162085
0.95,full,691,10.373915375780763,12.144822902533019,10.285232174018438,10.50309802307757,35.21818011123699,0.5586032095820853,0.9638205499276411,0.013820549927641146
