cohort,tau,n_train,n_test,pinball_loss,MAE,RMSE,bias,R2,pseudo_R2
all_four_types,0.9,1167,684,1.006303384099597,9.457107480329716,11.250653323723075,9.305625890163153,-0.22508836989570336,0.4229165119212792
all_four_types,0.95,1167,684,0.559348917691612,10.38726440176718,12.132635206845578,10.298407295982175,-0.424696021273993,0.4290225685823672
pretrained_only,0.9,96,41,0.7242237128861831,6.8258215017413395,7.339360482032256,6.721717594961215,-0.5337700290943557,0.44998593262095055
pretrained_only,0.95,96,41,0.406937756304215,8.138755126084293,8.666317797415896,8.138755126084293,-1.1385185919660126,0.4420046493351536
