budget_FLOPs,L_ctx,N_B,D_B,pred_loss,train_share,attn_share,ratio_attn_train
1e+19,2048,0.22130872682255026,7.04969832305993,2.9989349308701945,0.9360958562156765,0.06390414378432352,0.06826666666666667
1e+19,4096,0.21520455780189812,6.814203621545905,3.0114429377729985,0.8798686062881275,0.12013139371187236,0.13653333333333337
1e+19,8192,0.20445862425715358,6.403127777211703,3.0346606390548017,0.7855048177628824,0.21449518223711778,0.2730666666666667
1e+19,32768,0.16337377977418605,4.875838998467005,3.1412393921621873,0.4779505480499618,0.5220494519500383,1.0922666666666667
1e+19,131072,0.1067536119323308,2.9078190343467143,3.3671612324951328,0.18625211085725643,0.8137478891427439,4.369066666666667
1e+22,2048,5.006854585842879,311.60476774597913,2.143179647318553,0.9360958562156764,0.06390414378432352,0.06826666666666667
1e+22,4096,4.868754805085847,301.19563129674236,2.1475114357647915,0.8798686062881277,0.12013139371187238,0.13653333333333334
1e+22,8192,4.625640457901484,283.02560654820206,2.1555522188361693,0.7855048177628824,0.21449518223711778,0.2730666666666667
1e+22,32768,3.696143257490011,215.51768729085555,2.1924627046483907,0.47795054804996184,0.5220494519500383,1.0922666666666665
1e+22,131072,2.41517729161785,128.52894312953458,2.2707042362778527,0.18625211085725643,0.8137478891427438,4.369066666666666
1e+24,2048,40.05062251430415,3895.469439463137,1.913386572931932,0.9360958562156765,0.06390414378432353,0.06826666666666668
1e+24,4096,38.94594050415608,3765.341543081721,1.9155228290664181,0.8798686062881276,0.12013139371187236,0.13653333333333334
1e+24,8192,37.00123035131402,3538.1923353394054,1.9194882055790259,0.7855048177628823,0.21449518223711775,0.2730666666666667
1e+24,32768,29.566035087796017,2694.2545538638788,1.9376909070086592,0.4779505480499618,0.5220494519500384,1.092266666666667
1e+24,131072,19.319385525038587,1606.7808386544116,1.976276344406959,0.1862521108572564,0.8137478891427438,4.369066666666667
