mapping_scenario,cost_family,Lctx,budget_flops,candidate_count,Q_A_min_0_100,Q_A_median_0_100,Q_A_max_0_100,Q_B_min,Q_B_median,Q_B_max,N_B_min,N_B_median,N_B_max,D_B_min,D_B_median,D_B_max,loss_min,loss_median,loss_max,quality_cost_share_min,quality_cost_share_median,quality_cost_share_max,budget_active_rate
M2_interval_high,exponential,2048,1e+19,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,0.4586092897280066,0.5390862488870698,0.5662817774823675,1.4525161271173834,1.5870608141520006,2.1157420924315846,3.274569854116581,3.3075195274234312,3.3198235524492428,0.37807716689610216,0.4519391379019818,0.4727889827797456,1.0
M2_interval_high,exponential,2048,1e+22,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,8.43691810522791,8.63036009848756,8.70171248090728,169.4069316982513,171.91645404225093,179.00538176650042,2.1056746701902433,2.1130764238332853,2.139391281132072,0.03198775873462277,0.049021462448209624,0.055141371182168906,1.0
M2_interval_high,exponential,2048,1e+24,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,2.0345521554191395,2.0425525924327346,2.0704808498317453,0.02276886818479102,0.03585192716858226,0.04071194461400945,0.0
M2_interval_high,exponential,4096,1e+19,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,0.4401203356824243,0.5167078859896195,0.5425986397002969,1.4378033365090237,1.5700603189070708,2.088449820415477,3.286243374333155,3.318680674627035,3.330832318264871,0.373200114575344,0.44710286250952913,0.4680000202506404,1.0
M2_interval_high,exponential,4096,1e+22,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,8.16819009763431,8.350475036966184,8.417754421055859,164.86057398728866,167.24021728296918,173.95087759811443,2.110803772834912,2.1182171815833906,2.144564220380047,0.031084533042406052,0.04768836160411134,0.0536615474491196,1.0
M2_interval_high,exponential,4096,1e+24,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,2.0345521554191395,2.0425525924327346,2.0704808498317453,0.021430549268474132,0.03377134756607133,0.038360359380407744,0.0
M2_interval_high,exponential,8192,1e+19,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,0.4082640527929447,0.4782009127662412,0.501859971865864,1.4107610396627193,1.5388465036965409,2.038546450047724,3.3079722220828303,3.339466105788432,3.351336641684111,0.36428252251382914,0.4382230317346376,0.45919784602415337,1.0
M2_interval_high,exponential,8192,1e+22,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,7.698681128150999,7.862148509455206,7.922544945247248,156.81223858795593,158.96994288401206,165.03671502585567,2.1203210195510427,2.1277552776061057,2.1541597964946244,0.029491597238469634,0.045330632938438684,0.051041842073449965,1.0
M2_interval_high,exponential,8192,1e+24,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,2.0345521554191395,2.0425525924327346,2.0704808498317453,0.019176248689549143,0.030259299172324505,0.03438777648533817,0.0
M2_interval_high,exponential,32768,1e+19,6,62.4542230821855,63.53652213457976,63.84656172189968,0.8659729577625322,0.943070142449541,0.9651557012154008,0.2948420850508122,0.3417307151688147,0.357648648948107,1.2911983393108335,1.4013811906847908,1.8220573341635409,3.4086465741619665,3.4359425023865295,3.4465534503386466,0.32559652581807536,0.39911351281136215,0.420280599996519,1.0
