block,alpha,fold,mean_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse
p_only,0.0001,1,0.7380849246280066,0.741975365363737,0.8630807754824801,0.28685342029603506,0.38679579563451616
p_only,0.0001,2,0.7327812975241138,0.740742927682692,0.8764180400717765,0.28980092895872495,0.390606972354956
p_only,0.0001,3,0.7230981972453626,0.7320500881990599,0.8683594142483264,0.29738101156495367,0.4202930713785443
p_only,0.0001,4,0.7511618871828687,0.7557285797289294,0.881175070017655,0.2818174934128199,0.3931374494979184
p_only,0.0001,5,0.6885661378597401,0.6966663133524947,0.8574245246867963,0.2922184477515989,0.41060372578058774
p_only,0.001,1,0.7380850351432942,0.7419754568428053,0.8630807754824801,0.286853418125554,0.38679572792029876
p_only,0.001,2,0.732781375769057,0.7407429970944743,0.8764180400717765,0.28980092085342185,0.39060696234463294
p_only,0.001,3,0.7230980639427268,0.7320499886749757,0.8683594142483264,0.29738098864034185,0.4202931759248803
p_only,0.001,4,0.7511618945292011,0.7557286080618064,0.881175070017655,0.2818175239279278,0.39313752556954157
p_only,0.001,5,0.6885664650188237,0.6966666276831138,0.8574245246867963,0.29221814891542314,0.41060340029716247
p_only,0.01,1,0.7380861398051608,0.7419763711595364,0.8630807754824801,0.28685339641511864,0.3867950512015299
p_only,0.01,2,0.7327821577650753,0.7407436907644284,0.8764180400717765,0.28980083980274407,0.39060686262852934
p_only,0.01,3,0.7230967305457268,0.7320489930642662,0.8683594142483264,0.29738075940241876,0.4202942217524379
p_only,0.01,4,0.7511619675659198,0.7557288909658134,0.881175070017655,0.281817843095124,0.3931382866110131
p_only,0.01,5,0.6885697359954536,0.6966697703845803,0.8574245246867963,0.29221516064458336,0.4106001459793845
p_only,0.1,1,0.7380971373495506,0.7419854669572794,0.8630900685660603,0.28685317874862454,0.386788326332067
p_only,0.1,2,0.7327899324081119,0.7407505827009284,0.876401988381956,0.2898000295312744,0.3906059041589683
p_only,0.1,3,0.7230833595330306,0.7320389999918787,0.8683559345698662,0.2973784678423628,0.42030471642570355
p_only,0.1,4,0.7511626552953784,0.7557316775523426,0.881175070017655,0.28182149958342706,0.39314592953088484
p_only,0.1,5,0.6886023843746555,0.6967011369598334,0.8574097360533398,0.2921852870249719,0.4105676544253091
p_only,1.0,1,0.7382022317360103,0.7420717134080442,0.8631432925902021,0.2868544431628998,0.38672528730329736
p_only,1.0,2,0.7328631710315202,0.7408150494429788,0.8764552124060976,0.28979304529069994,0.3906001674616095
p_only,1.0,3,0.7229459666448955,0.7319353939085117,0.8683115686694973,0.2973598700254428,0.42041328092448077
p_only,1.0,4,0.7511652914079904,0.7557553204651134,0.8811828992941907,0.2818628697793269,0.39322559053825495
p_only,1.0,5,0.6889227627228119,0.6970087915599021,0.8573627603941257,0.29188796518875343,0.410247877562101
p_only,10.0,1,0.7387903334315893,0.7424873931715962,0.8628813965983937,0.2870961435475253,0.38649439322809404
p_only,10.0,2,0.7331677055636732,0.7410371652644875,0.8765295570747403,0.2900200741058725,0.39090714041602875
p_only,10.0,3,0.7212243406071176,0.7305520575659317,0.8683193979460329,0.29745477069094645,0.4218394956330333
p_only,10.0,4,0.7507892052213072,0.7555909440317924,0.8813020782814563,0.2824272637294778,0.3943273248830153
p_only,10.0,5,0.6915478159560121,0.6995155810712349,0.8578455657804942,0.2895133916745202,0.40754096179665794
p_only,100.0,1,0.7158248743944361,0.7188077012245709,0.8615220719183292,0.3052644194140276,0.4083571942699949
p_only,100.0,2,0.7093795742328287,0.7167965297068805,0.8771031937793788,0.308393752820601,0.4155725416033993
p_only,100.0,3,0.6832877433195192,0.6958539441341467,0.867485145035173,0.31829762437955017,0.45522655158071684
p_only,100.0,4,0.7218868431185673,0.7288466054340182,0.8806913947116719,0.3027714608648671,0.42296523520868823
p_only,100.0,5,0.6816163401187647,0.6889910710011061,0.8587885586432388,0.29382034517303196,0.41216695379096613
p_q_raw_coverage,0.0001,1,0.7613091533039579,0.7651806789203957,0.879098672271804,0.27468923522938227,0.3755984146103714
p_q_raw_coverage,0.0001,2,0.7510532014333067,0.7590277984897992,0.8883334628732863,0.2794407246060054,0.38293623080350475
