block,dataset,role,alpha,mean_target_r2,median_target_r2,centered_relative_mean_target_r2,mean_target_spearman,mae,rmse
p_only,A4_A5_train_1m,fit,10.0,0.7534682337190024,0.7772399028279904,0.7534682337190024,0.8830041273714669,0.27598526293623576,0.3822371939016146
p_only,A6_A7_validation_1m,same_scale_validation,10.0,0.7648632501349787,0.7544938793042563,0.7722456123381226,0.8897807102487807,0.2626453548842908,0.34644297705135874
p_only,A8_A9_validation_60m,cross_scale_diagnostic,10.0,-7.955139952018306,-8.44827328514894,0.6147966327852203,0.885947761325422,1.518786891829006,1.6125830561174752
p_only,A10_A11_validation_1b,cross_scale_diagnostic,10.0,-608.4885698380405,-458.98509585800423,-2.34540610346311,0.8610911524373062,2.955363351632918,3.0237821656137562
p_only,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,-235.0801385607503,-234.7187359935646,-2.398323271358777,0.6977767484294162,3.5575718884812515,3.609550175318696
p_only,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,-382.6760848403916,-377.1596125469685,-4.791769800800635,0.6344811766919685,3.9401689580783215,3.996970312628592
p_q_raw_coverage,A4_A5_train_1m,fit,0.1,0.7742258780762602,0.7782543870442156,0.7742258780762602,0.8947758855890164,0.2661347282547274,0.3720935858182263
p_q_raw_coverage,A6_A7_validation_1m,same_scale_validation,0.1,0.7819076739760609,0.7643297885179621,0.7888943653420531,0.8997593953025688,0.25363432605415537,0.3376106462955559
p_q_raw_coverage,A8_A9_validation_60m,cross_scale_diagnostic,0.1,-7.937686120255238,-8.463454574321469,0.6147006162209714,0.8961796507738083,1.5176218166396471,1.6119459131414482
p_q_raw_coverage,A10_A11_validation_1b,cross_scale_diagnostic,0.1,-603.8310871865631,-454.20193683600684,-2.6666468269145684,0.8723619329388559,2.946620154177509,3.0178163881317306
p_q_raw_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,0.1,-234.56109146532572,-232.72800914657566,-2.5905021780680046,0.6984801894754321,3.5523005271927377,3.606185483243075
p_q_raw_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,0.1,-382.03420776533534,-377.5880004901062,-5.092510639149558,0.6336872776018141,3.934897596789807,3.9936389805779595
p_q_renorm_coverage,A4_A5_train_1m,fit,10.0,0.7763578678065528,0.793157672768712,0.7763578678065528,0.8945155727723771,0.2645459922369894,0.36701219345415564
p_q_renorm_coverage,A6_A7_validation_1m,same_scale_validation,10.0,0.7811294306471742,0.7776502960659846,0.7874021775976862,0.8990599745585153,0.25225401017026283,0.3359934282351641
p_q_renorm_coverage,A8_A9_validation_60m,cross_scale_diagnostic,10.0,-7.8875673582049135,-8.379849586824369,0.627759583112696,0.8953835039702801,1.5132297245519863,1.6049012711203534
p_q_renorm_coverage,A10_A11_validation_1b,cross_scale_diagnostic,10.0,-613.455575410145,-460.51731930895113,-2.5123734859322218,0.8765990419836573,2.9641866552006326,3.0339418848089927
p_q_renorm_coverage,A12_A13_extrapolation_10b,extrapolation_diagnostic,10.0,-234.13978104656252,-233.20093434325156,-2.3643894610244036,0.6955242917722179,3.5495844186780765,3.601558149569096
p_q_renorm_coverage,A14_A15_extrapolation_70b,extrapolation_diagnostic,10.0,-381.27176737962714,-375.7774872177087,-4.722374090874573,0.6302753546121939,3.932181488275146,3.989013084134863
