block,dataset,role,alpha,target,r2,centered_relative_r2,spearman,mae,rmse,mean_residual
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_arxiv_val_loss,0.7772399028279904,0.7772399028279904,0.9281818809294927,0.3545894799333814,0.4785555975898244,1.457167719820518e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_freelaw_val_loss,0.8549343947866969,0.8549343947866969,0.9224980795310193,0.23569412530310874,0.29847670771108803,1.1796119636642288e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_pubmed_central_val_loss,0.8056383082885527,0.8056383082885527,0.9147375251770979,0.29418824815626426,0.37572098549682165,1.491862189340054e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_wikipedia_en_val_loss,0.7812057662208152,0.7812057662208152,0.8947352327737152,0.1946988655075041,0.24738441712306536,1.0234868508263162e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_dm_mathematics_val_loss,0.8160043837402722,0.8160043837402722,0.870213132717639,0.5386084401274652,0.6577206411123468,2.6020852139652106e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_github_val_loss,0.7596112886217316,0.7596112886217316,0.9195729406278252,0.3753266922910816,0.5176142758623238,1.6653345369377348e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_stackexchange_val_loss,0.744387487395824,0.744387487395824,0.9048041050113869,0.29517969187676873,0.39211310545515693,1.2836953722228372e-16
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_gutenberg_pg_19_val_loss,0.6793502242815488,0.6793502242815488,0.8578080475160504,0.1904540710093668,0.24637472308642344,5.204170427930421e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_pile_cc_val_loss,0.6854363543212492,0.6854363543212492,0.8458398064224488,0.13811908041599236,0.1797137877685874,4.85722573273506e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_ubuntu_irc_val_loss,0.7997192291555274,0.7997192291555274,0.8545651550394251,0.3632203730306035,0.4598959356258419,9.71445146547012e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_hackernews_val_loss,0.6526406339009514,0.6526406339009514,0.8450882485895104,0.15524081144760046,0.20176644553264175,7.45931094670027e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_pubmed_abstracts_val_loss,0.6450111074550213,0.6450111074550213,0.844254078403772,0.2649977707425449,0.3483345121145226,5.551115123125783e-17
p_only,A4_A5_train_1m,fit,10.0,metric/the_pile_uspto_backgrounds_val_loss,0.7939079573508494,0.7939079573508494,0.8767554230896876,0.1874907683293825,0.24099233899642306,1.3877787807814457e-17
p_only,A6_A7_validation_1m,same_scale_validation,10.0,metric/the_pile_arxiv_val_loss,0.7544938793042563,0.7734101333656112,0.9163588635843442,0.3086380311489764,0.3862703206504073,-0.10722048004109656
p_only,A6_A7_validation_1m,same_scale_validation,10.0,metric/the_pile_freelaw_val_loss,0.8316725594542476,0.8333208054995209,0.9181899462119476,0.2472032737272544,0.30237410798687026,-0.0299211417378311
