target,calibration_mean_delta_1m_minus_60m,calibration_drop_per_log10_scale,transferred_mean_delta_10b_minus_70b,actual_mean_delta_10b_minus_70b,transfer_ratio_gap,transfer_mae,transfer_rmse,actual_minus_transferred_mean
metric/the_pile_arxiv_val_loss,1.5935994358733296,0.8962114080731342,0.7573865044010231,0.36342222222222226,0.4752678040363121,0.3939642821788008,0.4011648114335073,-0.3939642821788008
metric/the_pile_freelaw_val_loss,1.3430465962737799,0.7553050371749939,0.6383068065294828,0.37009365079365086,0.4752678040363121,0.268213155735832,0.2738060918187912,-0.268213155735832
metric/the_pile_pubmed_central_val_loss,1.6638307059183717,0.9357082000529443,0.7907651658900114,0.36779999999999996,0.4752678040363121,0.42296516589001154,0.4266981663976991,-0.42296516589001154
metric/the_pile_wikipedia_en_val_loss,1.3523109182715416,0.760515123772387,0.6427098405012442,0.4135619047619048,0.4752678040363121,0.22914793573933942,0.2313594381163818,-0.22914793573933942
metric/the_pile_dm_mathematics_val_loss,1.301036092452705,0.7316790920749856,0.6183405666319813,0.2917857142857143,0.4752678040363121,0.326554852346267,0.3424457544197971,-0.326554852346267
metric/the_pile_github_val_loss,2.439604685641825,1.371989410414592,1.1594655616616878,0.38216825396825393,0.4752678040363121,0.7772973076934337,0.7802026127058173,-0.7772973076934337
metric/the_pile_stackexchange_val_loss,1.6231571352109313,0.9128341218783993,0.7714343272575707,0.3752666666666667,0.4752678040363121,0.39616766059090397,0.399165582537118,-0.39616766059090397
metric/the_pile_gutenberg_pg_19_val_loss,0.9688598234206438,0.5448691854596779,0.4604678806961385,0.3836126984126983,0.4752678040363121,0.07687207495975316,0.08274947173878094,-0.0768551822834401
metric/the_pile_pile_cc_val_loss,1.0649028662592173,0.5988820501233851,0.5061140467589927,0.40942539682539686,0.4752678040363121,0.09668864993359592,0.09903513934673472,-0.09668864993359592
metric/the_pile_ubuntu_irc_val_loss,1.9264513989910483,1.0834013127822553,0.9155803259811568,0.48105238095238095,0.4752678040363121,0.43452794502877595,0.4397484956313368,-0.43452794502877595
metric/the_pile_hackernews_val_loss,0.9763440135866404,0.5490781582140383,0.4640248753213218,0.38729523809523814,0.4752678040363121,0.07672963722608368,0.07987884218235074,-0.07672963722608368
metric/the_pile_pubmed_abstracts_val_loss,1.3422633856534958,0.7548645737329132,0.6379345717378824,0.3863428571428571,0.4752678040363121,0.2515917145950253,0.25362685933874335,-0.2515917145950253
metric/the_pile_uspto_backgrounds_val_loss,1.3764131953939795,0.774069807108373,0.6541648768215,0.3660428571428571,0.4752678040363121,0.288122019678643,0.29013884969312764,-0.288122019678643
