row,target_mean_absolute_transfer_error
0,0.28823810386076876
1,0.3280304115530765
2,0.30340733462999947
3,0.3130842577069226
4,0.32246118078384567
5,0.32120733462999945
6,0.303368873091538
7,0.2830150269376918
8,0.2816227192453841
9,0.29979195001461495
10,0.2837227192453841
11,0.2985765653992303
12,0.29593810386076874
13,0.329845796168461
14,0.33176887309153796
15,0.3343765653992302
16,0.3256842577069226
17,0.3375150269376918
18,0.3276919500146148
19,0.3136534884761533
20,0.31484579616846103
21,0.308445796168461
22,0.3158996423223072
23,0.2855304115530764
24,0.3208381038607688
25,0.2865507375998243
26,0.3273919500146149
27,0.32909964232230726
28,0.2786611807838458
29,0.30269964232230717
30,0.308768873091538
31,0.28588425770692255
32,0.300845796168461
33,0.2955765653992303
34,0.32488425770692253
35,0.323568873091538
36,0.32483810386076867
37,0.2942073346299996
38,0.3286688730915379
39,0.31709964232230714
40,0.3263304115530765
41,0.3156765653992303
42,0.3159457961684611
43,0.3250842577069226
44,0.3125304115530763
45,0.33473810386076863
46,0.29502271924538415
47,0.306891950014615
48,0.2886304115530764
49,0.3277919500146148
50,0.2985227192453841
51,0.31136118078384567
52,0.3092381038607688
53,0.30771502693769176
54,0.30984579616846103
55,0.3403919500146149
56,0.2738073346299995
57,0.31736887309153794
58,0.30516887309153795
59,0.3099304115530763
60,0.31209964232230725
61,0.32793810386076877
62,0.3035150269376918
