dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,arxiv,1419,1419,67.645156642512958,68.688389494006245,8.0902264333121288,56.946914178692083,77.432999749682494,3
A1,full,book,171,171,56.09650613827894,55.496852766841883,7.2406349615495058,46.738035759243751,65.387575804088144,7
A1,full,c4,10000,10000,72.252109696393049,73.865912822009363,9.9654400739836326,58.197244554795262,83.664520948691248,1
A1,full,commoncrawl,9640,9640,70.466465739801478,71.435528359831252,8.1646437079103524,59.798807223787499,79.852190128408736,2
A1,full,github,10000,10000,56.114787392178769,56.858340497440622,7.4539533125456892,46.560765882361494,64.58114773442189,6
A1,full,stackexchange,10000,10000,66.642530375474081,66.927528247606261,6.6660630557606106,58.173908388862117,74.722758448279393,4
A1,full,wikipedia,10000,10000,66.445677673870321,66.513789146843749,8.4957679725356581,56.07078968203593,77.272609113514378,5
A1,fit,arxiv,1146,1146,67.653858070959458,68.663027490540301,8.0220635066675055,57.159326191420632,77.305199654771883,3
A1,fit,book,135,135,56.362235987085086,55.4576337811,7.2276800733669466,47.39667527308,65.854417458407497,6
A1,fit,c4,7944,7944,72.253154507876459,73.847737072888435,9.9340619948581992,58.400385268924516,83.596418325010006,1
A1,fit,commoncrawl,7676,7676,70.41437613065041,71.37050293298438,8.1695420695663721,59.798058390912502,79.82702948650936,2
A1,fit,github,8001,8001,56.070785161326903,56.849181788049997,7.5064976672783761,46.375175955540001,64.562282343700005,7
A1,fit,stackexchange,7957,7957,66.633552190530992,66.949390667431885,6.6869793074576842,58.17343287027974,74.741667844310015,4
A1,fit,wikipedia,8060,8060,66.467882963756068,66.450434937956246,8.5000906765341497,56.145191817441805,77.403415976280627,5
A1,holdout,arxiv,273,273,67.608629767056257,68.85827559826248,8.3853402257918912,56.312343682495758,78.060088819497494,3
A1,holdout,book,36,36,55.100019205255904,56.496639640481249,7.3040121660535302,45.180170002973128,63.336767381834377,7
A1,holdout,c4,2056,2056,72.248072739961088,73.993464256099998,10.088199443529858,57.698042438737495,83.858019146984375,1
A1,holdout,commoncrawl,1964,1964,70.670050179640427,71.82952671983125,8.1443513840983819,59.835664491170625,79.992460567552513,2
A1,holdout,github,1999,1999,56.290906376193703,56.888290030893749,7.2389878509903127,47.247990716998871,64.685792394558732,6
A1,holdout,stackexchange,2043,2043,66.677498274442357,66.779077903406247,6.5854714675561299,58.218142232466619,74.699905108919992,4
A1,holdout,wikipedia,1940,1940,66.353422706613131,66.841017257168758,8.4793502119207051,55.857182771965618,77.048271650800018,5
A2,full,arxiv,17523,17523,67.15773315127862,67.890040008106254,7.9739003636141685,56.819001719476752,76.994607213976252,1
A2,overlap_A1,arxiv,1419,1419,67.645156642512958,68.688389494006245,8.0902264333121288,56.946914178692083,77.432999749682494,1
A2,new_only,arxiv,16104,16104,67.114783950206743,67.826122291443738,7.9623930362843121,56.796503323035004,76.94383426684,1
A3,full,github,203752,203752,56.090472752321389,56.758226901594682,7.4827309494038907,46.661355313344558,64.55397098193562,1
A3,overlap_A1,github,10000,10000,56.114787392178769,56.858340497440622,7.4539533125456892,46.560765882361494,64.58114773442189,1
A3,new_only,github,193752,193752,56.089217816121639,56.754427145334375,7.4842302505696763,46.665739113233819,64.551462636339991,1
A1+A2+A3,unique_union,arxiv,17523,17523,67.15773315127862,67.890040008106254,7.9739003636141685,56.819001719476752,76.994607213976252,3
A1+A2+A3,unique_union,book,171,171,56.09650613827894,55.496852766841883,7.2406349615495058,46.738035759243751,65.387575804088144,6
A1+A2+A3,unique_union,c4,10000,10000,72.252109696393049,73.865912822009363,9.9654400739836326,58.197244554795262,83.664520948691248,1
A1+A2+A3,unique_union,commoncrawl,9640,9640,70.466465739801478,71.435528359831252,8.1646437079103524,59.798807223787499,79.852190128408736,2
A1+A2+A3,unique_union,github,203752,203752,56.090472752321389,56.758226901594682,7.4827309494038907,46.661355313344558,64.55397098193562,7
A1+A2+A3,unique_union,stackexchange,10000,10000,66.642530375474081,66.927528247606261,6.6660630557606106,58.173908388862117,74.722758448279393,4
A1+A2+A3,unique_union,wikipedia,10000,10000,66.445677673870321,66.513789146843749,8.4957679725356581,56.07078968203593,77.272609113514378,5
A1+A2+A3,all_file_rows_diagnostic,arxiv,18942,17523,67.194247454628936,67.939492985499385,7.9834887312444236,56.837254766825311,77.037073864470003,3
A1+A2+A3,all_file_rows_diagnostic,book,171,171,56.09650613827894,55.496852766841883,7.2406349615495058,46.738035759243751,65.387575804088144,6
A1+A2+A3,all_file_rows_diagnostic,c4,10000,10000,72.252109696393049,73.865912822009363,9.9654400739836326,58.197244554795262,83.664520948691248,1
A1+A2+A3,all_file_rows_diagnostic,commoncrawl,9640,9640,70.466465739801478,71.435528359831252,8.1646437079103524,59.798807223787499,79.852190128408736,2
A1+A2+A3,all_file_rows_diagnostic,github,213752,203752,56.091610268688839,56.76230240408438,7.4813714915766356,46.656907748091982,64.55532863980001,7
A1+A2+A3,all_file_rows_diagnostic,stackexchange,10000,10000,66.642530375474081,66.927528247606261,6.6660630557606106,58.173908388862117,74.722758448279393,4
A1+A2+A3,all_file_rows_diagnostic,wikipedia,10000,10000,66.445677673870321,66.513789146843749,8.4957679725356581,56.07078968203593,77.272609113514378,5
