block,dataset,selected_alpha,logo_mean_target_r2,logo_sd_target_r2,mean_target_r2,centered_relative_mean_target_r2,mae,rmse,mean_target_spearman
baseline,A12_A13_extrapolation_10b,0.1,-1.9587503979897278,5.389091596631296,-8.277382750421731,-1.2212031594929291,0.6623913734937044,0.7842345914630181,0.2923729793749134
baseline,A14_A15_extrapolation_70b,0.1,-1.9587503979897278,5.389091596631296,-48.23178406672418,-2.2227237338409624,1.371247334399876,1.4994238673823557,0.054729767810618384
q_raw_coverage,A12_A13_extrapolation_10b,0.1,-1.7666558767271383,5.066170889028386,-8.007116727205641,-1.3126886805707951,0.6465033720933879,0.7706257437383616,0.28873403175469775
q_raw_coverage,A14_A15_extrapolation_70b,0.1,-1.7666558767271383,5.066170889028386,-45.19639144046087,-2.3736237608393607,1.324198219622921,1.4540851251662603,0.052154342950900406
