cost_family,budget_flops,Lctx,N_B_min,N_B_p05,N_B_median,N_B_p95,N_B_max,D_B_min,D_B_p05,D_B_median,D_B_p95,D_B_max,Q_min,Q_p05,Q_median,Q_p95,Q_max,loss_min,loss_p05,loss_median,loss_p95,loss_max,quality_cost_flops_min,quality_cost_flops_p05,quality_cost_flops_median,quality_cost_flops_p95,quality_cost_flops_max,base_train_attn_cost_flops_min,base_train_attn_cost_flops_p05,base_train_attn_cost_flops_median,base_train_attn_cost_flops_p95,base_train_attn_cost_flops_max
exponential,1e+19,2048,0.4624141190922907,0.47745095859182474,0.5567905376664641,0.6316930627820098,0.6446928857184719,2.033406254687965,2.0797230058054983,2.359862394417105,2.7526189482344177,2.829092136747428,0.6793166066746612,0.6830844468572675,0.7049464996171385,0.7273574238770265,0.7311387790433576,3.2537082784514966,3.2557679658797776,3.273997913646198,3.2964917211829095,3.300279656592809,1.569094931375668e+18,1.570898377121848e+18,1.5841913515749821e+18,1.611408901299109e+18,1.6148834146105902e+18,8.385116585391078e+18,8.388591098702666e+18,8.415808648425838e+18,8.429101622884354e+18,8.430905068631877e+18
exponential,1e+19,4096,0.4488555795187091,0.46356954258988686,0.5410629640795347,0.6142090838498004,0.6268998687955494,1.9685108889121632,2.013551990718846,2.2861141815980854,2.6690720474891383,2.743779409917736,0.6829434758950393,0.6867429982854005,0.7087572042992112,0.7313072652416297,0.7351119981336754,3.268397406708312,3.270572360951337,3.2891925578783843,3.3116408552587138,3.315414694799042,1.5559556308274767e+18,1.557787554040363e+18,1.5711918937395633e+18,1.5983337115670154e+18,1.601741294272305e+18,8.398258705733379e+18,8.40166628843879e+18,8.428808106267503e+18,8.442212445966441e+18,8.444044369180994e+18
exponential,1e+19,8192,0.4250609438329027,0.43919984927208977,0.5134191892599549,0.5834532745775313,0.5955968633799328,1.8548712445772568,1.8976614557690834,2.15684249495671,2.5224298246694334,2.593993091545359,0.6895928980043452,0.6934504912939131,0.7157435519956679,0.7385483254561395,0.7423958457801082,3.295699035285438,3.29808967401843,3.3174338772377836,3.3397873518832855,3.3435329243418894,1.5320937327240271e+18,1.5339766539780718e+18,1.5475800164366607e+18,1.5745757718939425e+18,1.5778608085848415e+18,8.422139191419747e+18,8.425424228109917e+18,8.45241998357193e+18,8.466023346028225e+18,8.467906267282133e+18
exponential,1e+19,32768,0.3350160107129329,0.34687234927858085,0.4082685053252072,0.4661466872957994,0.47615762969013903,1.428281241394781,1.462408137097365,1.6699423415077543,1.9676368581655814,2.0267405073946496,0.7188229522357219,0.7229355348726941,0.7464522621055522,0.7703744635368717,0.7744095012484536,3.421584840687171,3.42499325446169,3.4476539314228396,3.4694044939010364,3.4729862897871175,1.4306997067220367e+18,1.43278887227219e+18,1.4471990097947837e+18,1.4734716323134339e+18,1.4762246139341752e+18,8.523775386067981e+18,8.526528367689802e+18,8.552800990206215e+18,8.56721112773312e+18,8.569300293283922e+18
exponential,1e+19,131072,0.2137424326288421,0.22218211067674293,0.2649133553034197,0.3051919904496424,0.3121296916642869,0.8664266494974854,0.8884833986607619,1.0236035238010683,1.223354316952205,1.2639566179678825,0.7747529768890233,0.7793520737435288,0.8051987916477589,0.8312479859710863,0.8356392909071192,3.6911441230466986,3.6968479907640535,3.7264946621800736,3.7461168415391235,3.7491793576004815,1.2525287162248865e+18,1.2549314029000704e+18,1.2705518727006095e+18,1.2951399533626301e+18,1.296920254448296e+18,8.703079745565861e+18,8.704860046649077e+18,8.729448127307686e+18,8.745068597102653e+18,8.747471283776065e+18
exponential,1e+22,2048,9.299854744515544,9.366001720066093,9.912172230663778,10.366277284077542,10.452850815102689,140.8159962203675,141.96105576950956,148.040405708215,156.15878436245475,157.1723667283626,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,2.038593217420348,2.03993057750255,2.0490339488978844,2.0599282589409427,2.0606256715146616,5.655264398555156e+20,5.701250754340721e+20,5.945401505658181e+20,6.271441011180424e+20,6.312147155530328e+20,9.368785284455286e+21,9.37285589889435e+21,9.405459849439258e+21,9.429874924568953e+21,9.434473560146389e+21
exponential,1e+22,4096,9.023085839412072,9.089367739956867,9.628075886725199,10.075205120161696,10.160250225707193,136.42407516944652,137.54788812630852,143.53000777413237,151.54695180859215,152.5639274944336,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,2.0438360745897652,2.045190668291376,2.0544066374250707,2.0653775134430923,2.066153735842192,5.478881917677987e+20,5.5240149961361385e+20,5.7642609140735574e+20,6.086226737560968e+20,6.127069159904345e+20,9.387293084049355e+21,9.391377326276155e+21,9.423573908618845e+21,9.447598500391139e+21,9.452111808237614e+21
exponential,1e+22,8192,8.5387204586296,8.605103978693782,9.13017153911481,9.56474599737961,9.647057587932318,128.69325275945982,129.7784540855373,135.5822468519553,143.4085243380936,144.42888170689324,0.9999999999999996,0.9999999999999997,1.0,1.0,1.0,2.0535852271291946,2.054971332118026,2.0643937999857256,2.075504020556581,2.076425821140628,5.1684069296068054e+20,5.211989339200575e+20,5.445073530553037e+20,5.7593820581957816e+20,5.8003602911839243e+20,9.419963970888721e+21,9.424061794187324e+21,9.455492646951312e+21,9.47880106609208e+21,9.483159307040248e+21
exponential,1e+22,32768,6.720512076828854,6.785498877955293,7.25194446844073,7.634570148435664,7.7058619333074505,99.25324329896937,100.1758732118226,105.20327306226089,112.14602415052408,113.14433088589139,0.9999999999999993,0.9999999999999994,1.0,1.0,1.0,2.0985989142625305,2.100121909458214,2.110451173720847,2.1221557391041412,2.123733710631554,3.986076499372932e+20,4.0231299325001997e+20,4.2250336661285306e+20,4.50385918390592e+20,4.5439518487373015e+20,9.545604815130796e+21,9.549614081613033e+21,9.577496633387742e+21,9.59768700677565e+21,9.601392350091589e+21
exponential,1e+22,131072,4.301490803812702,4.358821272767693,4.723020315428986,5.020015624366943,5.074024716491428,59.71121438794883,60.365541850462755,64.0346986527929,69.27995031646786,70.133106697603,0.9999999999999996,0.9999999999999996,0.9999999999999998,1.0,1.0,2.1951619200642956,2.19693571284327,2.208974573814066,2.221707247604711,2.2246096568725333,2.398042225218577e+20,2.4243204528565876e+20,2.571676239087447e+20,2.7823290469447434e+20,2.8165923766667664e+20,9.718340762336687e+21,9.721767095310056e+21,9.742832376100214e+21,9.757567954739414e+21,9.760195777486953e+21
