fold,budget_flops,Lctx,relaxed_N_B,relaxed_D_B,relaxed_loss,relaxed_within_B1_support,bounded_N_B,bounded_D_B,bounded_loss,bounded_cost_flops,budget_slack_flops,bounded_support_status,successful_starts
fold_1,1e+19,2048,0.2213564507310814,7.048178425370793,2.998962397657675,True,0.2213564507310814,7.048178425370793,2.998962397657675,1e+19,0.0,inside_B1_support,6
fold_1,1e+22,2048,5.005135763252814,311.7117764944542,2.143173184459731,False,5.202388052937293,299.89299999999986,2.143205390484818,1.0000000000000398e+22,-398458880.0,inside_B1_support,5
fold_1,1e+24,2048,40.021956455701655,3898.2596017921446,1.9133894053462233,False,11.965825000000002,299.89299999999986,2.093382036732022,2.3000639087744553e+22,9.769993609122555e+23,bounded_to_B1_support,6
fold_1,1e+19,4096,0.2152520443515883,6.812700346537075,3.0114713754940285,True,0.2152520443515883,6.812700346537076,3.0114713754940285,1.0000000000000002e+19,-2048.0,inside_B1_support,6
fold_1,1e+22,4096,4.867107788090944,301.29755513840246,2.147504915368932,False,4.889902989222913,299.89299999999986,2.147505390815433,1.0000000000001002e+22,-1002438656.0,inside_B1_support,5
fold_1,1e+24,4096,38.918260197918855,3768.019612616952,1.9155255036478993,False,11.965825000000002,299.89299999999986,2.093382036732022,2.4470475235139114e+22,9.755295247648608e+23,bounded_to_B1_support,6
fold_1,1e+19,8192,0.20450561699016734,6.401656421664036,3.03469090588091,True,0.20450561699016734,6.401656421664036,3.03469090588091,1e+19,0.0,inside_B1_support,6
fold_1,1e+22,8192,4.624118131651288,283.1187826518523,2.15554560093012,True,4.624118131651288,283.11878265185226,2.15554560093012,9.999999999999998e+21,2097152.0,inside_B1_support,6
fold_1,1e+24,8192,36.97527165390909,3540.676343166399,1.919490591768928,False,11.965825000000002,299.89299999999986,2.093382036732022,2.741014752992823e+22,9.725898524700717e+23,bounded_to_B1_support,6
fold_1,1e+19,32768,0.1634178992468383,4.874522622192795,3.1412784875264412,True,0.16341791812762005,4.874522059008318,3.141278487526341,1.0000000000004557e+19,-4556800.0,inside_B1_support,6
fold_1,1e+22,32768,3.695075382599399,215.57997179195783,2.192455788796079,True,3.6950753825993985,215.57997179195777,2.192455788796079,9.999999999999994e+21,6291456.0,inside_B1_support,6
fold_1,1e+24,32768,29.546480466859318,2696.0376808446663,1.937692043167387,False,11.965825000000002,299.89299999999986,2.093382036732022,4.5048181298662946e+22,9.54951818701337e+23,bounded_to_B1_support,6
fold_1,1e+19,131072,0.10679058445368099,2.906812303258202,3.3672212063172866,True,0.10679058445368098,2.9068123032582016,3.3672212063172866,9.999999999999996e+18,4096.0,inside_B1_support,6
fold_1,1e+22,131072,2.4146636416624543,128.556283950329,2.2706974382337215,True,2.4146636416624543,128.556283950329,2.2706974382337215,9.999999999999998e+21,2097152.0,inside_B1_support,6
fold_1,1e+24,131072,19.308080278520787,1607.7216392528674,1.9762752003365192,False,11.965825000000002,299.89299999999986,2.093382036732022,1.156003163736018e+23,8.843996836263981e+23,bounded_to_B1_support,6
fold_2,1e+19,2048,0.2213140195310678,7.049529730042463,2.9989145355656226,True,0.2213140195310678,7.0495297300424635,2.9989145355656226,1e+19,0.0,inside_B1_support,6
fold_2,1e+22,2048,5.006646600359397,311.61771239205626,2.14318437348785,False,5.202388052937295,299.89299999999986,2.1432160750021265,1.00000000000004e+22,-400556032.0,inside_B1_support,4
fold_2,1e+24,2048,40.04721120788107,3895.8012638154187,1.9134042349368037,False,11.965825000000002,299.89299999999986,2.093387695442869,2.3000639087744553e+22,9.769993609122555e+23,bounded_to_B1_support,6
fold_2,1e+19,4096,0.2152098308497199,6.814036660671387,3.0114223350245055,True,0.21520982132497088,6.814036962260533,3.0114223350240965,1.0000000000020167e+19,-20166656.0,inside_B1_support,6
fold_2,1e+22,4096,4.868555414025253,301.2079667250703,2.147515957661927,False,4.889902989447952,299.89299999999986,2.147516374464535,1.0000000000461216e+22,-461216153600.0,inside_B1_support,4
fold_2,1e+24,4096,38.94264614737264,3765.660072500792,1.915540346794696,False,11.965825000000002,299.89299999999986,2.093387695442869,2.4470475235139114e+22,9.755295247648608e+23,bounded_to_B1_support,6
fold_2,1e+19,8192,0.20446385379867663,6.402964005366625,3.0346396602664227,True,0.20446385379867665,6.402964005366625,3.0346396602664227,1e+19,0.0,inside_B1_support,6
fold_2,1e+22,8192,4.625455995451848,283.03689356438923,2.155556364682593,True,4.625455995451848,283.0368935643892,2.155556364682593,1e+22,0.0,inside_B1_support,6
fold_2,1e+24,8192,36.99814026604612,3538.487845219951,1.9195054570381753,False,11.965825000000002,299.89299999999986,2.093387695442869,2.741014752992823e+22,9.725898524700717e+23,bounded_to_B1_support,6
fold_2,1e+19,32768,0.16337872761066577,4.875691336317723,3.14121683253742,True,0.16337871957582528,4.875691576102755,3.1412168325373164,1.0000000000004635e+19,-4634624.0,inside_B1_support,6
fold_2,1e+22,32768,3.6960132615916668,215.5252674626205,2.192465174601116,True,3.6960132615916663,215.52526746262052,2.192465174601116,9.999999999999998e+21,2097152.0,inside_B1_support,6
fold_2,1e+24,32768,29.563705116208073,2694.4668931676465,1.9377069610051278,False,11.965825000000002,299.89299999999986,2.093387695442869,4.5048181298662946e+22,9.54951818701337e+23,bounded_to_B1_support,6
fold_2,1e+19,131072,0.10675779834994756,2.907705006659558,3.3671360495959037,True,0.10675782216012891,2.90770435815519,3.3671360495958496,1.000000000000224e+19,-2240512.0,inside_B1_support,6
