fold,Lctx,budget_flops,bounded_loss,bounded_cost_flops,pareto_flag
fold_1,2048,1e+19,2.998962397657675,1e+19,True
fold_1,2048,1e+22,2.143205390484818,1.0000000000000398e+22,True
fold_1,2048,1e+24,2.093382036732022,2.3000639087744553e+22,True
fold_1,4096,1e+19,3.0114713754940285,1.0000000000000002e+19,True
fold_1,4096,1e+22,2.147505390815433,1.0000000000001002e+22,True
fold_1,4096,1e+24,2.093382036732022,2.4470475235139114e+22,True
fold_1,8192,1e+19,3.03469090588091,1e+19,True
fold_1,8192,1e+22,2.15554560093012,9.999999999999998e+21,True
fold_1,8192,1e+24,2.093382036732022,2.741014752992823e+22,True
fold_1,32768,1e+19,3.141278487526341,1.0000000000004557e+19,True
fold_1,32768,1e+22,2.192455788796079,9.999999999999994e+21,True
fold_1,32768,1e+24,2.093382036732022,4.5048181298662946e+22,True
fold_1,131072,1e+19,3.3672212063172866,9.999999999999996e+18,True
fold_1,131072,1e+22,2.2706974382337215,9.999999999999998e+21,True
fold_1,131072,1e+24,2.093382036732022,1.156003163736018e+23,True
fold_2,2048,1e+19,2.9989145355656226,1e+19,True
fold_2,2048,1e+22,2.1432160750021265,1.00000000000004e+22,True
fold_2,2048,1e+24,2.093387695442869,2.3000639087744553e+22,True
fold_2,4096,1e+19,3.0114223350240965,1.0000000000020167e+19,True
fold_2,4096,1e+22,2.147516374464535,1.0000000000461216e+22,True
fold_2,4096,1e+24,2.093387695442869,2.4470475235139114e+22,True
fold_2,8192,1e+19,3.0346396602664227,1e+19,True
fold_2,8192,1e+22,2.155556364682593,1e+22,True
fold_2,8192,1e+24,2.093387695442869,2.741014752992823e+22,True
fold_2,32768,1e+19,3.1412168325373164,1.0000000000004635e+19,True
fold_2,32768,1e+22,2.192465174601116,9.999999999999998e+21,True
fold_2,32768,1e+24,2.093387695442869,4.5048181298662946e+22,True
fold_2,131072,1e+19,3.3671360495958496,1.000000000000224e+19,True
fold_2,131072,1e+22,2.270703405750192,9.999999999999998e+21,True
