budget_flops,Lctx,bounded_N_B_min,bounded_N_B_p05,bounded_N_B_median,bounded_N_B_p95,bounded_N_B_max,bounded_D_B_min,bounded_D_B_p05,bounded_D_B_median,bounded_D_B_p95,bounded_D_B_max,bounded_loss_min,bounded_loss_p05,bounded_loss_median,bounded_loss_p95,bounded_loss_max
1e+19,2048,0.22129638850096514,0.22129946596131564,0.2213106475345554,0.22134159981107665,0.2213564507310814,7.048178425370793,7.048651382005878,7.049637140116218,7.049993338865103,7.050091377137776,2.9989145355656226,2.998919884757844,2.9989346248958135,2.9989548722436656,2.998962397657675
1e+19,4096,0.21519219870770787,0.21519535970967427,0.21520633437831527,0.2152372662922722,0.2152520443515883,6.812700346537076,6.813168162040286,6.814147368790023,6.8144948836860175,6.814594980456464,3.0114223350240965,3.0114277426294995,3.011442644175009,3.011463532263423,3.0114713754940285
1e+19,8192,0.20444619569848207,0.20444950687192912,0.20446001441572226,0.2044909998731456,0.20450561699016734,6.401656421664036,6.402114075959942,6.40308424125795,6.403413326544801,6.403517031944414,3.0346396602664227,3.0346451744681064,3.0346604563850406,3.03468246267877,3.03469090588091
1e+19,32768,0.16336149468312336,0.163365211295022,0.16337392122919447,0.16340419863449188,0.16341791812762005,4.874522059008318,4.874931389991371,4.8758347767992305,4.876094740130717,4.876205670715732,3.1412168325373164,3.141222806560242,3.1412397880608873,3.1412671286220264,3.141278487526341
1e+19,131072,0.10674263670011595,0.10674587279579952,0.10675326609806654,0.10677911765093775,0.10679058445368098,2.9068123032582016,2.9071245224721474,2.90782845442736,2.9080298578454276,2.908118015055806,3.3671360495958496,3.367142720343772,3.3671616085274607,3.367202857734323,3.3672212063172866
1e+22,2048,5.202388052937269,5.202388052937272,5.202388052937293,5.202388052937295,5.202388052937295,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.143205390484818,2.1432061515820937,2.1432108870423208,2.1432155964226522,2.1432160750021265
1e+22,4096,4.889902989222423,4.889902989222587,4.889902989293551,4.889902989435381,4.889902989447952,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.147505390815433,2.1475064333063494,2.147511444464717,2.147516050074411,2.147516374464535
1e+22,8192,4.624118131651288,4.624528360744045,4.625633158726739,4.626264084630719,4.626293416397568,282.9856601034412,282.9874543302708,283.0260535732334,283.0936721061445,283.11878265185226,2.15554560093012,2.1555467442347513,2.155551973618436,2.155556159363483,2.155556364682593
1e+22,32768,3.6950753825993985,3.6953568891912596,3.69614092718533,3.696595949316025,3.6966113178058944,215.4903987100124,215.49129461197876,215.51782342533548,215.56355156503764,215.57997179195777,2.192455788796079,2.1924571868785514,2.1924631908622203,2.1924656851971376,2.1924659601334566
1e+22,131072,2.4146636416624543,2.4147902087125193,2.415180109859018,2.4154163582374646,2.4154164740895623,128.51621577148518,128.5162219356676,128.52879324738973,128.5495465509799,128.556283950329,2.2706974382337215,2.270698783765603,2.270704018098657,2.2707070689855673,2.270707135354927
1e+24,2048,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.09337256925018,2.0933743152905424,2.0933801858633885,2.0933857148940724,2.093387695442869
1e+24,4096,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.09337256925018,2.0933743152905424,2.0933801858633885,2.0933857148940724,2.093387695442869
1e+24,8192,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.09337256925018,2.0933743152905424,2.0933801858633885,2.0933857148940724,2.093387695442869
1e+24,32768,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.09337256925018,2.0933743152905424,2.0933801858633885,2.0933857148940724,2.093387695442869
1e+24,131072,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,11.965825000000002,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,299.89299999999986,2.09337256925018,2.0933743152905424,2.0933801858633885,2.0933857148940724,2.093387695442869
