quality_axis,scenario_variant,predicted_loss_min,predicted_loss_median,predicted_loss_max,predicted_loss_mean,n_scenarios
Q_A_topsis_0_1,scale_only,1.9453901792065624,2.4764928983996684,4.020063102631266,2.6385277530136926,400
Q_A_topsis_0_1,scale_plus_Q,1.807794546387109,2.3919853838446326,3.9703229547500536,2.551954087172195,400
Q_A_topsis_0_1,scale_plus_Q_plus_p,1.634396762903322,2.4766743832954585,4.154142717883351,2.645707284347766,400
Q_A_topsis_0_1,scale_plus_p,1.7053317401444865,2.5755674828084008,4.226837153989215,2.7322809501892635,400
quality_score_soft_proxy_0_1,scale_only,1.9453901792065624,2.4764928983996684,4.020063102631266,2.6385277530136926,400
quality_score_soft_proxy_0_1,scale_plus_Q,1.918678263714028,2.505052913018675,4.085634567605504,2.669861471428237,400
quality_score_soft_proxy_0_1,scale_plus_Q_plus_p,1.7599083760114933,2.5924943029130882,4.265620524015141,2.763614668603808,400
quality_score_soft_proxy_0_1,scale_plus_p,1.7053317401444865,2.5755674828084008,4.226837153989215,2.7322809501892635,400
