model,run_id,scope,n,mean,spearman_with_primary,mean_abs_score_difference,mean_abs_rank_gap_pp,rank_gap_ge20pp_rate
TOPSIS_CRITIC,q1-critic-topsis-20260924-r01,unique_union,261086,54.232263879163661,1,0,0,0
CRITIC_SUM,q1-critic-sum-20260924-r02,unique_union,261086,55.463758902195721,0.99904127624743777,2.1826346396925551,0.90154542879259925,0
EQUAL_SUM,q1-equal-sum-20260924-r02,unique_union,261086,58.78386191515267,0.98774282224296894,4.7131686018888175,2.59603920388358,0.011850501367365542
TOPSIS_NO_3_COST,q1-topsis-no3cost-20260924-r01,unique_union,261086,50.102728623675063,0.96739007779654196,4.218666243860075,4.7888003223376412,0.027780118428410563
TOPSIS_NO_DSIR,q1-topsis-nodsir-20260924-r01,unique_union,261086,50.567557019085214,0.98599472787956621,4.1782135452704541,2.9258797223719104,0.0094758049071953301
TOPSIS_WEIGHT_SQUARED,q1-topsis-wsquared-20260924-r01,unique_union,261086,52.187006623266825,0.99584258493942335,2.1478600870481039,1.7108990130458632,0.0013443846089028137
