dataset_id,domain,subset,n_records,A1_mean,extended_mean,difference_points
A2,arxiv,full,17523,63.862359595226806,63.504958911768838,-0.35740068345796772
A2,arxiv,new_only,16104,63.862359595226806,63.473466638431347,-0.3888929567954591
A2,arxiv,overlap_A1,1419,63.862359595226806,63.862359595226806,0
A3,github,full,203752,51.701407532414713,51.68931209513098,-0.01209543728373319
A3,github,new_only,193752,51.701407532414713,51.688687820941112,-0.012719711473600626
A3,github,overlap_A1,10000,51.701407532414713,51.701407532414713,0
