domain,n_A1,A1_mean,n_full_unique,full_mean,difference_points,A1_rank,full_rank
arxiv,1419,63.862359595226806,17523,63.504958911768838,-0.35740068345796772,3,3
book,171,56.032520480791618,171,56.032520480791618,0,6,6
c4,10000,66.002112661878627,10000,66.002112661878627,0,1,1
commoncrawl,9640,64.335709953563565,9640,64.335709953563565,0,2,2
github,10000,51.701407532414713,203752,51.68931209513098,-0.01209543728373319,7,7
stackexchange,10000,61.387873335966582,10000,61.387873335966582,0,4,4
wikipedia,10000,61.100906920424919,10000,61.100906920424919,0,5,5
