indicator,CRITIC,PPGA,EQUAL,GROUP_EQUAL,GROUP_CRITIC,BPPGA15,BPPGA20,BPPGA25
fineweb_edu,0.06148666506811231,8.7406761813345815e-08,0.0625,0.066666666666666666,0.05998704608451795,0.054193784271335317,0.051982353677596183,0.052068614290663971
fluency_en_fluent_margin,0.068928253481453636,0,0.0625,0.066666666666666666,0.068021367494965387,0.13132267416927684,0.13025301303331749,0.13020250663885777
modernbert_cleanliness_expected,0.08000759809802907,0.99994274387094584,0.0625,0.050000000000000003,0.053506231537207287,0.14999999999999999,0.1626934257964476,0.16285102911900756
modernbert_readability_expected,0.076401313720170699,0,0.0625,0.066666666666666666,0.074430345947763057,0.13573240476009846,0.13540816317693588,0.13574773980869725
dsir_books,0.042563670371298164,0,0.0625,0.066666666666666666,0.064232215079194382,0.0050000000000000001,0.0050000000000000001,0.0050000000000000001
dsir_wiki,0.04166978049154875,0,0.0625,0.066666666666666666,0.047026262286003123,0.0050000000000000001,0.0050000000000000001,0.0050000000000000001
dsir_math,0.042954075449005071,0,0.0625,0.066666666666666666,0.088741522634802505,0.0050000000000000001,0.0050000000000000001,0.0050000000000000001
qurater_writing_style,0.062938624407098492,0,0.0625,0.066666666666666666,0.057548286557271559,0.11585020322662276,0.11393135661250629,0.11392542192009698
qurater_facts_trivia,0.058322398170958731,0,0.0625,0.066666666666666666,0.075945268683280442,0.10160594136640216,0.099915917977239838,0.099762813499484182
qurater_educational_value,0.06370262431450853,0,0.0625,0.066666666666666666,0.064067685232201618,0.090193096065985842,0.088419323526430393,0.08823573530065737
ad_en_no_ad_margin,0.077529724508822728,2.3315037549144983e-11,0.0625,0.050000000000000003,0.055228583349477257,0.0050000000000000001,0.0050000000000000001,0.0050000000000000001
rps_doc_frac_unique_words,0.068619123169466847,0,0.0625,0.066666666666666666,0.085514773844752312,0.0050000000000000001,0.0050000000000000001,0.0050000000000000001
rps_doc_frac_no_alph_words,0.049397569274992323,0,0.0625,0.050000000000000003,0.032616680957689839,0.042209460992426853,0.040792933866554214,0.040881081220452739
rps_doc_frac_chars_top_2gram,0.058623687254238187,0,0.0625,0.066666666666666666,0.060730709733198378,0.029633068197214688,0.027598080770111923,0.02738341119825222
rps_doc_frac_chars_top_3gram,0.057762349002355121,5.7168698977210102e-05,0.0625,0.066666666666666666,0.053754516422049328,0.023801060769852538,0.022443674448327292,0.022489979447700023
rps_lines_ending_with_terminal_punctution_mark,0.089092543217941453,0,0.0625,0.050000000000000003,0.058648504155625628,0.10045830618078465,0.10156175711453308,0.10145166755613011
