dataset_id,subset,domain,n_records,n_unique_ids,mean,median,sd,p10,p90,domain_rank
A1,full,arxiv,1419,1419,68.828975515837939,69.620489828410925,6.8497206662502013,60.252487355450739,76.95834472953706,2
A1,full,book,171,171,58.813104019060013,58.101620503076802,6.9348536828331948,49.452600573524137,68.411614974710261,6
A1,full,c4,10000,10000,70.79985936471158,72.627905482567698,10.864128416955776,55.424910421991008,83.217941817169205,1
A1,full,commoncrawl,9640,9640,68.139131067851935,69.210910116544014,8.9290622123446415,56.227497760973428,78.421538948975268,3
A1,full,github,10000,10000,52.150919542328097,52.644093313375457,7.6465993174609332,42.138324123574776,61.2035288389771,7
A1,full,stackexchange,10000,10000,64.371031781385483,64.568033385643275,7.2209394128300977,55.249278681583206,73.265909274984395,4
A1,full,wikipedia,10000,10000,64.133391558577003,64.096211234871248,8.976772154472572,53.284415959544106,75.635126827433865,5
A1,fit,arxiv,1146,1146,68.823590353167972,69.536665854876304,6.8216105374430169,60.395279997346861,76.864098344338899,2
A1,fit,book,135,135,59.081993319137105,57.99898826890206,6.9341283390862847,50.287019598503647,68.789833428155177,6
A1,fit,c4,7944,7944,70.799530989441038,72.599366884688777,10.827917048361053,55.661445519622909,83.130657399625633,1
A1,fit,commoncrawl,7676,7676,68.079240230491678,69.126485749696656,8.931038723167056,56.237305235740379,78.404315762990848,3
A1,fit,github,8001,8001,52.109600451483367,52.642343476110966,7.6879216529771908,41.948521769195061,61.187365074056785,7
A1,fit,stackexchange,7957,7957,64.359874509641216,64.586403878791003,7.2370762279522403,55.213488919460239,73.269267872775444,4
A1,fit,wikipedia,8060,8060,64.153096593558217,64.019144367910769,8.9839794250096059,53.318188940614,75.651495460756834,5
A1,holdout,arxiv,273,273,68.851581363529519,69.764334241472099,6.9791316669726831,59.879108901468612,77.609694355722183,2
A1,holdout,book,36,36,57.804769143770969,58.938496479960563,6.9411891604817644,48.353920868904822,66.738495710643662,6
A1,holdout,c4,2056,2056,70.801128145426176,72.704901456212767,11.005581954486916,54.772340348566566,83.418798499665257,1
A1,holdout,commoncrawl,1964,1964,68.373205440345544,69.592437036093557,8.9197479192677616,56.273162323489871,78.43511623135484,3
A1,holdout,github,1999,1999,52.316299255108795,52.654147133260686,7.478527574124648,42.705076329727383,61.30192975595768,7
A1,holdout,stackexchange,2043,2043,64.414486706137936,64.4534305796913,7.1593381633081794,55.371250287514819,73.240516101159599,4
A1,holdout,wikipedia,1940,1940,64.051524248294285,64.398001809180812,8.9486120160140619,53.125991899995952,75.399370736260309,5
A2,full,arxiv,17523,17523,68.423453391387071,68.85301086520758,6.6999602920180257,60.072301019849732,76.537097137636678,1
A2,overlap_A1,arxiv,1419,1419,68.828975515837939,69.620489828410925,6.8497206662502013,60.252487355450739,76.95834472953706,1
A2,new_only,arxiv,16104,16104,68.387720909109646,68.770887560141617,6.6856412889498245,60.06862925201596,76.482921599871815,1
A3,full,github,203752,203752,52.131344436537084,52.559415958089502,7.6784699581142348,42.248799723594978,61.198683069477063,1
A3,overlap_A1,github,10000,10000,52.150919542328097,52.644093313375457,7.6465993174609332,42.138324123574776,61.2035288389771,1
A3,new_only,github,193752,193752,52.130334118925369,52.555229821671674,7.680129589650611,42.254294235958213,61.1981918428867,1
A1+A2+A3,unique_union,arxiv,17523,17523,68.423453391387071,68.85301086520758,6.6999602920180257,60.072301019849732,76.537097137636678,2
A1+A2+A3,unique_union,book,171,171,58.813104019060013,58.101620503076802,6.9348536828331948,49.452600573524137,68.411614974710261,6
A1+A2+A3,unique_union,c4,10000,10000,70.79985936471158,72.627905482567698,10.864128416955776,55.424910421991008,83.217941817169205,1
A1+A2+A3,unique_union,commoncrawl,9640,9640,68.139131067851935,69.210910116544014,8.9290622123446415,56.227497760973428,78.421538948975268,3
A1+A2+A3,unique_union,github,203752,203752,52.131344436537084,52.559415958089502,7.6784699581142348,42.248799723594978,61.198683069477063,7
A1+A2+A3,unique_union,stackexchange,10000,10000,64.371031781385483,64.568033385643275,7.2209394128300977,55.249278681583206,73.265909274984395,4
A1+A2+A3,unique_union,wikipedia,10000,10000,64.133391558577003,64.096211234871248,8.976772154472572,53.284415959544106,75.635126827433865,5
A1+A2+A3,all_file_rows_diagnostic,arxiv,18942,17523,68.453832226494015,68.913021899291948,6.7119601830585518,60.07533602127728,76.574192250709132,2
A1+A2+A3,all_file_rows_diagnostic,book,171,171,58.813104019060013,58.101620503076802,6.9348536828331948,49.452600573524137,68.411614974710261,6
A1+A2+A3,all_file_rows_diagnostic,c4,10000,10000,70.79985936471158,72.627905482567698,10.864128416955776,55.424910421991008,83.217941817169205,1
A1+A2+A3,all_file_rows_diagnostic,commoncrawl,9640,9640,68.139131067851935,69.210910116544014,8.9290622123446415,56.227497760973428,78.421538948975268,3
A1+A2+A3,all_file_rows_diagnostic,github,213752,203752,52.132260222391309,52.563220694460043,7.6769651881299863,42.242350887995329,61.19890894930375,7
A1+A2+A3,all_file_rows_diagnostic,stackexchange,10000,10000,64.371031781385483,64.568033385643275,7.2209394128300977,55.249278681583206,73.265909274984395,4
A1+A2+A3,all_file_rows_diagnostic,wikipedia,10000,10000,64.133391558577003,64.096211234871248,8.976772154472572,53.284415959544106,75.635126827433865,5
