scenario_id,target_mixture_domain,target_quality_domain,lambda,row_count,mean_q_0_100,min_q_0_100,max_q_0_100,mean_delta_q_0_100,mean_abs_delta_q_0_100,max_abs_delta_q_0_100,delta_positive_fraction,delta_negative_fraction,spearman_vs_baseline,observed_rows,extrapolation_rows
baseline,,,0.0,1214,60.83307799767197,51.81511625420505,64.3193971459079,0.0,0.0,0.0,0.0,0.0,1.0,1088,0
toward_arxiv_lambda_01,arxiv,arxiv,0.1,1214,61.13600615742725,53.019840588307225,64.2736933908398,0.3029281597554893,0.303580019821626,1.204724334102174,0.9835255354200988,0.016474464579901153,1.0,1088,0
toward_arxiv_lambda_025,arxiv,arxiv,0.25,1214,61.59039839706052,54.82692708946048,64.20513775823763,0.7573203993887226,0.7589500495540643,3.0118108352554316,0.9835255354200988,0.016474464579901153,1.0,1088,0
toward_gutenberg_pg_19_lambda_01,gutenberg_pg_19,book,0.1,1214,60.35302224598388,52.23685667686371,63.49070947939627,-0.480055751688027,0.5019758687856176,0.8286876665116267,0.06177924217462932,0.9382207578253706,1.0,1088,0
toward_gutenberg_pg_19_lambda_025,gutenberg_pg_19,book,0.25,1214,59.63293861845199,52.86946731085169,62.24767797962883,-1.200139379220074,1.2549396719640507,2.071719166279067,0.06177924217462932,0.9382207578253706,1.0,1088,0
toward_pile_cc_lambda_01,pile_cc,commoncrawl,0.1,1214,61.18334119326096,53.0671756241409,64.32102842667346,0.350263195589165,0.350263195589165,1.25205936993585,1.0,0.0,1.0,1088,0
toward_pile_cc_lambda_025,pile_cc,commoncrawl,0.25,1214,61.708735986644804,54.945264679044676,64.32347534782181,0.8756579889729134,0.8756579889729134,3.130148424839625,1.0,0.0,1.0,1088,0
toward_github_lambda_01,github,github,0.1,1214,59.91991095114629,51.803745382026015,63.05759818455858,-0.9131670465257212,0.9131670465257212,1.2617989613493208,0.0,1.0,1.0,1088,0
toward_github_lambda_025,github,github,0.25,1214,58.55016038135753,51.786689073757465,61.16489974253461,-2.282917616314299,2.282917616314299,3.1544974033732913,0.0,1.0,1.0,1088,0
toward_stackexchange_lambda_01,stackexchange,stackexchange,0.1,1214,60.888557531501554,52.77239196238121,64.02624476491377,0.055479533829470185,0.17003818174342236,0.9572757081761551,0.49341021416803954,0.5065897858319605,1.0,1088,0
toward_stackexchange_lambda_025,stackexchange,stackexchange,0.25,1214,60.971776832245666,54.20830552464543,63.586516193422575,0.13869883457366916,0.42509545435855633,2.3931892704403808,0.49341021416803954,0.5065897858319605,1.0,1088,0
toward_wikipedia_en_lambda_01,wikipedia_en,wikipedia,0.1,1214,60.85986088994724,52.743695320827044,63.99754812335961,0.02678289227530423,0.17211207832141603,0.9285790666219924,0.44069192751235586,0.5593080724876441,1.0,1088,0
toward_wikipedia_en_lambda_025,wikipedia_en,wikipedia,0.25,1214,60.90003522836028,54.13656392076002,63.51477458953716,0.06695723068825535,0.43028019580354077,2.321447666554967,0.44069192751235586,0.5593080724876441,1.0,1088,0
