axis,cost,coordinate,budget,context,scope,successful_starts,full_variable_loss,reduced_loss,difference,dense_grid_difference,budget_slack
Q_A_topsis_0_1,exponential,Q_A,1e+19,2048,unrestricted,3,2.9203192122638213,2.9203192122638324,-1.1102230246251565e-14,0.0,-5.750955267558311e-14
Q_A_topsis_0_1,exponential,Q_A,1e+22,32768,unrestricted,3,2.1018936147215683,2.1018936147235316,-1.963318396747127e-12,0.0,-2.5499602429590595e-11
Q_A_topsis_0_1,exponential,Q_A,1e+24,131072,unrestricted,3,1.8855650995327564,1.8855650995328603,-1.0391687510491465e-13,0.0,-2.481348460037225e-12
Q_A_topsis_0_1,exponential,Q_A,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9769725469277355
Q_A_topsis_0_1,exponential,Q_B,1e+19,2048,unrestricted,3,2.9989349332237563,2.9989349332237687,-1.2434497875801753e-14,0.0,-5.88418203051333e-14
Q_A_topsis_0_1,exponential,Q_B,1e+22,32768,unrestricted,3,2.1067143764734393,2.1067143764739202,-4.809486142676178e-13,0.0,-6.013411990579698e-12
Q_A_topsis_0_1,exponential,Q_B,1e+24,131072,unrestricted,3,1.8857796082111196,1.8857796082111196,0.0,0.0,-1.021405182655144e-14
Q_A_topsis_0_1,exponential,Q_B,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9760584843223232
Q_A_topsis_0_1,power,Q_A,1e+19,2048,unrestricted,3,2.9304996374831576,2.9304996374831718,-1.4210854715202004e-14,0.0,-8.593126210598712e-14
Q_A_topsis_0_1,power,Q_A,1e+22,32768,unrestricted,3,2.102028348527709,2.1020283485277047,4.440892098500626e-15,0.0,2.220446049250313e-15
Q_A_topsis_0_1,power,Q_A,1e+24,131072,unrestricted,3,1.885570847431691,1.8855708474320052,-3.141931159689193e-13,0.0,-7.420064562779771e-12
Q_A_topsis_0_1,power,Q_A,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9769481441321473
Q_A_topsis_0_1,power,Q_B,1e+19,2048,unrestricted,3,2.99893493322377,2.9989349332237687,1.3322676295501878e-15,0.0,5.551115123125783e-16
Q_A_topsis_0_1,power,Q_B,1e+22,32768,unrestricted,3,2.107144693379695,2.1071446933803877,-6.927791673660977e-13,0.0,-8.625322678312841e-12
Q_A_topsis_0_1,power,Q_B,1e+24,131072,unrestricted,3,1.8857996314645713,1.8857996314645715,-2.220446049250313e-16,0.0,-2.220446049250313e-16
Q_A_topsis_0_1,power,Q_B,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9759728088885262
Q_A_topsis_0_1,logarithmic,Q_A,1e+19,2048,unrestricted,3,2.9211657837306864,2.92116578373069,-3.552713678800501e-15,0.0,-1.6209256159527285e-14
Q_A_topsis_0_1,logarithmic,Q_A,1e+22,32768,unrestricted,3,2.10190447779395,2.101904477793949,8.881784197001252e-16,0.0,2.55351295663786e-15
Q_A_topsis_0_1,logarithmic,Q_A,1e+24,131072,unrestricted,3,1.8855655624307672,1.885565562430975,-2.078337502098293e-13,0.0,-4.82369699739138e-12
Q_A_topsis_0_1,logarithmic,Q_A,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9769705818703251
Q_A_topsis_0_1,logarithmic,Q_B,1e+19,2048,unrestricted,3,2.9678069607492303,2.967806960749232,-1.7763568394002505e-15,0.0,-2.1316282072803006e-14
Q_A_topsis_0_1,logarithmic,Q_B,1e+22,32768,unrestricted,1,2.1025977190932026,2.1025977190932035,-8.881784197001252e-16,0.0,-1.6653345369377348e-14
Q_A_topsis_0_1,logarithmic,Q_B,1e+24,131072,unrestricted,3,1.885595295955008,1.88559529595541,-4.021227795192317e-13,0.0,-9.14379683081279e-12
Q_A_topsis_0_1,logarithmic,Q_B,1e+24,2048,B1_rectangle,3,2.0026619134502144,2.0026619134502144,0.0,0.0,0.9768442920915585
quality_score_soft_proxy_0_1,exponential,Q_A,1e+19,2048,unrestricted,3,2.8325515046685177,2.8325515046693686,-8.5087492607272e-13,0.0,-3.9968028886505635e-12
quality_score_soft_proxy_0_1,exponential,Q_A,1e+22,32768,unrestricted,3,2.0051052764224253,2.005105276423206,-7.807088309164101e-13,0.0,-1.0098588631990424e-11
quality_score_soft_proxy_0_1,exponential,Q_A,1e+24,131072,unrestricted,3,1.7886613329965744,1.7886613329969987,-4.2432724001173483e-13,0.0,-9.733769346098597e-12
quality_score_soft_proxy_0_1,exponential,Q_A,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9769507123348663
quality_score_soft_proxy_0_1,exponential,Q_B,1e+19,2048,unrestricted,3,2.9761880846267172,2.9761880846268007,-8.348877145181177e-14,0.0,-3.801403636316536e-13
quality_score_soft_proxy_0_1,exponential,Q_B,1e+22,32768,unrestricted,3,2.0108791317457926,2.0108791317458334,-4.085620730620576e-14,0.0,-5.209166431541234e-13
quality_score_soft_proxy_0_1,exponential,Q_B,1e+24,131072,unrestricted,1,1.7889209222694784,1.7889209222694786,-2.220446049250313e-16,0.0,-2.220446049250313e-16
quality_score_soft_proxy_0_1,exponential,Q_B,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9758434738136283
quality_score_soft_proxy_0_1,power,Q_A,1e+19,2048,unrestricted,3,2.8483424044740553,2.8483424044745114,-4.560796185160143e-13,0.0,-2.1083135237631723e-12
quality_score_soft_proxy_0_1,power,Q_A,1e+22,32768,unrestricted,2,2.005330436121806,2.0053304361270317,-5.225597732305687e-12,0.0,-6.747669090145791e-11
quality_score_soft_proxy_0_1,power,Q_A,1e+24,131072,unrestricted,3,1.7886709681145596,1.78867096811495,-3.9035441545820504e-13,0.0,-8.884892821470203e-12
quality_score_soft_proxy_0_1,power,Q_A,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9769097960333684
quality_score_soft_proxy_0_1,power,Q_B,1e+19,2048,unrestricted,3,2.998071544547925,2.9980715445493553,-1.4304113449270517e-12,-4.440892098500626e-16,-6.859846024553917e-12
quality_score_soft_proxy_0_1,power,Q_B,1e+22,32768,unrestricted,3,2.012164417550798,2.0121644175515963,-7.984723993104126e-13,0.0,-9.812373136242059e-12
quality_score_soft_proxy_0_1,power,Q_B,1e+24,131072,unrestricted,2,1.7889822018561103,1.7889822018561092,1.1102230246251565e-15,0.0,7.771561172376096e-16
quality_score_soft_proxy_0_1,power,Q_B,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9755806194100863
quality_score_soft_proxy_0_1,logarithmic,Q_A,1e+19,2048,unrestricted,3,2.9316051533142917,2.931605153314409,-1.1723955140041653e-13,0.0,-4.5341508325691393e-13
quality_score_soft_proxy_0_1,logarithmic,Q_A,1e+22,32768,unrestricted,3,2.0068665987216012,2.0068665987216017,-4.440892098500626e-16,0.0,-2.1316282072803006e-14
quality_score_soft_proxy_0_1,logarithmic,Q_A,1e+24,131072,unrestricted,3,1.7887377702059875,1.7887377702059877,-2.220446049250313e-16,0.0,3.3306690738754696e-16
quality_score_soft_proxy_0_1,logarithmic,Q_A,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9766257320946717
quality_score_soft_proxy_0_1,logarithmic,Q_B,1e+19,2048,unrestricted,3,2.933661810327813,2.933661810328076,-2.6290081223123707e-13,0.0,-1.043165553937797e-12
quality_score_soft_proxy_0_1,logarithmic,Q_B,1e+22,32768,unrestricted,3,2.0069119352014853,2.0069119352014853,0.0,0.0,-4.440892098500626e-16
quality_score_soft_proxy_0_1,logarithmic,Q_B,1e+24,131072,unrestricted,3,1.7887397698536633,1.7887397698556968,-2.0334844919034367e-12,0.0,-4.6179282620073536e-11
quality_score_soft_proxy_0_1,logarithmic,Q_B,1e+24,2048,B1_rectangle,3,1.9057530038814423,1.9057530038814423,0.0,0.0,0.9766172186104567
