donor,receiver,model_epsilon_count,median_delta_scalar_loss_z,min_delta_scalar_loss_z,max_delta_scalar_loss_z,improving_fraction,sign_consistent
train_the_pile_dm_mathematics,train_the_pile_arxiv,6,-0.09779918928263115,-0.2962729500746255,0.04078381007107332,0.5,False
train_the_pile_dm_mathematics,train_the_pile_enron_emails,6,0.40643498041205345,0.21250678514685428,0.7646222051507217,0.0,True
train_the_pile_dm_mathematics,train_the_pile_europarl,6,0.13843761835750878,0.044781576653346006,0.22164748198969658,0.0,True
train_the_pile_dm_mathematics,train_the_pile_freelaw,6,0.001891957562785651,0.0004621333034009467,0.006222899609831911,0.0,True
train_the_pile_dm_mathematics,train_the_pile_github,6,0.004435927189515104,-0.007551063019178295,0.008675998569442678,0.3333333333333333,False
train_the_pile_dm_mathematics,train_the_pile_gutenberg_pg_19,6,-0.0017302928681848517,-0.01431467086884125,0.007660467897906642,0.6666666666666666,False
train_the_pile_dm_mathematics,train_the_pile_hackernews,6,-0.00016224215689039645,-0.017911466105954843,0.00013699325862437384,0.6666666666666666,False
train_the_pile_dm_mathematics,train_the_pile_nih_exporter,6,0.02090402055455634,-0.02677416410924227,0.0685339694996297,0.3333333333333333,False
train_the_pile_dm_mathematics,train_the_pile_philpapers,6,-0.0026075801822291744,-0.03198117682058921,0.016848628089418116,0.5,False
train_the_pile_dm_mathematics,train_the_pile_pile_cc,6,-0.001262572066312917,-0.008493325535968321,0.0012545489337015825,0.6666666666666666,False
train_the_pile_dm_mathematics,train_the_pile_pubmed_abstracts,6,0.00015585682187072014,-0.0011513332961977651,0.0030377253340576615,0.5,False
train_the_pile_dm_mathematics,train_the_pile_pubmed_central,6,0.00039119067139142816,-0.007278652431867649,0.00248193639829708,0.5,False
train_the_pile_dm_mathematics,train_the_pile_stackexchange,6,-0.0003425764067783721,-0.0025136420704330864,0.0002437604306424479,0.8333333333333334,False
train_the_pile_dm_mathematics,train_the_pile_ubuntu_irc,6,-0.023282367268011223,-0.034943249539490406,0.006590379941359137,0.8333333333333334,False
train_the_pile_dm_mathematics,train_the_pile_uspto_backgrounds,6,0.0008468156896909718,-0.0003011806234126668,0.004136058289293643,0.16666666666666666,False
train_the_pile_dm_mathematics,train_the_pile_wikipedia_en,6,0.0012016325509252301,-0.0014601667690897213,0.004931591190866502,0.3333333333333333,False
train_the_pile_freelaw,train_the_pile_arxiv,6,-0.10061495484292685,-0.29966441663080345,0.04027793808150354,0.5,False
train_the_pile_freelaw,train_the_pile_dm_mathematics,6,-0.0018396043723253597,-0.005789689359519734,-0.0003683834856323398,1.0,True
train_the_pile_freelaw,train_the_pile_enron_emails,6,0.4049486787208666,0.21200091315728484,0.7587765957948724,0.0,True
train_the_pile_freelaw,train_the_pile_europarl,6,0.136480402416347,0.04427570466377667,0.21650989009444022,0.0,True
train_the_pile_freelaw,train_the_pile_github,6,0.003964870621507854,-0.013602402220827536,0.00553914501733388,0.3333333333333333,False
train_the_pile_freelaw,train_the_pile_gutenberg_pg_19,6,-0.005254432675220744,-0.014750912015286277,0.0016551815767108513,0.8333333333333334,False
train_the_pile_freelaw,train_the_pile_hackernews,6,-0.0019637167129201716,-0.024099814313083723,-0.00036887873094548773,1.0,True
train_the_pile_freelaw,train_the_pile_nih_exporter,6,0.020319925649937842,-0.03003219037311433,0.06809772835318462,0.3333333333333333,False
train_the_pile_freelaw,train_the_pile_philpapers,6,-0.004435525132832824,-0.038051325814978276,0.016412386942973256,0.5,False
train_the_pile_freelaw,train_the_pile_pile_cc,6,-0.004090846737012321,-0.008929566682413348,-0.001742657897173816,1.0,True
train_the_pile_freelaw,train_the_pile_pubmed_abstracts,6,-0.0011931685945594517,-0.00681146528543819,-0.00017778159251574666,1.0,True
train_the_pile_freelaw,train_the_pile_pubmed_central,6,-0.0009722235648689515,-0.013408056468895535,0.0011101921896549127,0.6666666666666666,False
train_the_pile_freelaw,train_the_pile_stackexchange,6,-0.0031789220096335724,-0.005942702626287932,-0.0007882602465382194,1.0,True
train_the_pile_freelaw,train_the_pile_ubuntu_irc,6,-0.025967018861919322,-0.03537949068593543,0.000681454103760859,0.8333333333333334,False
