model,epsilon,observed_best_index,observed_best_score_z,predicted_best_index,predicted_best_score_z,predicted_best_observed_score_z,predicted_best_is_observed_row,a6_a7_mean_predicted_loss_overall
ilr_ridge,1e-06,170,-0.8267577350888266,186,-0.4667851011249114,-0.6098207946786401,True,5.34286780281038
quadratic_ridge,1e-06,170,-0.8267577350888266,97,-0.8283941319101186,-0.547512702364499,True,5.3446976618259745
ilr_ridge,0.0001,170,-0.8267577350888266,186,-0.583797180467895,-0.6098207946786401,True,5.339199570266261
quadratic_ridge,0.0001,170,-0.8267577350888266,46,-0.8956620768165682,-0.70846920243805,True,5.325570206376025
ilr_ridge,0.001,170,-0.8267577350888266,323,-0.6461460504380352,-0.38705641031247473,True,5.330842397128209
quadratic_ridge,0.001,170,-0.8267577350888266,270,-0.8809006486962753,-0.8004356629611261,True,5.307394944365637
