indicator,parent_field,method,direction_status,fit_count,output_min,output_p05,output_median,output_p95,output_max,saturation_at_boundary_rate,spearman_with_primary,selected_primary
fineweb_edu,fineweb_edu,min_max,confirmed,40919,0.0,0.20755303019274082,0.3733833902111087,0.6371752095526952,1.0,4.8877049781275205e-05,0.9999989940551528,False
fineweb_edu,fineweb_edu,quantile_01_99,confirmed,40919,0.0,0.10920811899702385,0.36809737611370635,0.7799210502300572,1.0,0.020039590410322834,1.0000000000000002,True
fineweb_edu,fineweb_edu,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
fineweb_edu,fineweb_edu,robust_z_logistic,confirmed,40919,0.03200986114265797,0.18032983227884175,0.5,0.9174771005603144,0.9967353227834271,0.0,0.9999989940551528,False
fluency_en_fluent_margin,fluency_en,min_max,confirmed,40919,0.0,0.30774063032367976,0.6100582055650199,0.9476149914821125,1.0,4.8877049781275205e-05,0.9999989793672572,False
fluency_en_fluent_margin,fluency_en,quantile_01_99,confirmed,40919,0.0,0.13129583217302515,0.5266406757634828,0.9680683189455119,1.0,0.020137344509885382,1.0,True
fluency_en_fluent_margin,fluency_en,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050043988269794726,0.5000244379276637,0.9500244379276638,0.9999755620723363,0.0,0.9999989793672572,False
fluency_en_fluent_margin,fluency_en,robust_z_logistic,confirmed,40919,0.07198963417202452,0.21978882762627164,0.5,0.8044859832126549,0.836730116371704,0.0,0.9999989793672572,False
modernbert_cleanliness_expected,modernbert_cleanliness,min_max,confirmed,40919,0.0,0.12393424298875146,0.7498060272701493,0.9999921147287713,1.0,4.8877049781275205e-05,0.9999989940551528,False
modernbert_cleanliness_expected,modernbert_cleanliness,quantile_01_99,confirmed,40919,0.0,0.12386801015559518,0.749787397026532,0.9999925131519329,1.0,0.020039590410322834,1.0,True
modernbert_cleanliness_expected,modernbert_cleanliness,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
modernbert_cleanliness_expected,modernbert_cleanliness,robust_z_logistic,confirmed,40919,0.10848704511376807,0.14702294098479396,0.5,0.668808446563566,0.6688133529877031,0.0,0.9999989940551528,False
modernbert_readability_expected,modernbert_readability,min_max,confirmed,40919,0.0,0.24294846272484658,0.8072682700577527,0.9919295646229207,1.0,4.8877049781275205e-05,0.9999989940551528,False
modernbert_readability_expected,modernbert_readability,quantile_01_99,confirmed,40919,0.0,0.06852780569478992,0.7643077821973837,0.9919865372648898,1.0,0.020039590410322834,1.0,True
modernbert_readability_expected,modernbert_readability,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
modernbert_readability_expected,modernbert_readability,robust_z_logistic,confirmed,40919,0.014015717719804421,0.048643241700983914,0.5,0.7257115319976389,0.7340941537655176,0.0,0.9999989940551528,False
modernbert_reasoning_expected,modernbert_reasoning,min_max,pending_verification,40910,0.0,0.0601381185055379,0.24907606405116883,0.9784920051627132,1.0,4.8887802493277926e-05,0.9068727748452269,False
modernbert_reasoning_expected,modernbert_reasoning,quantile_01_99,pending_verification,40910,0.0,0.05620891795958107,0.2459380292292132,0.978408353564207,1.0,0.02004399902224395,0.906872575748112,True
modernbert_reasoning_expected,modernbert_reasoning,rank_ecdf,pending_verification,40910,2.4443303756935786e-05,0.050021998973381235,0.5,0.9499780010266187,0.999975556696243,0.0,0.9068727748452269,False
modernbert_reasoning_expected,modernbert_reasoning,robust_z_logistic,pending_verification,40910,0.13811909492125782,0.19958099905162732,0.5,0.9953306791372261,0.9960108118990747,0.0,0.9068727748452269,False
modernbert_professionalism_expected,modernbert_professionalism,min_max,pending_verification,40914,0.0,0.0029627255006061974,0.44044907378486864,0.9996700810532655,1.0,4.8883022926137754e-05,0.71552711352058,False
modernbert_professionalism_expected,modernbert_professionalism,quantile_01_99,pending_verification,40914,0.0,0.0028353148379526858,0.4403823475892781,0.9996809253439989,1.0,0.02004203939971648,0.7155263624900813,True
modernbert_professionalism_expected,modernbert_professionalism,rank_ecdf,pending_verification,40914,2.4440914090186972e-05,0.05002199682268117,0.5,0.9499780031773187,0.9999755590859098,0.0,0.71552711352058,False
modernbert_professionalism_expected,modernbert_professionalism,robust_z_logistic,pending_verification,40914,0.283020794439496,0.284291282416387,0.5,0.764980794465874,0.7651059491375006,0.0,0.71552711352058,False
dsir_books,dsir_books,min_max,confirmed,40919,0.0,0.9760453075466599,0.9963884665307031,0.9993262226910955,1.0,4.8877049781275205e-05,0.9999989940551528,False
dsir_books,dsir_books,quantile_01_99,confirmed,40919,0.0,0.7610124214599658,0.9669316707621834,0.9966684753388707,1.0,0.020039590410322834,1.0,True
dsir_books,dsir_books,rank_ecdf,confirmed,40919,2.4437927663734115e-05,0.050021994134897364,0.5,0.9499780058651025,0.9999755620723363,0.0,0.9999989940551528,False
dsir_books,dsir_books,robust_z_logistic,confirmed,40919,6.305116760146985e-16,0.001078628240171737,0.5,0.728388715460691,0.7707779537450499,0.0,0.9999993489258154,False
dsir_wiki,dsir_wiki,min_max,confirmed,40919,0.0,0.9760418022873935,0.9963765647350313,0.9993308659750922,1.0,4.8877049781275205e-05,0.9999989940551528,False
dsir_wiki,dsir_wiki,quantile_01_99,confirmed,40919,0.0,0.7751361725395229,0.9687347698498608,0.9968614114853745,1.0,0.020039590410322834,1.0,True
