target,method,n,MAE,RMSE,mean_bias,median_abs_error,max_abs_error,under_prediction_rate,over_prediction_rate,window_min_train
c8_equal_task,linear_trend,7,0.8571343917891312,0.9590312944243188,0.23612581809970226,0.8562879806899772,1.6152887233392832,0.42857142857142855,0.5714285714285714,3
c8_equal_task,mean_last_3,7,1.9939761658822681,2.108317794961428,-1.9939761658822681,1.6078026079836931,2.9331199763938614,1.0,0.0,3
c8_equal_task,naive_last,7,0.9990839300994411,1.3284485064592901,-0.7665118796972418,0.6978176142828048,2.6312204218030644,0.7142857142857143,0.2857142857142857,3
leaderboard_average,linear_trend,7,3.172465382300195,3.920567683489725,3.0941680594652428,2.688592959467172,6.681654472789283,0.14285714285714285,0.8571428571428571,3
leaderboard_average,mean_last_3,7,1.638263400562997,2.1469393750069057,-1.5351777869018122,1.2431714971667276,3.745325060525275,0.7142857142857143,0.2857142857142857,3
leaderboard_average,naive_last,7,1.7117898408647727,1.8901338857650354,-0.18615163303726837,1.3347394544527802,3.140140071285465,0.5714285714285714,0.42857142857142855,3
c8_equal_task,naive_last,5,1.235917066857678,1.539673976198723,-1.235917066857678,1.1280141111718862,2.6312204218030644,1.0,0.0,5
c8_equal_task,mean_last_3,5,2.001058529983608,2.1407433798409485,-2.001058529983608,1.6078026079836931,2.9331199763938614,1.0,0.0,5
c8_equal_task,mean_all,5,3.967020822192778,4.133605907647997,-3.967020822192778,3.220538704814452,5.644731876541613,1.0,0.0,5
c8_equal_task,linear_all,5,0.760840936960976,0.8357165067246998,-0.10857106620422456,0.8562879806899772,1.1050074336001785,0.6,0.4,5
c8_equal_task,linear_last_4,5,0.96827067709673,1.0067724005256657,-0.29508226862584336,0.8492535913576162,1.4974833971762536,0.6,0.4,5
leaderboard_average,naive_last,5,1.595506922621985,1.7877837125284037,-1.0616111408408728,1.3347394544527802,3.140140071285465,0.8,0.2,5
leaderboard_average,mean_last_3,5,1.5236954289577285,1.9261789077539844,-1.4389924410509167,1.2431714971667276,3.745325060525275,0.8,0.2,5
leaderboard_average,mean_all,5,3.973848505952411,4.07928555793844,-3.973848505952411,3.9860790521610663,5.42358884235621,1.0,0.0,5
leaderboard_average,linear_all,5,1.8083669804476643,2.0451014082442938,1.6987507284787313,1.758673022023423,2.9290798994022325,0.2,0.8,5
leaderboard_average,linear_last_4,5,1.8853964192569308,2.549062130349283,-0.17165846384595085,1.4654334903510176,5.142637207757204,0.2,0.8,5
