target,method,n_forecasts,MAE,RMSE,mean_bias
leaderboard_average,linear_trend,7,3.172465382300195,3.920567683489725,3.0941680594652428
leaderboard_average,mean_last_3,7,1.638263400562997,2.1469393750069057,-1.5351777869018122
leaderboard_average,naive_last,7,1.7117898408647727,1.8901338857650354,-0.18615163303726842
c8_equal_task,linear_trend,7,0.8571343917891312,0.9590312944243188,0.23612581809970226
c8_equal_task,mean_last_3,7,1.9939761658822681,2.108317794961428,-1.9939761658822681
c8_equal_task,naive_last,7,0.9990839300994411,1.3284485064592901,-0.7665118796972418
