quantity,n_boot,median,q025,q975,sd
const,100,19.41049972560052,16.32023935044743,21.52131835491776,1.333743047104166
log_params,100,6.868367632584636,5.901606627736436,8.334255971597166,0.6487904267763042
time_month,100,1.0406245400070873,0.694720646594979,1.290003476509438,0.16094117414530715
frontier_q95_h12,100,67.35852108958952,60.728628512248,71.4304602573719,2.8364797925611462
frontier_q95_h24,100,79.93838459151928,69.0688292031263,86.77168043021439,4.737023009465499
