features,tail_probability,partition,n_conflict,rate
core11,0.2,A3_full,97542,0.4787290431504967
core11,0.2,A3_overlap,4757,0.4757
core11,0.2,A3_new,92785,0.4788853792476981
core11,0.2,union_unique,137541,0.5268034287552761
core11,0.25,A1_full,37389,0.7298262736677728
core11,0.25,A1_fit,29915,0.7310784721034238
core11,0.25,A1_holdout,7474,0.7248569488895354
core11,0.25,A2_full,17390,0.9924099754608229
core11,0.25,A2_overlap,1405,0.9901338971106413
core11,0.25,A2_new,15985,0.9926105315449578
core11,0.25,A3_full,144626,0.709813891397385
core11,0.25,A3_overlap,7109,0.7109
core11,0.25,A3_new,137517,0.7097578347578347
core11,0.25,union_unique,190891,0.7311422289973418
groups5,0.1,A1_full,4658,0.09092328713644349
groups5,0.1,A1_fit,3688,0.09012927979667147
groups5,0.1,A1_holdout,970,0.09407428959363787
groups5,0.1,A2_full,681,0.03886320835473378
groups5,0.1,A2_overlap,54,0.03805496828752643
groups5,0.1,A2_new,627,0.0389344262295082
groups5,0.1,A3_full,28065,0.13774097922965173
groups5,0.1,A3_overlap,1343,0.1343
groups5,0.1,A3_new,26722,0.13791857632437343
groups5,0.1,union_unique,32007,0.12259178967849674
groups5,0.15,A1_full,9596,0.1873121218036307
groups5,0.15,A1_fit,7638,0.18666145311468998
groups5,0.15,A1_holdout,1958,0.1898942876539618
groups5,0.15,A2_full,5116,0.29195913941676654
groups5,0.15,A2_overlap,401,0.28259337561663145
groups5,0.15,A2_new,4715,0.2927844013909588
groups5,0.15,A3_full,48563,0.23834367270014528
groups5,0.15,A3_overlap,2333,0.2333
groups5,0.15,A3_new,46230,0.2386039886039886
groups5,0.15,union_unique,60541,0.23188144902445937
groups5,0.2,A1_full,15124,0.29521764591059924
groups5,0.2,A1_fit,12085,0.2953395733033554
groups5,0.2,A1_holdout,3039,0.2947337794588304
groups5,0.2,A2_full,10206,0.5824345146379045
groups5,0.2,A2_overlap,798,0.5623678646934461
groups5,0.2,A2_new,9408,0.5842026825633383
groups5,0.2,A3_full,69142,0.3393439082806549
groups5,0.2,A3_overlap,3347,0.3347
groups5,0.2,A3_new,65795,0.3395835913951856
groups5,0.2,union_unique,90327,0.3459664631577335
groups5,0.25,A1_full,21122,0.4122974819441733
groups5,0.25,A1_fit,16847,0.4117158288325717
groups5,0.25,A1_holdout,4275,0.41460576083794004
groups5,0.25,A2_full,13800,0.7875363807567197
groups5,0.25,A2_overlap,1067,0.751937984496124
groups5,0.25,A2_new,12733,0.7906731246895181
groups5,0.25,A3_full,90138,0.4423907495386548
groups5,0.25,A3_overlap,4426,0.4426
groups5,0.25,A3_new,85712,0.44237994962632643
groups5,0.25,union_unique,119567,0.4579602123438254
