base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
ilr_ridge,C0_none,A4_A5_train_1m,base_fit,512,0.2799847733345418,0.2171672767358156,9.020562075079396e-17,0.2554300081251269,0.5248580033130771,0.3572818056519283,0.2759852629362356,0.3822371939016146,0.7534682337190024,0.8830041273714669
ilr_ridge,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.2495352308819614,0.2035159661986318,-0.0569176039594193,0.1925335531909939,0.4716890306706339,0.326458788552431,0.2626453548842908,0.3464429770513587,0.7648632501349787,0.8897807102487807
ilr_ridge,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5300860293035774,1.516288392647689,-1.516288392647689,-47.86754666215644,0.426028553444724,1.5583146838638566,1.5187868918290055,1.6125830561174754,-7.955139952018309,0.885947761325422
ilr_ridge,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.956868348374443,2.955363351632918,-2.955363351632918,-3239.824610229814,0.6658882783882784,2.9770648280034013,2.955363351632918,3.023782165613756,-608.4885698380405,0.8610911524373062
ilr_ridge,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.563641906478362,3.5568699028144644,-3.5568699028144644,-1373.6991945846562,-0.518481182795699,3.5922991965638853,3.557571888481252,3.609550175318696,-235.0801385607503,0.6977767484294162
ilr_ridge,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,3.946488797637768,3.939782967527529,-3.939782967527529,-1434.648862625576,-0.5702284946236559,3.977829307807488,3.9401689580783215,3.996970312628592,-382.6760848403916,0.6344811766919685
ilr_ridge,C1_global,A4_A5_train_1m,base_fit,512,0.2799847733345418,0.2171672767358156,9.020562075079396e-17,0.2554300081251269,0.5248580033130771,0.3572818056519283,0.2759852629362356,0.3822371939016146,0.7534682337190024,0.8830041273714669
ilr_ridge,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2495352308819614,0.2035159661986318,-0.0569176039594193,0.1925335531909939,0.4716890306706339,0.326458788552431,0.2626453548842908,0.3464429770513587,0.7648632501349787,0.8897807102487807
ilr_ridge,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.2127730740304238,0.1702301952873879,-0.0569176039594191,0.0550209662121581,0.426028553444724,0.4939369094464561,0.419335058893139,0.5518453015470415,-0.0472671537709716,0.885947761325422
ilr_ridge,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.5021320816747796,0.4931923945108999,-0.4931923945108999,-92.46036886567582,0.6658882783882784,0.6179430260622175,0.5782282384672702,0.8076662571336359,-20.764344203938624,0.8610911524373062
