model,cv_rmse,cv_rmse_sd,cv_mae,cv_mae_sd,n
quadratic_ridge,0.3410743532616127,0.02429130529863799,0.23827206008766763,0.013370201190305183,15
shallow_gbdt,0.35279541408217346,0.018605706340150883,0.2538612854502592,0.011618272011079359,15
ilr_ridge,0.3970707173355613,0.021539726843246225,0.28725124069086333,0.013730759180177396,15
ilr_ols,0.3971104711454565,0.021214188071794284,0.28753155746052905,0.013730567583918695,15
pls,0.4674330562874202,0.022295793558245607,0.347645386195136,0.01446958426865679,15
mean_baseline,0.8246466510396594,0.023791778548429694,0.644248183256621,0.01951008851446348,15
