block,alpha,cv_mean_target_r2,cv_sd_target_r2,cv_mean_target_spearman,cv_mae,cv_rmse,cv_replicates
p_only,10.0,0.7271038801559399,0.0225451795229439,0.8693755991362234,0.2893023287496684,0.4002218631913658,5
p_q_raw_coverage,0.1,0.7447122799617801,0.021933399831807,0.8805428994333779,0.2815660597617559,0.393611148980747,5
p_q_renorm_coverage,10.0,0.7465373637116778,0.0166616923073245,0.8796107504532198,0.2803828887022335,0.3891390592703485,5
