domain,dataset,M1_minus_B1_rmse,M1_better,relative_change_pct
metric/the_pile_dm_mathematics_val_loss,A14_A15,0.2027880516454061,False,7.080895832679494
metric/the_pile_github_val_loss,A14_A15,0.0391557949750502,False,0.973840008949686
metric/the_pile_stackexchange_val_loss,A14_A15,0.0128991579700401,False,0.326602552462567
metric/the_pile_gutenberg_pg_19_val_loss,A14_A15,-0.0425583655148535,True,-1.0589262101934258
metric/the_pile_pile_cc_val_loss,A14_A15,0.0001813954957388,False,0.0043040178920294
metric/the_pile_ubuntu_irc_val_loss,A14_A15,0.1234918138429757,False,2.5690775917256485
metric/the_pile_hackernews_val_loss,A14_A15,-0.0108577572728032,True,-0.2727270196905944
metric/the_pile_pubmed_abstracts_val_loss,A14_A15,0.0617214438716557,False,1.5557768286743645
metric/the_pile_uspto_backgrounds_val_loss,A14_A15,0.0153062978406079,False,0.403410621363809
loss_mean_13_domains,A14_A15,0.028569859367169,False,0.726357721542897
