axis,lambda_Q,lambda_p,rows,loss_min,loss_max,N_elasticity_min,N_elasticity_max,D_elasticity_min,D_elasticity_max
Q_A_topsis_0_1,0.0,0.0,512,2.3855781852659437,2.3855781852659437,-0.05044689804001099,-0.05044689804001099,-0.040100311681488005,-0.040100311681488005
Q_A_topsis_0_1,0.0,0.5,512,2.031917266060691,2.554166297584049,-0.05922732263203819,-0.04711714330911743,-0.04707988379624584,-0.037453484865182296
Q_A_topsis_0_1,0.0,1.0,512,1.678256346855438,2.722754409902154,-0.07170836547353265,-0.04419973356425866,-0.057001082670693495,-0.03513443167030281
Q_A_topsis_0_1,0.5,0.0,512,2.3402194062457875,2.5031172850336665,-0.05142467375383604,-0.048078058586442506,-0.04087754700025579,-0.03821731779876876
Q_A_topsis_0_1,0.5,0.5,512,2.0316945287230177,2.6146059412945997,-0.059233815801150995,-0.04602797598593297,-0.04708504522569623,-0.03658770419620344
Q_A_topsis_0_1,0.5,1.0,512,1.6780336095177648,2.7447750609296255,-0.07171788383497897,-0.0438451300405746,-0.05700864882987323,-0.03485255682020189
Q_A_topsis_0_1,1.0,0.0,512,2.2948606272256318,2.6206563848013893,-0.052441101673384165,-0.04592170884230824,-0.04168550701284802,-0.036503232291162355
Q_A_topsis_0_1,1.0,0.5,512,2.031471791385344,2.7321450410623225,-0.05924031039412922,-0.044047815057356006,-0.047090207786979275,-0.035013671431047846
Q_A_topsis_0_1,1.0,1.0,512,1.6778108721800913,2.8436336973232557,-0.0717274047236404,-0.04232085855216431,-0.05701621699793989,-0.033640911225581195
quality_score_soft_proxy_0_1,0.0,0.0,512,2.3855781852659437,2.3855781852659437,-0.05044689804001099,-0.05044689804001099,-0.040100311681488005,-0.040100311681488005
quality_score_soft_proxy_0_1,0.0,0.5,512,2.0316877876174075,2.567070347765919,-0.05923401233794688,-0.04688029667099692,-0.04708520145307746,-0.0372652151324861
quality_score_soft_proxy_0_1,0.0,1.0,512,1.6777973899688712,2.748562510265894,-0.07172798110075634,-0.04378471256487575,-0.057016675160936885,-0.03480453088202406
quality_score_soft_proxy_0_1,0.5,0.0,512,2.291764951461402,2.4546628302492803,-0.052511938190626606,-0.049027107917042935,-0.041741815062108056,-0.0389717184742672
quality_score_soft_proxy_0_1,0.5,0.5,512,2.0335617137484054,2.589933117427123,-0.059179428224362576,-0.046466458407288136,-0.04704181246281977,-0.036936254502492834
quality_score_soft_proxy_0_1,0.5,1.0,512,1.679671316099869,2.7512312941887003,-0.07164795774331727,-0.04374223996825886,-0.05695306447921447,-0.03477076935399297
quality_score_soft_proxy_0_1,1.0,0.0,512,2.1979517176568595,2.523747475232617,-0.05475325891456801,-0.047685047992962595,-0.04352344412356083,-0.037904913113743895
quality_score_soft_proxy_0_1,1.0,0.5,512,2.035435639879404,2.6505717148337187,-0.059124944616630454,-0.0454034194981724,-0.04699850336480829,-0.03609124334737126
quality_score_soft_proxy_0_1,1.0,1.0,512,1.6815452422308674,2.794288049588302,-0.07156811274309012,-0.043068222510673736,-0.056889595573895904,-0.03423499190923333
