axis,to_domain,from_domain,to_index,from_index,derivative_per_fraction,loss_change_per_1pp_linearization,pair_logratio_elasticity,finite_difference,finite_step,finite_delta_loss,min_convex_weight,witness_reconstruction_max_error,finite_endpoints_in_training_convex_hull,one_percentage_point_support_verified
Q_A_topsis_0_1,arxiv,freelaw,0,1,-0.1532825034519495,-0.001532825034519495,-0.0033507898082194925,-0.1532825034522567,0.0001,-1.5328250345447714e-05,0.0019480843524036378,2.7755575615628914e-17,True,False
quality_score_soft_proxy_0_1,arxiv,freelaw,0,1,0.024602239317502717,0.0002460223931750272,0.0005378104539524764,0.024602239316884322,0.0001,2.4602239316884322e-06,0.0019480843524036378,2.7755575615628914e-17,True,False
Q_A_topsis_0_1,arxiv,nih_exporter,0,2,2.2754693322724293,0.022754693322724295,0.0053395864172009755,2.2754693322690756,0.0001,0.00022754693322690756,0.0018773708407163919,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,nih_exporter,0,2,2.367262040375781,0.02367262040375781,0.005554985979144213,2.367262040379181,0.0001,0.0002367262040379181,0.0018773708407163919,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,pubmed_central,0,3,0.05934955619426563,0.0005934955619426563,0.0014104502509605403,0.0593495561940216,0.0001,5.93495561940216e-06,0.001948941847103078,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,pubmed_central,0,3,0.14067810226094712,0.0014067810226094713,0.003343234176665617,0.14067810226059407,0.0001,1.4067810226059407e-05,0.001948941847103078,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,wikipedia_en,0,4,0.15317964105942405,0.0015317964105942407,0.0028966381017631756,0.15317964105809878,0.0001,1.5317964106031923e-05,0.001947018990442604,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,wikipedia_en,0,4,0.5075015612094805,0.005075015612094806,0.009596891262680212,0.507501561208823,0.0001,5.075015612110434e-05,0.001947018990442604,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,dm_mathematics,0,5,1.4017340703438417,0.014017340703438417,0.01221068809743613,1.401734070340943,0.0001,0.0001401734070340943,0.0019370382316736393,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,dm_mathematics,0,5,1.472598454373853,0.014725984543738531,0.012827996978567301,1.4725984543728643,0.0001,0.00014725984543728643,0.0019370382316736393,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,github,0,6,-0.22182990706111716,-0.002218299070611172,-0.005200327158061731,-0.22182990706109962,0.0001,-2.2182990706109962e-05,0.0019491364924667568,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,github,0,6,0.25034669881183214,0.0025034669881183213,0.005868842276544723,0.250346698811299,0.0001,2.50346698811299e-05,0.0019491364924667568,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,philpapers,0,7,4.391336375291502,0.04391336375291502,0.009633905789463623,4.3913363752912105,0.0001,0.00043913363752912105,0.0018741963185821067,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,philpapers,0,7,4.4824646963819506,0.044824646963819506,0.009833827085649706,4.4824646963848025,0.0001,0.00044824646963848025,0.0018741963185821067,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,stackexchange,0,8,0.2872879002670936,0.002872879002670936,0.006370152962329927,0.287287900266886,0.0001,2.8728790026910644e-05,0.001948066862970275,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,stackexchange,0,8,0.5602704898390232,0.005602704898390232,0.012423108377470684,0.5602704898377553,0.0001,5.602704898377553e-05,0.001948066862970275,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,enron_emails,0,9,4.588694262941379,0.04588694262941379,0.004171350992628564,4.588694262943616,0.0001,0.0004588694262941395,0.0017637353390028768,2.7755575615628914e-17,True,False
quality_score_soft_proxy_0_1,arxiv,enron_emails,0,9,4.793774234026321,0.04793774234026321,0.004357778872093572,4.793774234026493,0.0001,0.00047937742340264933,0.0017637353390028768,2.7755575615628914e-17,True,False
Q_A_topsis_0_1,arxiv,gutenberg_pg_19,0,10,0.3258849132078976,0.003258849132078976,0.004528940257827432,0.3258849132059538,0.0001,3.258849132059538e-05,0.00194307805202665,8.326672684688674e-17,True,False
quality_score_soft_proxy_0_1,arxiv,gutenberg_pg_19,0,10,0.42720459851008685,0.004272045985100868,0.005937016492957578,0.42720459850986714,0.0001,4.2720459850986714e-05,0.00194307805202665,8.326672684688674e-17,True,False
Q_A_topsis_0_1,arxiv,pile_cc,0,11,0.13196252123956065,0.0013196252123956066,0.003212942263770366,0.13196252123925944,0.0001,1.3196252123925944e-05,0.0019493423888952935,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,arxiv,pile_cc,0,11,0.23660414160626309,0.002366041416062631,0.005760692045052974,0.23660414160353582,0.0001,2.3660414160353582e-05,0.0019493423888952935,4.163336342344337e-17,True,False
Q_A_topsis_0_1,arxiv,ubuntu_irc,0,12,2.318284972687043,0.02318284972687043,0.016232182545295296,2.3182849726866017,0.0001,0.00023182849726843813,0.0019319906914398095,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,arxiv,ubuntu_irc,0,12,2.5152310107141718,0.02515231010714172,0.017611160573662382,2.5152310107134923,0.0001,0.00025152310107134923,0.0019319906914398095,4.163336342344337e-17,True,False
Q_A_topsis_0_1,arxiv,europarl,0,13,1.2946991767431448,0.012946991767431448,0.006212529552968938,1.294699176743741,0.0001,0.0001294699176743741,0.0019184439437073676,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,europarl,0,13,1.5235165599886216,0.015235165599886216,0.007310494841879879,1.5235165599891687,0.0001,0.00015235165599891687,0.0019184439437073676,5.551115123125783e-17,True,False
Q_A_topsis_0_1,arxiv,hackernews,0,14,2.0212050614472794,0.020212050614472794,0.008948797679654378,2.02120506144432,0.0001,0.000202120506144432,0.0019198898306291208,4.163336342344337e-17,True,False
quality_score_soft_proxy_0_1,arxiv,hackernews,0,14,2.218151099474408,0.02218151099474408,0.009820767714625648,2.218151099473431,0.0001,0.0002218151099473431,0.0019198898306291208,4.163336342344337e-17,True,False
Q_A_topsis_0_1,arxiv,pubmed_abstracts,0,15,0.33841303907393505,0.0033841303907393505,0.005921147836212633,0.3384130390715612,0.0001,3.384130390715612e-05,0.001946573552188191,5.551115123125783e-17,True,False
quality_score_soft_proxy_0_1,arxiv,pubmed_abstracts,0,15,0.41974158514061655,0.0041974158514061655,0.007344137759658939,0.41974158514257454,0.0001,4.1974158514257454e-05,0.001946573552188191,5.551115123125783e-17,True,False
