check,comparisons,passed,max_absolute_error,max_tolerance_fraction
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
quality_one_sided_Q_A_topsis_0_1,2,True,0.0,0.0
quality_regular_Q_A_topsis_0_1,1,True,0.0,0.0
