experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,L_hat,epsilon_N,epsilon_D,epsilon_Q_score,epsilon_impurity,dlnN_dlnQ_score,dlnD_dlnQ_score,loss_qscore_0_1,loss_qscore_1_0,relative_loss_reduction_qscore_0_1_to_1_0
N0.07_D0010_Q0.1,0.07,10,0.1,3.7216,3.6364284200080546,-0.08706144626441599,-0.0533978837750454,-0.009961626991262377,0.0896546429213614,-0.11442064678098418,-0.18655471503756063,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.2,0.07,10,0.2,3.6004,3.6002036765075087,-0.08793744630305116,-0.05393516577824013,-0.02012371896452636,0.08049487585810544,-0.2288412935619684,-0.37310943007512126,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.3,0.07,10,0.3,3.6507,3.563978933006963,-0.08883125389740003,-0.05448336978917904,-0.030492388575919002,0.07114890667714432,-0.3432619403429526,-0.5596641451126818,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.4,0.07,10,0.4,3.5704,3.527754189506417,-0.0897434176181142,-0.05504283226576801,-0.041073999552802394,0.06161099932920359,-0.4576825871239367,-0.7462188601502425,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.6,0.07,10,0.6,3.5458,3.4553047025053254,-0.09162512274340831,-0.05619694899470674,-0.06290283483412706,0.041935223222751374,-0.6865238806859052,-1.1193282902253636,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.8,0.07,10,0.8,3.353,3.3828552155042337,-0.09358742757654098,-0.057400500393251036,-0.08566667195101067,0.021416667987752665,-0.9153651742478734,-1.492437720300485,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q0.9,0.07,10,0.9,3.2211,3.346630472003688,-0.09460044069143272,-0.058021817392825116,-0.0974181924871188,0.010824243609679865,-1.0297858210288577,-1.6789924353380454,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0010_Q1.0,0.07,10,1.0,3.1125,3.310405728503142,-0.09563562398319052,-0.058656732150975006,-0.10942689951459662,0.0,-1.1442064678098418,-1.8655471503756063,3.6364284200080546,3.310405728503142,0.08965464292136138
N0.07_D0050_Q0.1,0.07,50,0.1,3.5105,3.3853668367374357,-0.09351799457811044,-0.03638501847992257,-0.01070038942528797,0.09630350482759172,-0.11442064678098418,-0.2940877831680227,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.2,0.07,50,0.2,3.4001,3.34914209323689,-0.09452949700827558,-0.03677856343113841,-0.021632252375136003,0.08652900950054401,-0.2288412935619684,-0.5881755663360454,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.3,0.07,50,0.3,3.3596,3.312917349736344,-0.09556311977059198,-0.03718071473343926,-0.03280318191767937,0.07654075780791852,-0.34326194034295254,-0.882263349504068,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.4,0.07,50,0.4,3.2727,3.276692606235798,-0.09661959650423908,-0.0375917578236036,-0.04422110689493102,0.06633166034239653,-0.4576825871239368,-1.1763511326720908,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.6,0.07,50,0.6,3.0798,3.2042431192347065,-0.0988042123216108,-0.0384417256532731,-0.06783145127114636,0.04522096751409758,-0.686523880685905,-1.7645266990081359,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.8,0.07,50,0.8,3.1431,3.131793632233615,-0.10108990395294037,-0.03933101901997236,-0.09253417754658406,0.02313354438664601,-0.9153651742478736,-2.3527022653441816,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q0.9,0.07,50,0.9,3.0628,3.095568888733069,-0.10227287095280863,-0.03979127564058877,-0.10531915238311644,0.011702128042568491,-1.0297858210288577,-2.6467900485122042,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0050_Q1.0,0.07,50,1.0,2.9922,3.059344145232523,-0.10348385224208373,-0.040262431772495694,-0.11840689304927021,0.0,-1.1442064678098418,-2.940877831680227,3.3853668367374357,3.059344145232523,0.0963035048275917
N0.07_D0150_Q0.1,0.07,150,0.1,3.384,3.2690473464553924,-0.09684555894432238,-0.02761695827612285,-0.011081131492275296,0.09973018343047765,-0.1144206467809842,-0.4012437351529713,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.2,0.07,150,0.2,3.2214,3.2328226029548466,-0.09793074237774634,-0.027926414547835204,-0.022410597765207346,0.08964239106082939,-0.2288412935619684,-0.8024874703059426,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.3,0.07,150,0.3,3.3529,3.1965978594543007,-0.09904052101723322,-0.02824288451007748,-0.033996841416952445,0.07932596330622237,-0.3432619403429525,-1.2037312054589138,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.4,0.07,150,0.4,3.1687,3.160373115953755,-0.100175740606306,-0.028566609339253018,-0.045848692127750536,0.0687730381916258,-0.4576825871239367,-1.6049749406118852,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.6,0.07,150,0.6,3.1017,3.0879236289526633,-0.10252608403735222,-0.029236844889311435,-0.07038660508485227,0.04692440338990152,-0.686523880685905,-2.4074624109178275,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.8,0.07,150,0.8,3.0179,3.0154741419515716,-0.10498936571150039,-0.029939286467003175,-0.09610360903868127,0.02402590225967031,-0.9153651742478736,-3.2099498812237703,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q0.9,0.07,150,0.9,2.7658,2.9792493984510258,-0.10626593317347972,-0.030303318754270038,-0.10943115124044954,0.012159016804494391,-1.0297858210288577,-3.6111936163767413,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0150_Q1.0,0.07,150,1.0,2.9653,2.94302465495048,-0.10757392635171568,-0.03067631255411545,-0.12308678229933266,0.0,-1.1442064678098418,-4.012437351529712,3.2690473464553924,2.94302465495048,0.09973018343047764
N0.07_D0300_Q0.1,0.07,300,0.1,3.2863,3.2122207632283986,-0.09855882917733812,-0.023102528232036023,-0.011277164980447563,0.10149448482402806,-0.11442064678098418,-0.48813553508873725,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.2,0.07,300,0.2,3.1355,3.1759960197278527,-0.09968297048119563,-0.02336603081649182,-0.02281157991101632,0.09124631964406528,-0.2288412935619684,-0.9762710701774745,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.3,0.07,300,0.3,3.1588,3.139771276227307,-0.10083305108241469,-0.023635613661383097,-0.03461214876524971,0.08076168045224932,-0.3432619403429525,-1.4644066052662115,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.4,0.07,300,0.4,3.2809,3.103546532726761,-0.10200997927515189,-0.02391148967398129,-0.04668819122711069,0.07003228684066602,-0.4576825871239368,-1.952542140354949,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.6,0.07,300,0.6,3.0098,3.0310970457256694,-0.10444822871289214,-0.02448302372062449,-0.07170620330674368,0.047804135537829126,-0.686523880685905,-2.928813210532423,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.8,0.07,300,0.8,2.8391,2.9586475587245777,-0.10700589076564566,-0.025082548494558512,-0.09794946584624416,0.024487366461561036,-0.9153651742478734,-3.905084280709898,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q0.9,0.07,300,0.9,2.858,2.922422815224032,-0.10833227684702992,-0.025393457949830382,-0.11155904265684422,0.012395449184093799,-1.0297858210288577,-4.393219815798635,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0300_Q1.0,0.07,300,1.0,2.837,2.886198071723486,-0.10969195793754856,-0.025712171869653355,-0.12551024773886818,0.0,-1.1442064678098418,-4.881355350887373,3.2122207632283986,2.886198071723486,0.10149448482402805
N0.07_D0600_Q0.1,0.07,600,0.1,3.1971,3.165509739606987,-0.10001318698271731,-0.019270326840257257,-0.011443573541190024,0.10299216187071021,-0.1144206467809842,-0.5938442889968779,3.165509739606987,2.8394870481020744,0.1029921618707102
N0.07_D0600_Q0.2,0.07,600,0.2,3.1469,3.129284996106441,-0.10117094412200915,-0.019493401008263224,-0.023152089723766197,0.09260835889506479,-0.2288412935619684,-1.187688577993756,3.165509739606987,2.8394870481020744,0.1029921618707102
N0.07_D0600_Q0.3,0.07,600,0.3,3.1946,3.0930602526058952,-0.10235581968252892,-0.019721700295638144,-0.03513485726961825,0.08198133362910924,-0.34326194034295254,-1.7815328669906336,3.165509739606987,2.8394870481020744,0.1029921618707102
