group,quantity,n,mean,sd,p05,p50,p95,min,max
M0_B1,epsilon_N,1176,-0.05389434818796699,0.025691138705118282,-0.10389583677572946,-0.047167786555932636,-0.02370061655406104,-0.10537743845387942,-0.012877914322414469
M0_B1,epsilon_D,1176,-0.04154985669111581,0.017509926592283863,-0.07052421624295577,-0.03649853505630017,-0.027657739062964405,-0.15159839450811086,-0.025007350653469495
M1_B6,epsilon_N,360,-0.05990815641057883,0.021897491304409676,-0.10109395596139381,-0.05766812314621852,-0.03221806061965978,-0.1114964471116494,-0.027199726134102674
M1_B6,epsilon_D,360,-0.04095444477294901,0.015549234709038415,-0.07150264789241642,-0.03629526236746865,-0.023101844176743058,-0.07938301407163739,-0.019270326840257257
M1_B6,epsilon_Q_score,360,-0.07751225527018446,0.049345024926559795,-0.1580860601194856,-0.06542491854690133,-0.012856962803638104,-0.18340099901702187,-0.009961626991262377
M1_B6,epsilon_impurity,360,0.06296652563857777,0.04258992216611965,0.0,0.06660236625603277,0.12458513893429911,0.0,0.14167576925863484
M1_B6,dlnN_dlnQ_score,360,-1.4753277557059246,1.13544314485323,-3.8434453667792616,-1.148538936188466,-0.2175496166264557,-4.804306708474077,-0.11442064678098418
M1_B6,dlnD_dlnQ_score,360,-2.1111560117524824,1.5271739902858468,-4.9045175133916,-1.7217595671730908,-0.36915834772976536,-5.93844288996878,-0.1865547150375606
M1_B6,relative_loss_reduction_qscore_0_1_to_1_0,360,0.11879176432710632,0.013079386544511188,0.0963035048275917,0.11936846825640635,0.13885715656633577,0.08965464292136138,0.14167576925863484
M1_B7_nested,epsilon_N,450,-0.059990308767562894,0.02189218653652616,-0.10126243221778863,-0.05777382932904695,-0.03239094423096969,-0.1114964471116494,-0.027199726134102674
M1_B7_nested,epsilon_D,450,-0.04101141178804749,0.01554804123253143,-0.07182306253213915,-0.03629526236746865,-0.02315289017725709,-0.07938301407163739,-0.019270326840257257
M1_B7_nested,epsilon_Q_score,450,-0.07902750300117062,0.045002623544138004,-0.15485954441329589,-0.07618813291461257,-0.013279542105189255,-0.18340099901702187,-0.009961626991262377
M1_B7_nested,epsilon_impurity,450,0.061650725722415006,0.03876591382341875,0.0,0.062483028552881924,0.12272873027262289,0.0,0.14167576925863484
M1_B7_nested,dlnN_dlnQ_score,450,-1.5096377035130393,1.07395751717663,-3.7077544248980203,-1.2585717365845777,-0.2288412935619684,-4.804306708474077,-0.11442064678098418
M1_B7_nested,dlnD_dlnQ_score,450,-2.1602526631885866,1.4342445648034539,-4.881355350887372,-1.82354000868312,-0.37310943007512126,-5.93844288996878,-0.1865547150375606
M1_B7_nested,relative_loss_reduction_qscore_0_1_to_1_0,450,0.11879176432710634,0.013079386544511188,0.0963035048275917,0.11936846825640635,0.13885715656633577,0.08965464292136138,0.14167576925863484
