block,selected_alpha,logo_mean_target_r2,logo_sd_target_r2,logo_fold_r2,feature_count
p_only,100.0,-2.7477274555033477,4.293314170824429,"[-0.7607378671981375, 0.19215427076220634, -7.674598770074112]",16
p_scale_linear,10.0,-2.084935596803377,4.893455129068163,"[0.7068752630387324, 0.7735975017249163, -7.73527955517378]",17
p_scale_quadratic,10.0,-2.0845244278192667,4.893801987718446,"[0.7088724697528949, 0.772833801963084, -7.73527955517378]",18
p_scale_interaction,1.0,-2.063213258019272,4.864204857026819,"[0.7233428372939188, 0.7668743825966959, -7.67985699394843]",33
p_scale_diversity,10.0,-1.9128468997042203,4.793040212406834,"[0.8355194579425, 0.8732699408058477, -7.447330097861008]",21
p_scale_diversity_interaction,0.1,-1.6963829309261624,4.4332138716805005,"[0.8555848353479495, 0.8706763319323947, -6.815409960058831]",39
