check,comparisons,max_absolute_error,tolerance,passed
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 0.5, 10.0)",498,4.440892098500626e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 0.5, 10.0)",485,4.440892098500626e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 1.0, 1.0)",510,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 1.0, 1.0)",496,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(0.5, 1.0, 10.0)",414,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(0.5, 1.0, 10.0)",421,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.0, 1.0)",512,1.3322676295501878e-15,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.0, 1.0)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.0, 10.0)",489,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.0, 10.0)",512,4.440892098500626e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.5, 0.1)",512,1.3322676295501878e-15,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.5, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.5, 1.0)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.5, 1.0)",511,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 0.5, 10.0)",475,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 0.5, 10.0)",481,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 1.0, 0.1)",512,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 1.0, 1.0)",502,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 1.0, 1.0)",493,8.881784197001252e-16,2e-10,True
"recipe_backsub_Q_A_topsis_0_1(1.0, 1.0, 10.0)",421,8.881784197001252e-16,2e-10,True
"scale_backsub_Q_A_topsis_0_1(1.0, 1.0, 10.0)",419,8.881784197001252e-16,2e-10,True
q_dot_v_quality_score_soft_proxy_0_1,1,3.3306690738754696e-16,2e-10,True
sum_v_quality_score_soft_proxy_0_1,1,2.7755575615628914e-16,2e-10,True
quality_reference_quality_score_soft_proxy_0_1,1,0.0,2e-10,True
mapping_reference_quality_score_soft_proxy_0_1,1,0.0,2e-10,True
