dataset,role,loss_observed,row_count,mean_q_soft_0_100,min_q_soft_0_100,max_q_soft_0_100,mean_q_range_width_0_100,mean_official_mapped_mass,p_sum_max_abs_error
A4_A5_train_1m,fit,True,512,60.83759051961494,51.81511625420505,64.3193971459079,2.3597738057392545,0.5646359074665894,1.5543122344752192e-15
A6_A7_test_1m,validation,True,256,60.70709360966629,51.832182947054896,64.1772501175528,2.2349780115346864,0.5690096574719248,1.4432899320127035e-15
A8_A9_test_60m,validation,True,256,60.70709360966629,51.832182947054896,64.1772501175528,2.2349780115346864,0.5690096574719248,1.4432899320127035e-15
A10_A11_test_1b,validation,True,64,61.5709985180858,57.5744266230554,63.34827832860234,1.8541093798091377,0.6226118279817832,1.1102230246251565e-15
A12_A13_est_10b,extrapolation,False,63,60.95186118908112,53.68345056911369,63.95799290631837,2.6298713226484454,0.543489078968979,1.2212453270876722e-15
A14_A15_est_70b,extrapolation,False,63,60.95186118908112,53.68345056911369,63.95799290631837,2.6298713226484454,0.543489078968979,1.2212453270876722e-15
