quality_domain,n_records,q_score_0_1,low_share,middle_share,high_share,anchor_rank_mean
arxiv,18942,0.004619364375461937,0.9931369443564565,0.004487382536163024,0.0023756731073804245,0.4594605666017045
book,171,0.0029239766081871343,0.9941520467836257,0.005847953216374269,0.0,0.40231005777951
c4,10000,0.4634,0.226,0.6212,0.1528,0.3805470766698715
commoncrawl,9640,0.17982365145228216,0.6425311203319503,0.3552904564315353,0.002178423236514523,0.3802179353542652
github,213752,0.49964444777124895,0.3017562408772783,0.3971986227029455,0.3010451364197762,0.5212539261935912
stackexchange,10000,0.385,0.2692,0.6916,0.0392,0.41843359822811244
wikipedia,10000,0.50765,0.2382,0.5083,0.2535,0.4406426050022752
