dataset,role,scale,n,hard_proxy_mean,soft_proxy_mean,soft_low_mean,soft_high_mean,soft_range_mean,mean_change_soft_minus_hard
A10_A11_test_1b,test,1b,64,0.1535691720872748,0.2004694829363399,0.15003231455415342,0.33650182942158496,0.18646951486743152,0.0469003108490651
A12_A13_est_10b,estimate,10b,63,0.1449498271490179,0.20354416919060772,0.13834107370871054,0.36341006286519667,0.22506898915648615,0.05859434204158981
A14_A15_est_70b,estimate,70b,63,0.1449498271490179,0.20354416919060772,0.13834107370871054,0.36341006286519667,0.22506898915648615,0.05859434204158981
A4_A5_train_1m,train,1m,512,0.16784027482329986,0.2214279307297116,0.16140224300535375,0.3748642242105561,0.21346198120520232,0.053587655906411735
A6_A7_test_1m,test,1m,256,0.17699527849737662,0.22805934905912784,0.1698709475645274,0.38093387025603004,0.21106292269150265,0.05106407056175122
A8_A9_test_60m,test,60m,256,0.17699527849737662,0.22805934905912784,0.1698709475645274,0.38093387025603004,0.21106292269150265,0.05106407056175122
