dataset,target,model,positive_fraction,negative_fraction,near_zero_fraction,sign_agreement_fraction,pair_count
A6_A7_validation_1m,metric/the_pile_freelaw_val_loss,ridge_vs_quadratic,,,,0.7242647058823529,272.0
A6_A7_validation_1m,metric/the_pile_pubmed_central_val_loss,ilr_ridge,0.7279411764705882,0.27205882352941174,0.0,,
A6_A7_validation_1m,metric/the_pile_pubmed_central_val_loss,quadratic_ridge,0.5147058823529411,0.4852941176470588,0.0,,
A6_A7_validation_1m,metric/the_pile_pubmed_central_val_loss,ridge_vs_quadratic,,,,0.6544117647058824,272.0
A6_A7_validation_1m,metric/the_pile_wikipedia_en_val_loss,ilr_ridge,0.7610294117647058,0.23897058823529413,0.0,,
A6_A7_validation_1m,metric/the_pile_wikipedia_en_val_loss,quadratic_ridge,0.5625,0.4375,0.0,,
A6_A7_validation_1m,metric/the_pile_wikipedia_en_val_loss,ridge_vs_quadratic,,,,0.6470588235294118,272.0
A6_A7_validation_1m,metric/the_pile_dm_mathematics_val_loss,ilr_ridge,0.7757352941176471,0.22426470588235295,0.0,,
A6_A7_validation_1m,metric/the_pile_dm_mathematics_val_loss,quadratic_ridge,0.5147058823529411,0.4852941176470588,0.0,,
A6_A7_validation_1m,metric/the_pile_dm_mathematics_val_loss,ridge_vs_quadratic,,,,0.6580882352941176,272.0
A6_A7_validation_1m,metric/the_pile_github_val_loss,ilr_ridge,0.7794117647058824,0.22058823529411764,0.0,,
A6_A7_validation_1m,metric/the_pile_github_val_loss,quadratic_ridge,0.6286764705882353,0.3713235294117647,0.0,,
A6_A7_validation_1m,metric/the_pile_github_val_loss,ridge_vs_quadratic,,,,0.6875,272.0
A6_A7_validation_1m,metric/the_pile_stackexchange_val_loss,ilr_ridge,0.7426470588235294,0.25735294117647056,0.0,,
A6_A7_validation_1m,metric/the_pile_stackexchange_val_loss,quadratic_ridge,0.6066176470588235,0.39338235294117646,0.0,,
A6_A7_validation_1m,metric/the_pile_stackexchange_val_loss,ridge_vs_quadratic,,,,0.6727941176470589,272.0
A6_A7_validation_1m,metric/the_pile_gutenberg_pg_19_val_loss,ilr_ridge,0.6397058823529411,0.3602941176470588,0.0,,
A6_A7_validation_1m,metric/the_pile_gutenberg_pg_19_val_loss,quadratic_ridge,0.5257352941176471,0.4742647058823529,0.0,,
A6_A7_validation_1m,metric/the_pile_gutenberg_pg_19_val_loss,ridge_vs_quadratic,,,,0.6948529411764706,272.0
A6_A7_validation_1m,metric/the_pile_pile_cc_val_loss,ilr_ridge,0.6691176470588235,0.33088235294117646,0.0,,
A6_A7_validation_1m,metric/the_pile_pile_cc_val_loss,quadratic_ridge,0.5183823529411765,0.48161764705882354,0.0,,
A6_A7_validation_1m,metric/the_pile_pile_cc_val_loss,ridge_vs_quadratic,,,,0.7242647058823529,272.0
