model,dataset,destination,source,delta,target,valid_rows,mean_effect,bootstrap_ci_low,bootstrap_ci_high
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_pubmed_central_val_loss,266,0.08318443448724037,0.060101784626325185,0.11435378388170435
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_wikipedia_en_val_loss,266,0.02460181772491417,0.019747352319693167,0.02874977808658347
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_dm_mathematics_val_loss,266,0.03267451194238111,0.02435670518583563,0.03971859375016352
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_github_val_loss,266,0.0238116434762771,0.015052806527723527,0.03146597541965629
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_stackexchange_val_loss,266,0.0052684079029412054,-0.0006104521050399917,0.009941996466883558
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_gutenberg_pg_19_val_loss,266,0.02555936840815725,0.019502696954480158,0.031609947357262545
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_pile_cc_val_loss,266,0.021825120951527326,0.017567528316558913,0.025939662261490016
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_ubuntu_irc_val_loss,266,0.03801305411041133,0.0295879607778873,0.04729536459601512
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_hackernews_val_loss,266,0.022391792831042173,0.017281895473889756,0.027447486030043055
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_pubmed_abstracts_val_loss,266,0.04886127445550521,0.041991957121682015,0.056394680937346196
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_pubmed_central,0.01,metric/the_pile_uspto_backgrounds_val_loss,266,0.019968575332971812,0.01715219131100482,0.022526089015181043
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_arxiv_val_loss,206,-0.4524592548454675,-0.5124818356336941,-0.390994116135707
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_freelaw_val_loss,206,0.0423620827126389,0.036749096195104476,0.04871938804414792
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_pubmed_central_val_loss,206,-0.011987831492598355,-0.0133802687834938,-0.010594310074653264
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_wikipedia_en_val_loss,206,0.06785282178475631,0.05831466292318708,0.08123538710660254
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_dm_mathematics_val_loss,206,0.04461811430725356,0.0374899237496536,0.051860842783085365
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_github_val_loss,206,0.041474381402713145,0.035280824836423696,0.047568183611440114
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_stackexchange_val_loss,206,0.017441688292386764,0.014057544351464394,0.020776934271612677
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_gutenberg_pg_19_val_loss,206,0.03901113830527133,0.03338673856413375,0.04415557175468192
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_pile_cc_val_loss,206,0.033929129176493496,0.02991466410829552,0.03750060575856478
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_ubuntu_irc_val_loss,206,0.05219452412035086,0.04478524642451008,0.05924127790837306
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_hackernews_val_loss,206,0.031058686959208662,0.026576267692847037,0.035182536001222856
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_pubmed_abstracts_val_loss,206,0.023115257921811135,0.019859383113668076,0.027125075764832047
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_wikipedia_en,0.01,metric/the_pile_uspto_backgrounds_val_loss,206,0.019641707777935228,0.016840887731489965,0.02251758556850017
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_arxiv_val_loss,164,-0.46060701286479266,-0.5371914037328676,-0.39150083390062823
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_freelaw_val_loss,164,0.03735239190741917,0.03148663705649445,0.043682274054569994
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_pubmed_central_val_loss,164,-0.01753617123425017,-0.019812282175884387,-0.015019638600823379
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_wikipedia_en_val_loss,164,0.027314406392723246,0.022361366265654326,0.032612039235065726
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_dm_mathematics_val_loss,164,0.3322526871202741,0.26336429588893107,0.3846448362876645
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_github_val_loss,164,0.03557031751598305,0.02792541229604736,0.04351246576808104
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_stackexchange_val_loss,164,0.013766910352563692,0.009965354429896678,0.017933282810648585
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_gutenberg_pg_19_val_loss,164,0.03588282064313653,0.03055154373997039,0.04130298984431442
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_pile_cc_val_loss,164,0.025945205190169948,0.021899157880802878,0.029805752046871168
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_ubuntu_irc_val_loss,164,0.04895126264035112,0.03924446795345874,0.05640610530933266
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_hackernews_val_loss,164,0.02973243573994473,0.02454251960704012,0.034809646929935385
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_pubmed_abstracts_val_loss,164,0.016874007979179612,0.012688422201897176,0.021978662487503152
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_dm_mathematics,0.01,metric/the_pile_uspto_backgrounds_val_loss,164,0.01340328948037938,0.009551235063293691,0.01680542161789241
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_arxiv_val_loss,237,-0.46702215208610726,-0.5262413455089259,-0.41389702577196996
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_freelaw_val_loss,237,0.031212881107678253,0.024387827876942277,0.038280933606701435
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_pubmed_central_val_loss,237,-0.019331645078209704,-0.022607720475245067,-0.016376732577355134
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_wikipedia_en_val_loss,237,0.021869380143377044,0.016215657079490364,0.027310672657215707
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_dm_mathematics_val_loss,237,0.040802206589443946,0.033394057254937125,0.0488228501561323
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_github_val_loss,237,0.12680999117372738,0.1049779127743796,0.15285432594792484
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_stackexchange_val_loss,237,0.04732528860131459,0.04044944339317897,0.05533497010295821
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_gutenberg_pg_19_val_loss,237,0.030035547710023338,0.02461970481623496,0.03523331521252526
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_pile_cc_val_loss,237,0.02125790792884467,0.016467737986508135,0.0260662129097272
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_ubuntu_irc_val_loss,237,0.051816802380085715,0.04435067848729945,0.05969806742667936
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_hackernews_val_loss,237,0.029212303199882755,0.024871189038789616,0.033963894526191384
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_pubmed_abstracts_val_loss,237,0.01380503405503209,0.008834930008473697,0.01820933311319283
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_github,0.01,metric/the_pile_uspto_backgrounds_val_loss,237,0.010235858646042078,0.005770085055171134,0.014506074019591138
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_arxiv_val_loss,90,-0.4850330846828472,-0.5873363696857741,-0.38220282863516747
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_freelaw_val_loss,90,0.0344804244733558,0.026252956822449224,0.04370888947648614
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_pubmed_central_val_loss,90,-0.039237908817862106,-0.04760730870879561,-0.032450263476341876
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_wikipedia_en_val_loss,90,0.026274335322623424,0.019442635622433556,0.0333990019923388
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_dm_mathematics_val_loss,90,0.015398748603123133,0.0031069281138813008,0.028040208261475092
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_github_val_loss,90,0.026438984702354545,0.016427463062098246,0.03667688972283278
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_stackexchange_val_loss,90,0.00821755933951747,0.003541878022854184,0.012486160355509464
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_gutenberg_pg_19_val_loss,90,0.03565689957512475,0.02692513727477099,0.04277247998252617
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_pile_cc_val_loss,90,0.02743999224710961,0.021758655805722362,0.03359224055286365
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_ubuntu_irc_val_loss,90,0.0457063779405481,0.03329131869435795,0.056700669722955115
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_hackernews_val_loss,90,0.02630358472034765,0.01921060407644447,0.0324973465117134
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_pubmed_abstracts_val_loss,90,-0.00029405542425817226,-0.00784601773067157,0.007018190701566996
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_philpapers,0.01,metric/the_pile_uspto_backgrounds_val_loss,90,0.009733284362846956,0.0044422698994682035,0.014049927301496243
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_arxiv_val_loss,237,-0.39078380157335474,-0.4552873049101898,-0.3333593942815881
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_freelaw_val_loss,237,0.031750855823915757,0.026260970630148726,0.03728125670017026
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_pubmed_central_val_loss,237,-0.01192738465882873,-0.013819431705786894,-0.010319082413440582
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_wikipedia_en_val_loss,237,0.02422707169586134,0.01925423806359428,0.028761875089035018
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_dm_mathematics_val_loss,237,0.04542781309418867,0.03861029028324547,0.05145985339519041
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_github_val_loss,237,0.0762694871778624,0.06586784751025583,0.08793639338850891
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_stackexchange_val_loss,237,0.07315985977535312,0.05891864166404315,0.08810436854796802
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_gutenberg_pg_19_val_loss,237,0.02962374238961929,0.024659798169990924,0.033989756764386696
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_pile_cc_val_loss,237,0.025067396684990445,0.021624139240660055,0.028779600258316655
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_ubuntu_irc_val_loss,237,0.052926499379454595,0.0464063224882401,0.05969190019193163
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_hackernews_val_loss,237,0.032537124042503814,0.028299957529023687,0.03663600918968713
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_pubmed_abstracts_val_loss,237,0.016496268500885206,0.01242354085578004,0.019924025413335076
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_stackexchange,0.01,metric/the_pile_uspto_backgrounds_val_loss,237,0.014798744957157326,0.012189142210042957,0.017544640314970095
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_arxiv_val_loss,44,-0.5522268562780677,-0.700234428128594,-0.41986747760400756
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_freelaw_val_loss,44,-0.008765451300069367,-0.023491660924313342,0.005446963752422243
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_pubmed_central_val_loss,44,-0.07981719256926577,-0.09920296273369042,-0.06345730531723495
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_wikipedia_en_val_loss,44,-0.008035806362495335,-0.019373820992154667,0.00279855576463738
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_dm_mathematics_val_loss,44,-0.09163057128942988,-0.13048088248906095,-0.05953184092181811
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_github_val_loss,44,-0.05164169033338099,-0.07453417684505058,-0.029361830238162828
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_stackexchange_val_loss,44,-0.055733190018866334,-0.07688747669696494,-0.03807020867505682
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_gutenberg_pg_19_val_loss,44,0.00599351391129281,-0.005759580359380838,0.018872412978224472
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_pile_cc_val_loss,44,0.004273910678362913,-0.005415229938352984,0.013394008634914885
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_ubuntu_irc_val_loss,44,-0.05169265320230507,-0.08049636043065181,-0.02195826100311576
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_hackernews_val_loss,44,-0.0005545563503081299,-0.011211618930107916,0.013186291761232198
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_pubmed_abstracts_val_loss,44,0.0005051188441723597,-0.0076729608826577545,0.00837777806673155
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_enron_emails,0.01,metric/the_pile_uspto_backgrounds_val_loss,44,-0.0077624263409669806,-0.016301906766395747,-0.00027660561271412816
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_arxiv_val_loss,201,-0.38576064220146106,-0.4539868813911581,-0.3242981011937781
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_freelaw_val_loss,201,0.03492744282634843,0.02963474999322362,0.04138815492045696
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_pubmed_central_val_loss,201,-0.01181019567717536,-0.013196765936426425,-0.010394526133185637
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_wikipedia_en_val_loss,201,0.027272870611705458,0.023151181757240645,0.03130457566042966
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_dm_mathematics_val_loss,201,0.03602202187381302,0.029170312033972967,0.04327106846554013
ilr_ridge,A4_A5_train_1m,train_the_pile_arxiv,train_the_pile_gutenberg_pg_19,0.01,metric/the_pile_github_val_loss,201,0.030459426160642834,0.024038805568624724,0.0375456465328892
