budget,context,axis,cost,scope,lambda_q,cost_coordinate,Q0,Q_star,Q_B_star,Q_upper,regime,predicted_loss,scale_loss,remaining_p,benefit_vs_same_recipe_no_processing,N_B,D_B,train_share,attention_share,quality_share,utilization,N_outside_B1,D_outside_B1,recipe
1e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_A,0.6083759051961491,0.6431939714590791,1.0,0.6431939714590791,map_saturation,2.9203192122638324,3.0110367703041443,0.0,0.0786157209599363,0.23654235301922377,6.228380883030906,0.8839655217432487,0.060345379617672446,0.05568909863907885,1.0,False,False,reference
1e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_B,0.749395747680061,0.749395747680061,0.749395747680061,1.0,no_processing,2.9989349332237687,2.9989349332237687,0.0,0.0,0.2213087272135689,7.049698310604192,0.9360958562156763,0.06390414378432352,0.0,0.9999999999999998,False,False,reference
1.2589254117941713e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_A,0.6083759051961491,0.6431939714590791,1.0,0.6431939714590791,map_saturation,2.873325212973463,2.964042771013775,0.0,0.08014482157934433,0.26087560893239353,7.146812472013615,0.8885811842840148,0.06066047551378875,0.050758340202196384,0.9999999999999999,False,False,reference
1.2589254117941713e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_B,0.749395747680061,0.749395747680061,0.749395747680061,1.0,no_processing,2.9534700345528075,2.9534700345528075,0.0,0.0,0.2455561157384191,7.998679906093367,0.9360958562156766,0.06390414378432352,0.0,1.0000000000000002,False,False,reference
1.5848931924611109e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_A,0.6083759051961491,0.6431939714590791,1.0,0.6431939714590791,map_saturation,2.8280999372921833,2.9188174953324952,0.0,0.08148414443450136,0.28785869965478594,8.192902479750359,0.892829219825403,0.060950474740080834,0.046220305434516155,1.0,False,False,reference
1.5848931924611109e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_B,0.749395747680061,0.749395747680061,0.749395747680061,1.0,no_processing,2.9095840817266847,2.9095840817266847,0.0,0.0,0.27246013627989757,9.075406836049158,0.9360958562156766,0.06390414378432352,0.0,1.0000000000000002,False,False,reference
1.9952623149688828e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_A,0.6083759051961491,0.6431939714590791,1.0,0.6431939714590791,map_saturation,2.7845656741400204,2.8752832321803323,0.0,0.08265656555561662,0.31778310432343687,9.383841955486975,0.8967321453595442,0.061216914456544896,0.04205094018391081,0.9999999999999998,False,False,reference
1.9952623149688828e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_B,0.749395747680061,0.749395747680061,0.749395747680061,1.0,no_processing,2.867222239695637,2.867222239695637,0.0,0.0,0.3023118590975745,10.297075293269865,0.9360958562156764,0.06390414378432352,0.0,1.0,False,False,reference
2.511886431509572e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_A,0.6083759051961491,0.6431939714590791,1.0,0.6431939714590791,map_saturation,2.7426492437275827,2.8333668017678946,0.0,0.08368233404319492,0.3509721895497349,10.739132156278702,0.9003122146301715,0.06146131385208638,0.038226471517742236,1.0000000000000002,False,False,reference
2.511886431509572e+19,2048,Q_A_topsis_0_1,exponential,unrestricted,1.0,Q_B,0.749395747680061,0.749395747680061,0.749395747680061,1.0,no_processing,2.8263315777707776,2.8263315777707776,0.0,0.0,0.3354342451665816,11.683196303012979,0.9360958562156767,0.06390414378432352,0.0,1.0000000000000002,False,False,reference
