axis,variant,dataset,n_candidates,selected_recipe,selected_observed_loss,best_available_observed_loss,candidate_mean_observed_loss,regret,improvement_vs_candidate_mean,selected_actual_rank,top5_mean_loss
Q_A_topsis_0_1,quality_only,A10_A11_test_1b,64,4,2.259644238769231,2.111309207076923,2.2255702818569714,0.14833503169230777,-0.03407395691225945,49,2.2653166715230775
Q_A_topsis_0_1,quality_only,A6_A7_test_1m,256,185,5.576606750488281,4.748776215773362,5.282281966306842,0.8278305347149191,-0.29432478418143937,222,5.63119628246014
Q_A_topsis_0_1,quality_only,A8_A9_test_60m,256,185,4.054521358930147,3.44262762253101,3.8229111776185722,0.611893736399137,-0.23161018131157496,225,4.1213948983412525
Q_A_topsis_0_1,v1,A10_A11_test_1b,64,17,2.2269126127692305,2.111309207076923,2.2255702818569714,0.11560340569230743,-0.0013423309122591043,34,2.2260020908153844
Q_A_topsis_0_1,v1,A6_A7_test_1m,256,146,5.457334096615131,4.748776215773362,5.282281966306842,0.7085578808417692,-0.17505213030828948,193,5.078368438207186
Q_A_topsis_0_1,v1,A8_A9_test_60m,256,146,4.060513707307669,3.44262762253101,3.8229111776185722,0.6178860847766585,-0.23760252968909645,226,3.7022453821622405
Q_A_topsis_0_1,half_p,A10_A11_test_1b,64,17,2.2269126127692305,2.111309207076923,2.2255702818569714,0.11560340569230743,-0.0013423309122591043,34,2.2260020908153844
Q_A_topsis_0_1,half_p,A6_A7_test_1m,256,146,5.457334096615131,4.748776215773362,5.282281966306842,0.7085578808417692,-0.17505213030828948,193,5.078368438207186
Q_A_topsis_0_1,half_p,A8_A9_test_60m,256,146,4.060513707307669,3.44262762253101,3.8229111776185722,0.6178860847766585,-0.23760252968909645,226,3.7022453821622405
Q_A_topsis_0_1,low_p,A10_A11_test_1b,64,17,2.2269126127692305,2.111309207076923,2.2255702818569714,0.11560340569230743,-0.0013423309122591043,34,2.292173136384615
Q_A_topsis_0_1,low_p,A6_A7_test_1m,256,161,5.324403762817383,4.748776215773362,5.282281966306842,0.5756275470440206,-0.04212179651054093,147,5.4327713471192585
Q_A_topsis_0_1,low_p,A8_A9_test_60m,256,161,3.874891794644869,3.44262762253101,3.8229111776185722,0.4322641721138587,-0.05198061702629664,165,3.9716566892770615
quality_score_soft_proxy_0_1,quality_only,A10_A11_test_1b,64,52,2.2681441679230767,2.111309207076923,2.2255702818569714,0.15683496084615367,-0.04257388606610535,53,2.243350514830769
quality_score_soft_proxy_0_1,quality_only,A6_A7_test_1m,256,7,6.122660013345572,4.748776215773362,5.282281966306842,1.3738837975722102,-0.8403780470387305,255,5.607054013472337
quality_score_soft_proxy_0_1,quality_only,A8_A9_test_60m,256,7,4.51767621590541,3.44262762253101,3.8229111776185722,1.0750485933743996,-0.6947650382868376,254,4.0583270916571985
quality_score_soft_proxy_0_1,v1,A10_A11_test_1b,64,17,2.2269126127692305,2.111309207076923,2.2255702818569714,0.11560340569230743,-0.0013423309122591043,34,2.226002090815385
quality_score_soft_proxy_0_1,v1,A6_A7_test_1m,256,146,5.457334096615131,4.748776215773362,5.282281966306842,0.7085578808417692,-0.17505213030828948,193,5.081986999511718
quality_score_soft_proxy_0_1,v1,A8_A9_test_60m,256,146,4.060513707307669,3.44262762253101,3.8229111776185722,0.6178860847766585,-0.23760252968909645,226,3.741625453875615
quality_score_soft_proxy_0_1,half_p,A10_A11_test_1b,64,17,2.2269126127692305,2.111309207076923,2.2255702818569714,0.11560340569230743,-0.0013423309122591043,34,2.226002090815385
quality_score_soft_proxy_0_1,half_p,A6_A7_test_1m,256,146,5.457334096615131,4.748776215773362,5.282281966306842,0.7085578808417692,-0.17505213030828948,193,5.176283957408025
quality_score_soft_proxy_0_1,half_p,A8_A9_test_60m,256,146,4.060513707307669,3.44262762253101,3.8229111776185722,0.6178860847766585,-0.23760252968909645,226,3.8003194258763244
quality_score_soft_proxy_0_1,low_p,A10_A11_test_1b,64,20,2.1784147224615387,2.111309207076923,2.2255702818569714,0.06710551538461562,0.0471555593954327,9,2.216520556723077
quality_score_soft_proxy_0_1,low_p,A6_A7_test_1m,256,7,6.122660013345572,4.748776215773362,5.282281966306842,1.3738837975722102,-0.8403780470387305,255,5.520841422447791
quality_score_soft_proxy_0_1,low_p,A8_A9_test_60m,256,7,4.51767621590541,3.44262762253101,3.8229111776185722,1.0750485933743996,-0.6947650382868376,254,3.9938740106729362
