axis,domain,coefficient_full,p_on_Q_loading,quality_domain
Q_A_topsis_0_1,arxiv,1.1708613524692766,2.692173689094973,0.638623595952268
Q_A_topsis_0_1,freelaw,1.2633521927094782,-0.8692297019792635,0.59213674307236
Q_A_topsis_0_1,nih_exporter,-1.1105923619154847,0.025358836342136634,0.6340473913193377
Q_A_topsis_0_1,pubmed_central,1.1049084056950695,2.257669728734881,0.6335740409610009
Q_A_topsis_0_1,wikipedia_en,0.9815697161720993,0.2727375190855219,0.6110090692042491
Q_A_topsis_0_1,dm_mathematics,-0.2380951169221159,-0.00767243758026995,0.6331006906026643
Q_A_topsis_0_1,github,1.2336603816934886,-7.573091834334472,0.5170140753241471
Q_A_topsis_0_1,philpapers,-3.248175854500032,-0.012948822172879588,0.6174410123737939
Q_A_topsis_0_1,stackexchange,0.8512141665169044,0.38261308104676395,0.6138787333596657
Q_A_topsis_0_1,enron_emails,-3.4316680528871912,0.0066421885288043435,0.6280439836165674
Q_A_topsis_0_1,gutenberg_pg_19,0.742584276110098,-0.6788596961335327,0.5603252048079161
Q_A_topsis_0_1,pile_cc,1.0450889159058085,2.8780204825064275,0.6433570995356357
Q_A_topsis_0_1,ubuntu_irc,-1.160883491677607,0.10660720393958917,0.628330950032109
Q_A_topsis_0_1,europarl,-0.16051522912017321,-0.02553406921627522,0.6105767054243985
Q_A_topsis_0_1,hackernews,-0.8638035804378434,-0.05416413660473199,0.628330950032109
Q_A_topsis_0_1,pubmed_abstracts,0.8258449228154001,0.6947079794939502,0.6335740409610009
Q_A_topsis_0_1,uspto_backgrounds,0.9946493573728249,-0.09503001075162493,0.6022546845032603
quality_score_soft_proxy_0_1,arxiv,1.1708613524692766,-1.0580383461733867,0.0046193643754619
quality_score_soft_proxy_0_1,freelaw,1.2633521927094782,-0.2242802589228517,0.18972171859455
quality_score_soft_proxy_0_1,nih_exporter,-1.1105923619154847,-0.008581195746473706,0.1402663489157335
quality_score_soft_proxy_0_1,pubmed_central,1.1049084056950695,-0.48318769708793424,0.1227459202080515
quality_score_soft_proxy_0_1,wikipedia_en,0.9815697161720993,0.5558439505635376,0.50765
quality_score_soft_proxy_0_1,dm_mathematics,-0.2380951169221159,-0.01466755478866262,0.1052254915003695
quality_score_soft_proxy_0_1,github,1.2336603816934886,1.35590814767603,0.4996444477712489
quality_score_soft_proxy_0_1,philpapers,-3.248175854500032,-9.095331041754114e-05,0.1048864139469145
quality_score_soft_proxy_0_1,stackexchange,0.8512141665169044,0.5837142906028119,0.385
quality_score_soft_proxy_0_1,enron_emails,-3.4316680528871912,-0.0012925168054996438,0.306941825726141
quality_score_soft_proxy_0_1,gutenberg_pg_19,0.742584276110098,-0.15492531279465993,0.0029239766081871
quality_score_soft_proxy_0_1,pile_cc,1.0450889159058085,-0.23400478234804917,0.1798236514522821
quality_score_soft_proxy_0_1,ubuntu_irc,-1.160883491677607,0.016783024644295506,0.294676825726141
quality_score_soft_proxy_0_1,europarl,-0.16051522912017321,0.005347616081471688,0.308356890757322
quality_score_soft_proxy_0_1,hackernews,-0.8638035804378434,0.0167994953766612,0.294676825726141
quality_score_soft_proxy_0_1,pubmed_abstracts,0.8258449228154001,-0.167380022189986,0.1227459202080515
quality_score_soft_proxy_0_1,uspto_backgrounds,0.9946493573728249,-0.18794788477688645,0.1220677651011416
