scenario_variant,n,min_difference,median_difference,max_difference,mean_absolute_difference
scale_only,400,0.0,0.0,0.0,0.0
scale_plus_Q,400,0.03174961054167147,0.12066576039091559,0.20316709779369235,0.117907384256042
scale_plus_Q_plus_p,400,0.03174961054167147,0.12066576039091559,0.2031670977936919,0.11790738425604197
scale_plus_p,400,0.0,0.0,0.0,0.0
